exp,verb,item,sent,bias,isHigh ,gender
ic_match,abandoned,0,The man abandoned the boy because he,33,0,m
ic_match,abandoned,0,The boy abandoned the man because he,33,0,m
ic_match,acclaimed,0,The man acclaimed the boy because he,-58,0,m
ic_match,acclaimed,0,The boy acclaimed the man because he,-58,0,m
ic_match,accompanied,0,The man accompanied the boy because he,-48,0,m
ic_match,accompanied,0,The boy accompanied the man because he,-48,0,m
ic_match,accused,0,The man accused the boy because he,2,0,m
ic_match,accused,0,The boy accused the man because he,2,0,m
ic_match,admired,0,The man admired the boy because he,-92,0,m
ic_match,admired,0,The boy admired the man because he,-92,0,m
ic_match,admonished,0,The man admonished the boy because he,-32,0,m
ic_match,admonished,0,The boy admonished the man because he,-32,0,m
ic_match,adored,0,The man adored the boy because he,-74,0,m
ic_match,adored,0,The boy adored the man because he,-74,0,m
ic_match,advised,0,The man advised the boy because he,-28,0,m
ic_match,advised,0,The boy advised the man because he,-28,0,m
ic_match,affected,0,The man affected the boy because he,29,0,m
ic_match,affected,0,The boy affected the man because he,29,0,m
ic_match,aggravated,0,The man aggravated the boy because he,59,0,m
ic_match,aggravated,0,The boy aggravated the man because he,59,0,m
ic_match,agitated,0,The man agitated the boy because he,85,0,m
ic_match,agitated,0,The boy agitated the man because he,85,0,m
ic_match,alarmed,0,The man alarmed the boy because he,58,0,m
ic_match,alarmed,0,The boy alarmed the man because he,58,0,m
ic_match,alienated,0,The man alienated the boy because he,41,0,m
ic_match,alienated,0,The boy alienated the man because he,41,0,m
ic_match,amazed,0,The man amazed the boy because he,68,0,m
ic_match,amazed,0,The boy amazed the man because he,68,0,m
ic_match,amused,0,The man amused the boy because he,67,0,m
ic_match,amused,0,The boy amused the man because he,67,0,m
ic_match,angered,0,The man angered the boy because he,85,0,m
ic_match,angered,0,The boy angered the man because he,85,0,m
ic_match,annoyed,0,The man annoyed the boy because he,79,0,m
ic_match,annoyed,0,The boy annoyed the man because he,79,0,m
ic_match,answered,0,The man answered the boy because he,-64,0,m
ic_match,answered,0,The boy answered the man because he,-64,0,m
ic_match,apologized to,0,The man apologized to the boy because he,93,0,m
ic_match,apologized to,0,The boy apologized to the man because he,93,0,m
ic_match,appalled,0,The man appalled the boy because he,78,0,m
ic_match,appalled,0,The boy appalled the man because he,78,0,m
ic_match,applauded,0,The man applauded the boy because he,-84,0,m
ic_match,applauded,0,The boy applauded the man because he,-84,0,m
ic_match,appreciated,0,The man appreciated the boy because he,-87,0,m
ic_match,appreciated,0,The boy appreciated the man because he,-87,0,m
ic_match,approached,0,The man approached the boy because he,39,0,m
ic_match,approached,0,The boy approached the man because he,39,0,m
ic_match,astonished,0,The man astonished the boy because he,51,0,m
ic_match,astonished,0,The boy astonished the man because he,51,0,m
ic_match,astounded,0,The man astounded the boy because he,62,0,m
ic_match,astounded,0,The boy astounded the man because he,62,0,m
ic_match,attracted,0,The man attracted the boy because he,87,0,m
ic_match,attracted,0,The boy attracted the man because he,87,0,m
ic_match,avoided,0,The man avoided the boy because he,14,0,m
ic_match,avoided,0,The boy avoided the man because he,14,0,m
ic_match,baffled,0,The man baffled the boy because he,56,0,m
ic_match,baffled,0,The boy baffled the man because he,56,0,m
ic_match,banished,0,The man banished the boy because he,-56,0,m
ic_match,banished,0,The boy banished the man because he,-56,0,m
