exp,item,sent,hasIC,num,isHIGH,layer,NP,sim
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,1,0.1352567112
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,2,0.09132700654
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,1,0.1488312883
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,2,0.1405406393
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,3,1,0.1505784402
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,3,2,0.1558442561
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,4,1,0.1708554025
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,4,2,0.2018187041
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,5,1,0.1341027412
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,5,2,0.1827480448
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,6,1,0.1176707541
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,6,2,0.1563616754
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,7,1,0.09917684099
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,7,2,0.1345117428
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,8,1,0.1089062062
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,8,2,0.1434694959
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,9,1,0.1261594901
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,9,2,0.1559269122
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,10,1,0.1948659624
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,10,2,0.2663834833
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,11,1,0.2794555904
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,11,2,0.3248060334
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,12,1,0.5140748589
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,12,2,0.5753973814
