exp,item,sent,hasIC,num,isHIGH,LSTM_1_layer_0_HIGH_SIM,LSTM_1_layer_0_LOW_SIM,LSTM_10_layer_0_HIGH_SIM,LSTM_10_layer_0_LOW_SIM,LSTM_11_layer_0_HIGH_SIM,LSTM_11_layer_0_LOW_SIM,LSTM_12_layer_0_HIGH_SIM,LSTM_12_layer_0_LOW_SIM,LSTM_13_layer_0_HIGH_SIM,LSTM_13_layer_0_LOW_SIM,LSTM_14_layer_0_HIGH_SIM,LSTM_14_layer_0_LOW_SIM,LSTM_15_layer_0_HIGH_SIM,LSTM_15_layer_0_LOW_SIM,LSTM_16_layer_0_HIGH_SIM,LSTM_16_layer_0_LOW_SIM,LSTM_17_layer_0_HIGH_SIM,LSTM_17_layer_0_LOW_SIM,LSTM_18_layer_0_HIGH_SIM,LSTM_18_layer_0_LOW_SIM,LSTM_19_layer_0_HIGH_SIM,LSTM_19_layer_0_LOW_SIM,LSTM_2_layer_0_HIGH_SIM,LSTM_2_layer_0_LOW_SIM,LSTM_20_layer_0_HIGH_SIM,LSTM_20_layer_0_LOW_SIM,LSTM_21_layer_0_HIGH_SIM,LSTM_21_layer_0_LOW_SIM,LSTM_22_layer_0_HIGH_SIM,LSTM_22_layer_0_LOW_SIM,LSTM_23_layer_0_HIGH_SIM,LSTM_23_layer_0_LOW_SIM,LSTM_24_layer_0_HIGH_SIM,LSTM_24_layer_0_LOW_SIM,LSTM_25_layer_0_HIGH_SIM,LSTM_25_layer_0_LOW_SIM,LSTM_3_layer_0_HIGH_SIM,LSTM_3_layer_0_LOW_SIM,LSTM_4_layer_0_HIGH_SIM,LSTM_4_layer_0_LOW_SIM,LSTM_5_layer_0_HIGH_SIM,LSTM_5_layer_0_LOW_SIM,LSTM_6_layer_0_HIGH_SIM,LSTM_6_layer_0_LOW_SIM,LSTM_7_layer_0_HIGH_SIM,LSTM_7_layer_0_LOW_SIM,LSTM_8_layer_0_HIGH_SIM,LSTM_8_layer_0_LOW_SIM,LSTM_9_layer_0_HIGH_SIM,LSTM_9_layer_0_LOW_SIM,LSTM_avg_layer_0_HIGH_SIM,LSTM_avg_layer_0_LOW_SIM,LSTM_1_layer_1_HIGH_SIM,LSTM_1_layer_1_LOW_SIM,LSTM_10_layer_1_HIGH_SIM,LSTM_10_layer_1_LOW_SIM,LSTM_11_layer_1_HIGH_SIM,LSTM_11_layer_1_LOW_SIM,LSTM_12_layer_1_HIGH_SIM,LSTM_12_layer_1_LOW_SIM,LSTM_13_layer_1_HIGH_SIM,LSTM_13_layer_1_LOW_SIM,LSTM_14_layer_1_HIGH_SIM,LSTM_14_layer_1_LOW_SIM,LSTM_15_layer_1_HIGH_SIM,LSTM_15_layer_1_LOW_SIM,LSTM_16_layer_1_HIGH_SIM,LSTM_16_layer_1_LOW_SIM,LSTM_17_layer_1_HIGH_SIM,LSTM_17_layer_1_LOW_SIM,LSTM_18_layer_1_HIGH_SIM,LSTM_18_layer_1_LOW_SIM,LSTM_19_layer_1_HIGH_SIM,LSTM_19_layer_1_LOW_SIM,LSTM_2_layer_1_HIGH_SIM,LSTM_2_layer_1_LOW_SIM,LSTM_20_layer_1_HIGH_SIM,LSTM_20_layer_1_LOW_SIM,LSTM_21_layer_1_HIGH_SIM,LSTM_21_layer_1_LOW_SIM,LSTM_22_layer_1_HIGH_SIM,LSTM_22_layer_1_LOW_SIM,LSTM_23_layer_1_HIGH_SIM,LSTM_23_layer_1_LOW_SIM,LSTM_24_layer_1_HIGH_SIM,LSTM_24_layer_1_LOW_SIM,LSTM_25_layer_1_HIGH_SIM,LSTM_25_layer_1_LOW_SIM,LSTM_3_layer_1_HIGH_SIM,LSTM_3_layer_1_LOW_SIM,LSTM_4_layer_1_HIGH_SIM,LSTM_4_layer_1_LOW_SIM,LSTM_5_layer_1_HIGH_SIM,LSTM_5_layer_1_LOW_SIM,LSTM_6_layer_1_HIGH_SIM,LSTM_6_layer_1_LOW_SIM,LSTM_7_layer_1_HIGH_SIM,LSTM_7_layer_1_LOW_SIM,LSTM_8_layer_1_HIGH_SIM,LSTM_8_layer_1_LOW_SIM,LSTM_9_layer_1_HIGH_SIM,LSTM_9_layer_1_LOW_SIM,LSTM_avg_layer_1_HIGH_SIM,LSTM_avg_layer_1_LOW_SIM
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,0.04566474937,0.1357060835,-0.0002647121513,0.1615723958,-0.0003181578905,0.1996359182,-0.006784050493,0.132154258,0.09715145936,0.2794361045,0.05869054711,0.2430151266,0.05904312801,0.09270995209,0.1621076792,0.1988084271,0.1262477418,0.1680687524,-0.0002276135071,0.1182621669,0.04709597981,0.1752431555,0.0894631584,0.2015781611,0.07363502338,0.1126033749,-0.04345956181,0.1154495183,0.05290362842,0.05215850045,0.1104864058,0.2224850963,-0.00205382846,0.2109184961,0.1449992579,0.1202425278,-0.05333131429,0.1038667954,0.00135012308,0.1172915087,0.004071824439,0.1406395241,0.09029323921,0.1535814071,0.103171426,0.1887438047,0.05011064216,0.2385983551,0.005703961046,0.1627651571,0.04863002944,0.1618213827,0.2814491342,0.3757722468,0.1925910352,0.3449331233,0.2219361081,0.3420416562,0.1440812458,0.2940492779,0.2360103154,0.2639864272,0.2302776643,0.4118017616,0.2514213558,0.27870776,0.2017058195,0.3612026567,0.2495851307,0.3327582626,0.1805312036,0.3619479776,0.2132751799,0.2797404643,0.2967357275,0.3897816333,0.3079310457,0.3910445126,0.2004961415,0.341524555,0.2531907651,0.4563057462,0.2267473544,0.4024021296,0.2934201847,0.4041927352,0.1404233134,0.3497048702,0.2622840017,0.3024769531,0.2071206044,0.29549609,0.2066258082,0.4447968004,0.3045544855,0.3857486396,0.2974189951,0.441731141,0.2146644629,0.4129858292,0.3386198799,0.4001827978,0.2381238785,0.3626126419
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,0.1144549736,0.2003873733,0.09346644653,0.08442502414,0.1125863815,0.1027541182,0.04367409887,0.06366363429,0.06322418472,0.1639627801,0.04967346678,0.1282623174,0.04522413942,0.06235281703,0.1337209465,0.1850962666,0.1628485338,0.1942687614,0.05363856877,0.05723060435,0.0499799864,0.09690781205,0.1419421232,0.1112782093,0.06564542627,0.1495156518,0.06691696961,-0.04723329342,0.04780380894,0.0009463175218,0.1242136531,0.1917795413,0.08108476372,0.09761770235,0.1620703199,0.1433998551,0.01107460789,0.009631487282,0.04888879015,0.0008745550579,0.08544596331,0.05137399773,0.1166700336,0.1104645883,0.03393694479,0.1803949019,0.000106489333,0.08613180497,0.1366669012,0.0001240828866,0.08179834088,0.09702443644,0.2732145838,0.3866336501,0.2045486309,0.3470324525,0.2613028903,0.2794925976,0.20149908,0.268191263,0.2881607494,0.3404541298,0.3054217038,0.3484090745,0.3288448753,0.3540877609,0.220020319,0.3915246752,0.2513363766,0.3484882611,0.2086916335,0.3177765857,0.3248283334,0.3613069058,0.3132195739,0.4169904699,0.3135285897,0.4420129099,0.2493913749,0.3106467973,0.2560001766,0.3287473052,0.2809384026,0.3290345272,0.3247459498,0.4411317587,0.217181332,0.2891831607,0.3033603215,0.2771383733,0.2587684888,0.299678544,0.2491413339,0.3014253217,0.3020713558,0.3663674197,0.4035276719,0.3623971701,0.3096358872,0.2101869879,0.3323780164,0.4639607911,0.279270306,0.3432919557
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,0.04566474937,0.1357060835,-0.0002647121513,0.1615723958,-0.0003181578905,0.1996359182,-0.006784050493,0.132154258,0.09715145936,0.2794361045,0.05869054711,0.2430151266,0.05904312801,0.09270995209,0.1621076792,0.1988084271,0.1262477418,0.1680687524,-0.0002276135071,0.1182621669,0.04709597981,0.1752431555,0.0894631584,0.2015781611,0.07363502338,0.1126033749,-0.04345956181,0.1154495183,0.05290362842,0.05215850045,0.1104864058,0.2224850963,-0.00205382846,0.2109184961,0.1449992579,0.1202425278,-0.05333131429,0.1038667954,0.00135012308,0.1172915087,0.004071824439,0.1406395241,0.09029323921,0.1535814071,0.103171426,0.1887438047,0.05011064216,0.2385983551,0.005703961046,0.1627651571,0.04863002944,0.1618213827,0.2814491342,0.3757722468,0.1925910352,0.3449331233,0.2219361081,0.3420416562,0.1440812458,0.2940492779,0.2360103154,0.2639864272,0.2302776643,0.4118017616,0.2514213558,0.27870776,0.2017058195,0.3612026567,0.2495851307,0.3327582626,0.1805312036,0.3619479776,0.2132751799,0.2797404643,0.2967357275,0.3897816333,0.3079310457,0.3910445126,0.2004961415,0.341524555,0.2531907651,0.4563057462,0.2267473544,0.4024021296,0.2934201847,0.4041927352,0.1404233134,0.3497048702,0.2622840017,0.3024769531,0.2071206044,0.29549609,0.2066258082,0.4447968004,0.3045544855,0.3857486396,0.2974189951,0.441731141,0.2146644629,0.4129858292,0.3386198799,0.4001827978,0.2381238785,0.3626126419
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,0.1144549736,0.2003873733,0.09346644653,0.08442502414,0.1125863815,0.1027541182,0.04367409887,0.06366363429,0.06322418472,0.1639627801,0.04967346678,0.1282623174,0.04522413942,0.06235281703,0.1337209465,0.1850962666,0.1628485338,0.1942687614,0.05363856877,0.05723060435,0.0499799864,0.09690781205,0.1419421232,0.1112782093,0.06564542627,0.1495156518,0.06691696961,-0.04723329342,0.04780380894,0.0009463175218,0.1242136531,0.1917795413,0.08108476372,0.09761770235,0.1620703199,0.1433998551,0.01107460789,0.009631487282,0.04888879015,0.0008745550579,0.08544596331,0.05137399773,0.1166700336,0.1104645883,0.03393694479,0.1803949019,0.000106489333,0.08613180497,0.1366669012,0.0001240828866,0.08179834088,0.09702443644,0.2732145838,0.3866336501,0.2045486309,0.3470324525,0.2613028903,0.2794925976,0.20149908,0.268191263,0.2881607494,0.3404541298,0.3054217038,0.3484090745,0.3288448753,0.3540877609,0.220020319,0.3915246752,0.2513363766,0.3484882611,0.2086916335,0.3177765857,0.3248283334,0.3613069058,0.3132195739,0.4169904699,0.3135285897,0.4420129099,0.2493913749,0.3106467973,0.2560001766,0.3287473052,0.2809384026,0.3290345272,0.3247459498,0.4411317587,0.217181332,0.2891831607,0.3033603215,0.2771383733,0.2587684888,0.299678544,0.2491413339,0.3014253217,0.3020713558,0.3663674197,0.4035276719,0.3623971701,0.3096358872,0.2101869879,0.3323780164,0.4639607911,0.279270306,0.3432919557
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,0.1656823532,0.1186998662,0.163123599,0.1615730112,0.1468919862,0.1985315124,0.1142991667,0.1344827641,0.1555700945,0.2716600558,0.1338846861,0.2429898423,0.04194758391,0.1269619456,0.2163234491,0.1932686079,0.247859413,0.2031778112,0.1020015659,0.1175335435,0.08788183497,0.1728872607,0.1700837508,0.2174811241,0.138756165,0.123541711,0.1528229831,0.1157852458,0.04780411424,0.05452248012,0.2152572977,0.2193990764,0.1517761615,0.2098354388,0.1930835263,0.170567859,0.05029093286,0.09918047776,0.1321515655,0.1165315559,0.08421887105,0.1425346617,0.1734695944,0.161896796,0.1617590613,0.190675975,0.1712701539,0.2386509803,0.2115039855,0.1577456625,0.1451885558,0.1664046106,0.297943479,0.5173848546,0.2580394804,0.3685684395,0.2886830808,0.3704726689,0.3030193598,0.3689102873,0.2001174743,0.3234625729,0.2619420004,0.4965202934,0.2510295737,0.357883662,0.1396843399,0.4202914056,0.2902252174,0.3988048016,0.1880712496,0.3570316861,0.2137312528,0.3088957284,0.2406406163,0.3764294168,0.2295647978,0.3472841281,0.1635641114,0.4420429105,0.2446516245,0.3912543981,0.1949320637,0.4941128819,0.3173018018,0.3986152168,0.1491856194,0.4452981729,0.2102656245,0.2370500149,0.1460115801,0.3067004188,0.2560688895,0.4445797807,0.2238691943,0.4130234234,0.3237620255,0.4777094115,0.3787309781,0.4464783043,0.2049011744,0.4023145111,0.2390374644,0.3964447756
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,0.1165490803,0.2041403057,0.09346644561,0.08442349218,0.112856463,0.105012156,0.04457327156,0.065444421,0.06309041924,0.1668088302,0.04967346811,0.1282524361,0.04250982127,0.1171224979,0.1337171051,0.1798656417,0.164016606,0.2434743785,0.03635919272,0.05805787996,0.0489030909,0.09456645537,0.1370513617,0.1328046542,0.06572612877,0.1465242905,0.06600840312,-0.04650295969,0.04780442568,0.0009706433153,0.124213395,0.1917701496,0.08107962083,0.09766546454,0.1545933038,0.1777432955,0.01107470875,0.009623479591,0.04765811406,0.001136212423,0.04613877971,0.0375146247,0.1196357276,0.1168463465,0.0396590139,0.1849873584,0.000106450634,0.08613323995,0.1342822547,-0.0002276437247,0.07922986608,0.103366306,0.2489442715,0.4292839622,0.200384006,0.3324332678,0.2283438892,0.2494988357,0.1879524464,0.2493719961,0.2057950941,0.3986073419,0.1956051499,0.3678089465,0.2331331811,0.4024646683,0.1321055919,0.3461090405,0.2048237086,0.3271674097,0.1180063187,0.2773573444,0.2325245813,0.3311647724,0.2166573598,0.3939366259,0.1710280933,0.3872976028,0.1473673759,0.3826555845,0.08961253611,0.2205349302,0.1675574344,0.3820041352,0.2240135485,0.4383322245,0.08239216676,0.3541521149,0.2082064022,0.1924070161,0.1752642481,0.2967797907,0.1974360573,0.2882015453,0.2192773761,0.3606168052,0.3141513556,0.3460507372,0.3457615559,0.2253642983,0.1813244307,0.4136387742,0.1971067272,0.3357295908
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,0.1656823532,0.1186998662,0.163123599,0.1615730112,0.1468919862,0.1985315124,0.1142991667,0.1344827641,0.1555700945,0.2716600558,0.1338846861,0.2429898423,0.04194758391,0.1269619456,0.2163234491,0.1932686079,0.247859413,0.2031778112,0.1020015659,0.1175335435,0.08788183497,0.1728872607,0.1700837508,0.2174811241,0.138756165,0.123541711,0.1528229831,0.1157852458,0.04780411424,0.05452248012,0.2152572977,0.2193990764,0.1517761615,0.2098354388,0.1930835263,0.170567859,0.05029093286,0.09918047776,0.1321515655,0.1165315559,0.08421887105,0.1425346617,0.1734695944,0.161896796,0.1617590613,0.190675975,0.1712701539,0.2386509803,0.2115039855,0.1577456625,0.1451885558,0.1664046106,0.297943479,0.5173848546,0.2580394804,0.3685684395,0.2886830808,0.3704726689,0.3030193598,0.3689102873,0.2001174743,0.3234625729,0.2619420004,0.4965202934,0.2510295737,0.357883662,0.1396843399,0.4202914056,0.2902252174,0.3988048016,0.1880712496,0.3570316861,0.2137312528,0.3088957284,0.2406406163,0.3764294168,0.2295647978,0.3472841281,0.1635641114,0.4420429105,0.2446516245,0.3912543981,0.1949320637,0.4941128819,0.3173018018,0.3986152168,0.1491856194,0.4452981729,0.2102656245,0.2370500149,0.1460115801,0.3067004188,0.2560688895,0.4445797807,0.2238691943,0.4130234234,0.3237620255,0.4777094115,0.3787309781,0.4464783043,0.2049011744,0.4023145111,0.2390374644,0.3964447756
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,0.1165490803,0.2041403057,0.09346644561,0.08442349218,0.112856463,0.105012156,0.04457327156,0.065444421,0.06309041924,0.1668088302,0.04967346811,0.1282524361,0.04250982127,0.1171224979,0.1337171051,0.1798656417,0.164016606,0.2434743785,0.03635919272,0.05805787996,0.0489030909,0.09456645537,0.1370513617,0.1328046542,0.06572612877,0.1465242905,0.06600840312,-0.04650295969,0.04780442568,0.0009706433153,0.124213395,0.1917701496,0.08107962083,0.09766546454,0.1545933038,0.1777432955,0.01107470875,0.009623479591,0.04765811406,0.001136212423,0.04613877971,0.0375146247,0.1196357276,0.1168463465,0.0396590139,0.1849873584,0.000106450634,0.08613323995,0.1342822547,-0.0002276437247,0.07922986608,0.103366306,0.2489442715,0.4292839622,0.200384006,0.3324332678,0.2283438892,0.2494988357,0.1879524464,0.2493719961,0.2057950941,0.3986073419,0.1956051499,0.3678089465,0.2331331811,0.4024646683,0.1321055919,0.3461090405,0.2048237086,0.3271674097,0.1180063187,0.2773573444,0.2325245813,0.3311647724,0.2166573598,0.3939366259,0.1710280933,0.3872976028,0.1473673759,0.3826555845,0.08961253611,0.2205349302,0.1675574344,0.3820041352,0.2240135485,0.4383322245,0.08239216676,0.3541521149,0.2082064022,0.1924070161,0.1752642481,0.2967797907,0.1974360573,0.2882015453,0.2192773761,0.3606168052,0.3141513556,0.3460507372,0.3457615559,0.2253642983,0.1813244307,0.4136387742,0.1971067272,0.3357295908
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,0.09372274975,0.1858097813,0.06870094894,0.1556699378,0.1039319933,0.1473730597,0.06516048538,0.09314110384,0.1074146934,0.1712338229,0.1182291732,0.1337360765,0.05776232671,0.04352220581,0.1260513569,0.2190702601,0.1782642308,0.2636489944,-0.002587017566,0.108164373,0.1067291472,0.08438385861,0.1326856855,0.1728322393,0.09280194263,0.1133076463,-0.09370697454,0.1474956037,0.001223193606,0.08981774128,0.1331120722,0.2214352867,0.001536742823,0.1583164048,0.1190788735,0.20854535,0.006424471927,0.04007802723,0.0006373101571,0.1385643553,0.0301089295,0.1226392996,0.103935895,0.1540803051,0.1112372139,0.1380168973,0.08180944945,0.1716617042,0.0003825870132,0.2219345288,0.06978589923,0.1481791545,0.2713797565,0.341681595,0.1920057926,0.3251000681,0.2263026307,0.3014343109,0.1434838887,0.2905604795,0.2295103369,0.287629315,0.2544076758,0.4018840473,0.2189737915,0.330766235,0.2104516177,0.2816260018,0.2754780673,0.3762510709,0.1731013512,0.4121993711,0.2735009124,0.2452430218,0.3102472119,0.3976427082,0.3132880538,0.400976282,0.2035929316,0.3593272977,0.2086499621,0.4214538715,0.1983738988,0.3154443814,0.31960917,0.4326306571,0.1728405523,0.3763382664,0.3302604164,0.2457871324,0.2529105291,0.2436632437,0.207395894,0.3830861325,0.3093141788,0.3067539468,0.2627380212,0.404029318,0.1803358937,0.3761172121,0.3607469746,0.3746076291,0.2439559804,0.3452893438
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,0.05309714555,0.1616415733,0.1123474705,-8.05E-05,0.1182823968,0.001085990821,0.05888255776,-0.01099347523,0.1846248304,0.1444631817,0.1272820433,0.06319407612,0.06264630724,0.06056736793,0.1031287464,0.1394184885,0.04879023143,0.0981142318,0.02804003653,0.000163989333,0.1042142094,0.051465399,0.1618148847,0.09352171285,0.07502355159,0.04156686485,0.08874524418,0.1219557642,0.0537706554,0.05293699002,0.1085039878,0.1213466503,0.08778230843,0.1248975896,0.05052304637,0.116076215,0.05391434095,-0.05360426487,0.00274615782,0.05223287694,0.05354389725,0.04810302142,0.1069980092,0.09636715115,0.01246505671,0.1729728824,0.1031805158,0.05597989749,0.08875179191,-0.006432396671,0.08196397694,0.06987845071,0.266647074,0.3284161564,0.2198243627,0.2453009032,0.2753086854,0.2189925279,0.2039679525,0.2374138165,0.2975683548,0.2840097693,0.3339299302,0.3089773703,0.2602082485,0.3038321096,0.270593085,0.3832020784,0.2083946501,0.3442789667,0.2521645229,0.2686838572,0.334671684,0.2825612467,0.3812171612,0.413605509,0.3301470323,0.3793589429,0.2925849642,0.3268097568,0.2872212733,0.324756099,0.2850134875,0.2892662966,0.2858345899,0.334660041,0.2173356343,0.2486292927,0.3234155888,0.253439182,0.2593368199,0.2879685245,0.1797573861,0.3012557854,0.3220637889,0.3316599917,0.3728361849,0.3548998243,0.304595835,0.270572568,0.3671599237,0.4046356357,0.2852719288,0.3090874501
