exp,verb,item,sent,bias,isHigh ,gender
ic_mismatch,羡慕,0,男人羡慕女人因为[MASK]在那里。,2,1,m
ic_mismatch,羡慕,0,女人羡慕男人因为[MASK]在那里。,2,0,m
ic_mismatch,嫉妒,0,男人嫉妒女人因为[MASK]在那里。,5,1,m
ic_mismatch,嫉妒,0,女人嫉妒男人因为[MASK]在那里。,5,0,m
ic_mismatch,可怜,0,男人可怜女人因为[MASK]在那里。,5,1,m
ic_mismatch,可怜,0,女人可怜男人因为[MASK]在那里。,5,0,m
ic_mismatch,害怕,0,男人害怕女人因为[MASK]在那里。,8,1,m
ic_mismatch,害怕,0,女人害怕男人因为[MASK]在那里。,8,0,m
ic_mismatch,同情,0,男人同情女人因为[MASK]在那里。,12,1,m
ic_mismatch,同情,0,女人同情男人因为[MASK]在那里。,12,0,m
ic_mismatch,讨厌,0,男人讨厌女人因为[MASK]在那里。,12,1,m
ic_mismatch,讨厌,0,女人讨厌男人因为[MASK]在那里。,12,0,m
ic_mismatch,担心,0,男人担心女人因为[MASK]在那里。,15,1,m
ic_mismatch,担心,0,女人担心男人因为[MASK]在那里。,15,0,m
ic_mismatch,关心,0,男人关心女人因为[MASK]在那里。,22,1,m
ic_mismatch,关心,0,女人关心男人因为[MASK]在那里。,22,0,m
ic_mismatch,刺激,0,男人刺激女人因为[MASK]在那里。,32,1,m
ic_mismatch,刺激,0,女人刺激男人因为[MASK]在那里。,32,0,m
ic_mismatch,安慰,0,男人安慰女人因为[MASK]在那里。,39,1,m
ic_mismatch,安慰,0,女人安慰男人因为[MASK]在那里。,39,0,m
ic_mismatch,安抚,0,男人安抚女人因为[MASK]在那里。,41,1,m
ic_mismatch,安抚,0,女人安抚男人因为[MASK]在那里。,41,0,m
ic_mismatch,激怒,0,男人激怒女人因为[MASK]在那里。,46,1,m
ic_mismatch,激怒,0,女人激怒男人因为[MASK]在那里。,46,0,m
ic_mismatch,鼓励,0,男人鼓励女人因为[MASK]在那里。,49,1,m
ic_mismatch,鼓励,0,女人鼓励男人因为[MASK]在那里。,49,0,m
ic_mismatch,诱惑,0,男人诱惑女人因为[MASK]在那里。,51,1,m
ic_mismatch,诱惑,0,女人诱惑男人因为[MASK]在那里。,51,0,m
