exp,verb,item,sent,bias,isHigh ,gender,score,score_raw,score_gil,score_mbert
ic_mismatch,accompagna in macchina,0,l'uomo accompagna in macchina la donna perché è [+male].,35,1,m,,0.0603579571,0.1647385084,0.06653533573
ic_mismatch,accompagna in macchina,0,l'uomo accompagna in macchina la donna perché è [+female].,35,0,f,,0.4388184813,0.2062731739,0.6112275821
ic_mismatch,accompagna in macchina,0,la donna accompagna in macchina l'uomo perché è [+male].,35,0,m,,0.3744469045,0.1980605708,0.2845754902
ic_mismatch,accompagna in macchina,0,la donna accompagna in macchina l'uomo perché è [+female].,35,1,f,,0.0369331907,0.1557269283,0.3271953696
ic_mismatch,da spintone,0,l'uomo da spintone alla donna perché è [+male].,64,1,m,,0.0733219218,0.2216490884,0.1887667094
ic_mismatch,da spintone,0,l'uomo da spintone alla donna perché è [+female].,64,0,f,,0.2508324021,0.1395546426,0.3317061365
ic_mismatch,da spintone,0,la donna da spintone all'uomo perché è [+male].,64,0,m,,0.0087279701,0.09273435734,0.08970329759
ic_mismatch,da spintone,0,la donna da spintone all'uomo perché è [+female].,64,1,f,,0.3933977825,0.2650661026,0.4681311882
ic_mismatch,pettina,0,l'uomo pettina la donna perché è [+male].,43.75,1,m,,0.0503588007,0.1043388422,0.07720818825
ic_mismatch,pettina,0,l'uomo pettina la donna perché è [+female].,43.75,0,f,,0.2962612356,0.3586729406,0.5109335789
ic_mismatch,pettina,0,la donna pettina l'uomo perché è [+male].,43.75,0,m,,0.2826743498,0.2859356957,0.3869233695
ic_mismatch,pettina,0,la donna pettina l'uomo perché è [+female].,43.75,1,f,,0.0557518601,0.1822962356,0.1452994096
ic_mismatch,abbraccia,0,l'uomo abbraccia la donna perché è [+male].,44,1,m,,0.0817103847,0.1998297176,0.0844916061
ic_mismatch,abbraccia,0,l'uomo abbraccia la donna perché è [+female].,44,0,f,,0.2759821448,0.2341483259,0.5073039621
ic_mismatch,abbraccia,0,la donna abbraccia l'uomo perché è [+male].,44,0,m,,0.2770819152,0.2138580894,0.2555015929
ic_mismatch,abbraccia,0,la donna abbraccia l'uomo perché è [+female].,44,1,f,,0.0543588903,0.2188372705,0.2937381319
ic_mismatch,schiaffeggia,0,l'uomo schiaffeggia la donna perché è [+male].,71,1,m,,0.0205622637,0.1775450157,0.0946921393
