exp,item,sent,hasIC,num,isHIGH,layer,NP,sim
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,1,0.04863002944
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,2,0.1618213827
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,1,0.2381238785
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,2,0.3626126419
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,1,1,0.08179834088
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,1,2,0.09702443644
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,2,1,0.279270306
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,2,2,0.3432919557
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,1,1,0.04863002944
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,1,2,0.1618213827
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,2,1,0.2381238785
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,2,2,0.3626126419
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,1,1,0.08179834088
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,1,2,0.09702443644
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,2,1,0.279270306
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,2,2,0.3432919557
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,1,1,0.1451885558
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,1,2,0.1664046106
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,2,1,0.2390374644
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,2,2,0.3964447756
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,1,1,0.07922986608
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,1,2,0.103366306
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,2,1,0.1971067272
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,2,2,0.3357295908
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,1,1,0.1451885558
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,1,2,0.1664046106
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,2,1,0.2390374644
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,2,2,0.3964447756
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,1,1,0.07922986608
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,1,2,0.103366306
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,2,1,0.1971067272
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,2,2,0.3357295908
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,1,1,0.06978589923
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,1,2,0.1481791545
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,2,1,0.2439559804
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,2,2,0.3452893438
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,1,1,0.08196397694
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,1,2,0.06987845071
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,2,1,0.2852719288
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,2,2,0.3090874501
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,1,1,0.06978589923
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,1,2,0.1481791545
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,2,1,0.2439559804
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,2,2,0.3452893438
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,1,1,0.08196397694
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,1,2,0.06987845071
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,2,1,0.2852719288
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,2,2,0.3090874501
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,1,1,0.1555192225
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,1,2,0.1516596086
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,2,1,0.2481639184
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,2,2,0.3701207328
reading,1,The woman studied with the aristocrats of the chef who was,0,sg,0,1,1,0.08089850977
reading,1,The woman studied with the aristocrats of the chef who was,0,sg,0,1,2,0.07571431105
reading,1,The woman studied with the aristocrats of the chef who was,0,sg,0,2,1,0.1977627539
reading,1,The woman studied with the aristocrats of the chef who was,0,sg,0,2,2,0.3011724356
reading,1,The woman studied with the aristocrat of the chefs who were,0,pl,0,1,1,0.1555192225
reading,1,The woman studied with the aristocrat of the chefs who were,0,pl,0,1,2,0.1516596086
reading,1,The woman studied with the aristocrat of the chefs who were,0,pl,0,2,1,0.2481639184
reading,1,The woman studied with the aristocrat of the chefs who were,0,pl,0,2,2,0.3701207328
reading,1,The woman studied with the aristocrats of the chef who were,0,pl,1,1,1,0.08089850977
reading,1,The woman studied with the aristocrats of the chef who were,0,pl,1,1,2,0.07571431105
reading,1,The woman studied with the aristocrats of the chef who were,0,pl,1,2,1,0.1977627539
reading,1,The woman studied with the aristocrats of the chef who were,0,pl,1,2,2,0.3011724356
reading,3,The woman assisted the maid of the executives who was,1,sg,1,1,1,0.04598539431
reading,3,The woman assisted the maid of the executives who was,1,sg,1,1,2,0.160464898
reading,3,The woman assisted the maid of the executives who was,1,sg,1,2,1,0.214212542
reading,3,The woman assisted the maid of the executives who was,1,sg,1,2,2,0.2957196115
reading,3,The woman assisted the maids of the executive who was,1,sg,0,1,1,0.06427470752
reading,3,The woman assisted the maids of the executive who was,1,sg,0,1,2,0.01540646818
reading,3,The woman assisted the maids of the executive who was,1,sg,0,2,1,0.2840516531
reading,3,The woman assisted the maids of the executive who was,1,sg,0,2,2,0.2065430889
reading,3,The woman assisted the maid of the executives who were,1,pl,0,1,1,0.04598539431
reading,3,The woman assisted the maid of the executives who were,1,pl,0,1,2,0.160464898
reading,3,The woman assisted the maid of the executives who were,1,pl,0,2,1,0.214212542
reading,3,The woman assisted the maid of the executives who were,1,pl,0,2,2,0.2957196115
reading,3,The woman assisted the maids of the executive who were,1,pl,1,1,1,0.06427470752
reading,3,The woman assisted the maids of the executive who were,1,pl,1,1,2,0.01540646818
reading,3,The woman assisted the maids of the executive who were,1,pl,1,2,1,0.2840516531
reading,3,The woman assisted the maids of the executive who were,1,pl,1,2,2,0.2065430889
reading,3,The woman joked with the maid of the executives who was,0,sg,1,1,1,0.1385156614
reading,3,The woman joked with the maid of the executives who was,0,sg,1,1,2,0.1616380064
reading,3,The woman joked with the maid of the executives who was,0,sg,1,2,1,0.261368542
reading,3,The woman joked with the maid of the executives who was,0,sg,1,2,2,0.3658487056
reading,3,The woman joked with the maids of the executive who was,0,sg,0,1,1,0.06378181047
reading,3,The woman joked with the maids of the executive who was,0,sg,0,1,2,0.01507526639
