exp,verb,item,sent,bias,isHigh ,gender
ic_mismatch,accompagna in macchina,0,l'uomo accompagna in macchina la donna perché è [MASK].,35,1,m
ic_mismatch,accompagna in macchina,0,la donna accompagna in macchina l'uomo perché è [MASK].,35,0,m
ic_mismatch,da spintone,0,l'uomo da spintone alla donna perché è [MASK].,64,1,m
ic_mismatch,da spintone,0,la donna da spintone all'uomo perché è [MASK].,64,0,m
ic_mismatch,pettina,0,l'uomo pettina la donna perché è [MASK].,43.75,1,m
ic_mismatch,pettina,0,la donna pettina l'uomo perché è [MASK].,43.75,0,m
ic_mismatch,abbraccia,0,l'uomo abbraccia la donna perché è [MASK].,44,1,m
ic_mismatch,abbraccia,0,la donna abbraccia l'uomo perché è [MASK].,44,0,m
ic_mismatch,schiaffeggia,0,l'uomo schiaffeggia la donna perché è [MASK].,71,1,m
ic_mismatch,schiaffeggia,0,la donna schiaffeggia l'uomo perché è [MASK].,71,0,m
ic_mismatch,balla con,0,l'uomo balla con la donna perché è [MASK].,41.25,1,m
ic_mismatch,balla con,0,la donna balla con l'uomo perché è [MASK].,41.25,0,m
ic_mismatch,bacia,0,l'uomo bacia la donna perché è [MASK].,35,1,m
ic_mismatch,bacia,0,la donna bacia l'uomo perché è [MASK].,35,0,m
ic_mismatch,trattiene,0,l'uomo trattiene la donna perché è [MASK].,37.5,1,m
ic_mismatch,trattiene,0,la donna trattiene l'uomo perché è [MASK].,37.5,0,m
ic_mismatch,telefona,0,l'uomo telefona alla donna perché è [MASK].,20,1,m
ic_mismatch,telefona,0,la donna telefona all'uomo perché è [MASK].,20,0,m
ic_mismatch,fa solletico,0,l'uomo fa solletico alla donna perché è [MASK].,73.75,1,m
ic_mismatch,fa solletico,0,la donna fa solletico all'uomo perché è [MASK].,73.75,0,m
ic_mismatch,lusinga,0,l'uomo lusinga la donna perché è [MASK].,40,1,m
ic_mismatch,lusinga,0,la donna lusinga l'uomo perché è [MASK].,40,0,m
ic_mismatch,disobbedisce,0,l'uomo disobbedisce alla donna perché è [MASK].,72,1,m
ic_mismatch,disobbedisce,0,la donna disobbedisce all'uomo perché è [MASK].,72,0,m
