exp,verb,item,sent,bias,isHigh ,gender,score_bert,score_bert_base,score_bert_pro,score_mbert,score_roberta,score_roberta_base,score_roberta_pro
ic_mismatch,羡慕,0,男人羡慕女人因为他在那里。,2,1,m,0.029482774436473846,0.021122019737958908,0.014759955927729607,0.14764632284641266,0.0,0.0,0.0
ic_mismatch,羡慕,0,男人羡慕女人因为她在那里。,2,0,f,0.7252741456031799,0.8629840612411499,0.5605871081352234,0.08646360039710999,0.3938479423522949,0.5249456167221069,0.36463406682014465
ic_mismatch,羡慕,0,女人羡慕男人因为他在那里。,2,0,m,0.6168668866157532,0.6990801095962524,0.42052769660949707,0.12452065944671631,0.7030907869338989,0.7906208038330078,0.6312354207038879
ic_mismatch,羡慕,0,女人羡慕男人因为她在那里。,2,1,f,0.11982768774032593,0.14590388536453247,0.06236135959625244,0.09062423557043076,0.0,0.0,0.0
ic_mismatch,嫉妒,0,男人嫉妒女人因为他在那里。,5,1,m,0.05700341612100601,0.04556730017066002,0.022483618929982185,0.12461083382368088,0.05097273364663124,0.03239567205309868,0.0
ic_mismatch,嫉妒,0,男人嫉妒女人因为她在那里。,5,0,f,0.5801348686218262,0.7674515247344971,0.36610090732574463,0.027809182181954384,0.24597927927970886,0.3592331111431122,0.22467130422592163
ic_mismatch,嫉妒,0,女人嫉妒男人因为他在那里。,5,0,m,0.509581983089447,0.6100558042526245,0.291460245847702,0.13260766863822937,0.577724814414978,0.6850380897521973,0.4938301146030426
ic_mismatch,嫉妒,0,女人嫉妒男人因为她在那里。,5,1,f,0.14474539458751678,0.18210844695568085,0.0598076656460762,0.05821856111288071,0.0,0.0,0.0
ic_mismatch,可怜,0,男人可怜女人因为他在那里。,5,1,m,0.08225307613611221,0.06701518595218658,0.028513479977846146,0.041183456778526306,0.038404691964387894,0.030739204958081245,0.0
ic_mismatch,可怜,0,男人可怜女人因为她在那里。,5,0,f,0.40631237626075745,0.6127474904060364,0.28238847851753235,0.021503431722521782,0.08722967654466629,0.13366593420505524,0.07364024966955185
ic_mismatch,可怜,0,女人可怜男人因为他在那里。,5,0,m,0.3462669551372528,0.4731239080429077,0.21302087604999542,0.04125498980283737,0.19771777093410492,0.29146915674209595,0.152460515499115
ic_mismatch,可怜,0,女人可怜男人因为她在那里。,5,1,f,0.1796559989452362,0.1993669718503952,0.07616470754146576,0.024756381288170815,0.025034457445144653,0.022523624822497368,0.0
ic_mismatch,害怕,0,男人害怕女人因为他在那里。,8,1,m,0.15085867047309875,0.15954267978668213,0.05751419439911842,0.11506753414869308,0.08352083712816238,0.06342333555221558,0.03480647876858711
ic_mismatch,害怕,0,男人害怕女人因为她在那里。,8,0,f,0.29189741611480713,0.45187443494796753,0.13729432225227356,0.024249663576483727,0.1182427853345871,0.19124355912208557,0.10343648493289948
ic_mismatch,害怕,0,女人害怕男人因为他在那里。,8,0,m,0.20639261603355408,0.2866704761981964,0.10073940455913544,0.11264976114034653,0.2476683408021927,0.34444698691368103,0.18403185904026031
ic_mismatch,害怕,0,女人害怕男人因为她在那里。,8,1,f,0.2767665386199951,0.3519233465194702,0.11353255063295364,0.045042138546705246,0.027104884386062622,0.02119363099336624,0.0
ic_mismatch,同情,0,男人同情女人因为他在那里。,12,1,m,0.08137384057044983,0.06262973695993423,0.02999805100262165,0.028218643739819527,0.02093164063990116,0.0,0.0
ic_mismatch,同情,0,男人同情女人因为她在那里。,12,0,f,0.5275230407714844,0.7184785604476929,0.34995517134666443,0.0,0.15151150524616241,0.21886761486530304,0.1280563771724701
ic_mismatch,同情,0,女人同情男人因为他在那里。,12,0,m,0.4292493462562561,0.5243332982063293,0.2681126594543457,0.030923396348953247,0.4768105447292328,0.5927214622497559,0.3993450105190277
ic_mismatch,同情,0,女人同情男人因为她在那里。,12,1,f,0.211570143699646,0.2452785223722458,0.09510719031095505,0.0,0.0,0.0,0.0
ic_mismatch,讨厌,0,男人讨厌女人因为他在那里。,12,1,m,0.03385785594582558,0.029132604598999023,0.012196955271065235,0.1758071482181549,0.020180363208055496,0.0,0.0
ic_mismatch,讨厌,0,男人讨厌女人因为她在那里。,12,0,f,0.4558182954788208,0.6583143472671509,0.273628294467926,0.03794916346669197,0.17256316542625427,0.24758358299732208,0.1442837417125702
ic_mismatch,讨厌,0,女人讨厌男人因为他在那里。,12,0,m,0.3995538353919983,0.518642008304596,0.2060689926147461,0.1538507640361786,0.45548713207244873,0.5523295402526855,0.3611808121204376
ic_mismatch,讨厌,0,女人讨厌男人因为她在那里。,12,1,f,0.10486865788698196,0.13722123205661774,0.04157932847738266,0.08128554373979568,0.0,0.0,0.0
ic_mismatch,担心,0,男人担心女人因为他在那里。,15,1,m,0.11632201820611954,0.13354100286960602,0.029942495748400688,0.13690899312496185,0.06026838347315788,0.06472592055797577,0.028662696480751038
ic_mismatch,担心,0,男人担心女人因为她在那里。,15,0,f,0.10812459141016006,0.16942419111728668,0.034636784344911575,0.045409467071294785,0.03496165946125984,0.04153016209602356,0.019804127514362335
ic_mismatch,担心,0,女人担心男人因为他在那里。,15,0,m,0.17054866254329681,0.22944441437721252,0.05577269569039345,0.09247548878192902,0.12991319596767426,0.14760452508926392,0.06659484654664993
ic_mismatch,担心,0,女人担心男人因为她在那里。,15,1,f,0.12494014203548431,0.16430117189884186,0.03728541359305382,0.05333605036139488,0.01582828164100647,0.0,0.0
ic_mismatch,关心,0,男人关心女人因为他在那里。,22,1,m,0.14445935189723969,0.1108265221118927,0.08045460283756256,0.1278606355190277,0.10817410796880722,0.07174185663461685,0.04430225491523743
ic_mismatch,关心,0,男人关心女人因为她在那里。,22,0,f,0.586615264415741,0.7457992434501648,0.5588141083717346,0.05070379748940468,0.4005903899669647,0.5831151008605957,0.46555817127227783
ic_mismatch,关心,0,女人关心男人因为他在那里。,22,0,m,0.3647630512714386,0.3881909251213074,0.3022628426551819,0.11123718321323395,0.7131873965263367,0.833271324634552,0.7150970697402954
ic_mismatch,关心,0,女人关心男人因为她在那里。,22,1,f,0.3682527244091034,0.4462262988090515,0.2854345142841339,0.06351149082183838,0.013189941644668579,0.0055210180580616,0.0
ic_mismatch,刺激,0,男人刺激女人因为他在那里。,32,1,m,0.15851224958896637,0.14553594589233398,0.0913655087351799,0.08463471382856369,0.08312494307756424,0.05901171267032623,0.03302310034632683
ic_mismatch,刺激,0,男人刺激女人因为她在那里。,32,0,f,0.4722752571105957,0.6457794904708862,0.38761430978775024,0.04350966587662697,0.23206980526447296,0.3499101996421814,0.22777119278907776
ic_mismatch,刺激,0,女人刺激男人因为他在那里。,32,0,m,0.41217225790023804,0.43978238105773926,0.2915666401386261,0.06847216188907623,0.5301024913787842,0.6760969161987305,0.49759212136268616
ic_mismatch,刺激,0,女人刺激男人因为她在那里。,32,1,f,0.2634895443916321,0.3635219931602478,0.2076810896396637,0.041918110102415085,0.029000453650951385,0.015581320971250534,0.0124511132016778
