exp,verb,item,sent,bias,isHigh ,gender,score
ic_mismatch,verveelde,0,De man verveelde de vrouw omdat hij al vanaf het begin van de dag ontzettend liep te zeuren.,95,1,m,0.2499053031
ic_mismatch,verveelde,0,De vrouw verveelde de man omdat hij al vanaf het begin van e dag eigenlijk geen zin had.,95,0,m,0.3297253549
ic_mismatch,excuses aan,0,De man bood zijn excuses aan de vrouw aan omdat hij volgens de getuigen van het ongeluk alle schuld had.,100,1,m,0.4903970957
ic_mismatch,excuses aan,0,De vrouw bood zijn excuses aan de man aan omdat hij volgens de getuigen van het ongeluk geen schuld had.,100,0,m,0.5137331486
ic_mismatch,belde,0,De man belde de vrouw omdat hij nu toch eindelijk wel eens duidelijkheid wilde hebben.,82,1,m,0.4580896497
ic_mismatch,belde,0,De vrouw belde de man Chantal belde Niels omdat hij nu toch eindelijk wel eens duidelijkheid mocht geven.,82,0,m,0.3474239707
ic_mismatch,ergerde,0,De man ergerde de vrouw omdat hij bij elk plantje of beestje zo lang bleef kijken.,82,1,m,0.4519567192
ic_mismatch,ergerde,0,De vrouw ergerde de man omdat hij bij elk plantje of beestje op haar moest wachten.,82,0,m,0.9339036942
ic_mismatch,kwelde,0,De man kwelde de vrouw omdat hij na de vele avontuurtjes nog steeds met andere vrouwen sliep.,86,1,m,0.497061938
ic_mismatch,kwelde,0,De vrouw kwelde de man omdat hij na de vele avontuurtjes nog steeds door haar bedrogen werd.,86,0,m,0.8495946527
ic_mismatch,stoorde,0,De man stoorde de vrouw omdat hij tijdens het leren de hele tijd zeer irritant kuchte.,86,1,m,0.2584268153
ic_mismatch,stoorde,0,De vrouw stoorde de man omdat hij tijdens het leren de hele tijd haar gekuch hoorde.,86,0,m,0.6168419123
ic_mismatch,verontrustte,0,De man verontrustte de vrouw omdat hij niet eerder zulke discriminerende opmerkingen had gemaakt.,82,1,m,0.4343137741
ic_mismatch,verontrustte,0,De vrouw verontrustte de man omdat hij niet eerder zulke discriminerende opmerkingen had gehoord.,82,0,m,0.3592936993
ic_mismatch,won van,0,De man won van de vrouw omdat hij na enkele tientallen potjes schaak haar spel goed kende.,82,1,m,0.3931393325
ic_mismatch,won van,0,De vrouw won van de man omdat hij na enkele tientallen potjes schaak haar niet kon verassen.,82,0,m,0.5792989731
ic_mismatch,inspireerde,0,De man inspireerde de vrouw omdat hij bij het zien van onrecht altijd direct actie wilde ondernemen.,77,1,m,0.3650776744
ic_mismatch,inspireerde,0,De vrouw inspireerde de man omdat hij bij het zien van onrecht altijd op haar kon rekenen.,77,0,m,0.8308279514
ic_mismatch,intimideerde,0,De man intimideerde de vrouw omdat hij in de meeste gevallen dan zijn zin krijgt.,77,1,m,0.5476490855
ic_mismatch,intimideerde,0,De vrouw intimideerde de man omdat hij in de meeste gevallen dan toch snel toegeeft.,77,0,m,0.4886433482
ic_mismatch,irriteerde,0,De man irriteerde de vrouw omdat hij op elke bespreking weer andere ideeën opperde.,78,1,m,0.4007080793
ic_mismatch,irriteerde,0,De vrouw irriteerde de man omdat hij op elke bespreking weer andere ideeën moest aanhoren.,78,0,m,0.6773625612
ic_mismatch,bekende aan,0,De man bekende alles aan de vrouw omdat hij per se de waarheid wilde vertellen.,96,1,m,0.5486109853
ic_mismatch,bekende aan,0,De vrouw bekende alles aan de man omdat hij per se de waarheid wilde horen.,96,0,m,0.3095072508
ic_mismatch,lichtte,0,De man lichtte de vrouw op omdat hij de vorige keer een flinke som geld door haar was misgelopen.,87,1,m,0.5683422685
ic_mismatch,lichtte,0,De vrouw lichtte de man op omdat hij de vorige keer een flinke som geld van haar had gestolen.,87,0,m,0.9478946328
ic_mismatch,loog tegen,0,De man loog tegen de vrouw omdat hij de werkelijke reden achter hun problemen te pijnlijk voor haar vond.,78,1,m,0.9593868256
ic_mismatch,loog tegen,0,De vrouw loog tegen de man omdat hij de werkelijke reden achter hun problemen te pijnlijk zou vinden.,78,0,m,0.2110192925
ic_mismatch,verbaasde,0,De man verbaasde de vrouw omdat hij zo een negatieve reactie had gegeven.,82,1,m,0.3142164052
ic_mismatch,verbaasde,0,De vrouw verbaasde de man omdat hij zo een negatieve reactie had gehoord.,82,0,m,0.5960412025
ic_mismatch,smeekte,0,De man smeekte de vrouw omdat hij ondanks de vele problemen toch veel van haar hield.,83,1,m,0.8863897324
ic_mismatch,smeekte,0,De vrouw smeekte de man omdat hij ondanks de vele problemen toch haar grote liefde was.,83,0,m,0.8397520185
ic_mismatch,teleurstellen,0,De man stelde de vrouw teleur omdat hij toch wel wat meer inzet had kunnen tonen.,96,1,m,0.3746792376
ic_mismatch,teleurstellen,0,De vrouw stelde de man teleur omdat hij toch wel wat meer inzet had willen zien.,96,0,m,0.5260236263
ic_mismatch,misleidde,0,De man misleidde de vrouw omdat hij anders de potentiële nieuwe opdrachtgever zou kwijtraken.,78,1,m,0.4043182433
ic_mismatch,misleidde,0,De vrouw misleidde de man omdat hij anders de potentiële nieuwe opdrachtgever zou wegkapen.,78,0,m,0.5099263191
ic_mismatch,hinderde,0,De man hinderde de vrouw omdat hij voor zijn ochtendritueel alle ruimte gebruikte.,91,1,m,0.6393606663
ic_mismatch,hinderde,0,De vrouw hinderde de man omdat hij voor zijn ochtendritueel alle ruimte nodig had.,91,0,m,0.4823443592
ic_mismatch,fascineerde,0,De man fascineerde de vrouw omdat hij een persoon met een sterk karakter bleek te zijn.,100,1,m,0.7375813127
ic_mismatch,fascineerde,0,De vrouw fascineerde de man omdat hij een persoon met een sterk karakter altijd interessant vond.,100,0,m,0.2536069155
ic_mismatch,respecteerde,0,De man respecteerde de vrouw omdat hij zowel theoretische als praktische vaardigheden in ruime mate bezat.,5,1,m,0.1462478489
ic_mismatch,respecteerde,0,De vrouw respecteerde de man omdat hij zowel theoretische als praktische vaardigheden in een persoon waardeerde.,5,0,m,0.2662670612
ic_mismatch,bedankte,0,De man bedankte de vrouw omdat hij de afgelopen weken bij de verhuizing zeer vaak onmisbaar was gebleken.,18,1,m,0.1746326983
ic_mismatch,bedankte,0,De vrouw bedankte de man omdat hij de afgelopen weken bij de verhuizing haar hulp zeer gewaardeerd had.,18,0,m,0.4131028652
ic_mismatch,verafschuwde,0,De man verafschuwde de vrouw omdat hij werkelijk altijd domme en botte opmerkingen tegen haar maakte.,14,1,m,0.5867845416
ic_mismatch,verafschuwde,0,De vrouw verafschuwde de man omdat hij werkelijk altijd domme en botte opmerkingen ruzie van haar hoorde.,14,0,m,0.4728876948
ic_mismatch,hield van,0,De man hield van de vrouw omdat hij altijd zichzelf en ontzettend vrolijk was in haar aanwezigheid.,14,1,m,0.5384112
ic_mismatch,hield van,0,De vrouw hield van de man omdat hij altijd zichzelf en ontzettend vrolijk bij haar kon zijn.,14,0,m,0.9291248322
ic_mismatch,troostte,0,De man troostte de vrouw omdat hij na het horen van de uitslag toch wel erg teleurgesteld had gereageerd.,9,1,m,0.1762487888
ic_mismatch,troostte,0,De vrouw troostte de man omdat hij na het horen van de uitslag zag hoe moeilijk ze het had.,9,0,m,0.3472103477
ic_mismatch,strafte,0,De man strafte de vrouw omdat hij deze week een zeer vervelende schooljongen was.,5,1,m,0.2870646119
ic_mismatch,strafte,0,De vrouw strafte de man omdat hij deze week een zeer vervelende schoolmeester was.,5,0,m,0.9609691501
ic_mismatch,bekritiseerde,0,De man bekritiseerde de vrouw omdat hij de hele tijd alle moeilijke beslissingen aan haar over liet.,0,1,m,0.5090290904
ic_mismatch,bekritiseerde,0,De vrouw bekritiseerde de man omdat hij de hele tijd alle moeilijke beslissingen helemaal alleen moest nemen.,0,0,m,0.8300678134
ic_mismatch,feliciteerde,0,De man feliciteerde de vrouw omdat hij na zo’n goed gespeelde finale een schouderklopje zeker wel verdiende.,5,1,m,0.04058631882
ic_mismatch,feliciteerde,0,De vrouw feliciteerde de man omdat hij na zo’n goed gespeelde finale een schouderklopje wel terecht vond.,5,0,m,0.2307890803
ic_mismatch,minachtte,0,De man minachtte de vrouw omdat hij na al die jaren les nog steeds geen vooruitgang boekte.,0,1,m,0.200442329
ic_mismatch,minachtte,0,De vrouw minachtte de man omdat hij na al die jaren les nog steeds geen vooruitgang zag.,0,0,m,0.1836168468
ic_mismatch,benijdde,0,De man benijdde de vrouw omdat hij de zo fel begeerde mountainbike wel had gekregen.,0,1,m,0.3058048487
ic_mismatch,benijdde,0,De vrouw benijdde de man omdat hij de zo fel begeerde mountainbike niet had gekregen.,0,0,m,0.3974447846
ic_mismatch,prees,0,De man prees de vrouw omdat hij weer een zeer goede prestatie voor de camera had neergezet.,4,1,m,0.01146609522
ic_mismatch,prees,0,De vrouw prees de man omdat hij weer een zeer goede prestatie van haar had gezien.,4,0,m,0.8551762104
ic_mismatch,complimenteerde,0,De man complimenteerde de vrouw omdat hij alles zo efficient en snel geregeld had.,4,1,m,0.3475861251
ic_mismatch,complimenteerde,0,De vrouw complimenteerde de man omdat hij alles zo efficiënt en snel geregeld vond.,4,0,m,0.3541641235
ic_mismatch,stelde verantwoordelijk,0,De man stelde de vrouw verantwoordelijk omdat hij het financieel beleid van begin af aan had tegengewerkt.,9,1,m,0.2858570218
ic_mismatch,stelde verantwoordelijk,0,De vrouw stelde de man verantwoordelijk omdat hij het financieel beleid van begin af aan had afgekeurd.,9,0,m,0.726585567
ic_mismatch,haatte,0,De man haatte de vrouw omdat hij zo veel achterbakse en vuile streken had uitgehaald.,4,1,m,0.2495910078
ic_mismatch,haatte,0,De vrouw haatte de man omdat hij zo veel achterbakse en vuile streken had moeten incasseren.,4,0,m,0.6401286125
ic_mismatch,ontsloeg,0,De man ontsloeg de vrouw omdat hij nu eenmaal niet genoeg vertrouwen van de leiding had.,4,1,m,0.2561181486
ic_mismatch,ontsloeg,0,De vrouw ontsloeg de man omdat hij nu eenmaal niet genoeg vertrouwen in haar capaciteiten had.,4,0,m,0.2456027567
ic_mismatch,bewonderde,0,De man bewonderde de vrouw omdat hij een groot talent voor beeldhouwen had laten zien.,0,1,m,0.07737472653
ic_mismatch,bewonderde,0,De vrouw bewonderde de man omdat hij een groot talent voor beeldhouwen in haar had herkend.,0,0,m,0.8325914741
ic_mismatch,klaagde,0,De man klaagde de vrouw aan omdat hij een grote som geld van het bedrijf verduisterd bleek te hebben.,9,1,m,0.5443794727
ic_mismatch,klaagde,0,De vrouw klaagde de man aan omdat hij een grote som geld van het bedrijf tegoed bleek te hebben.,9,0,m,0.7556202412
ic_mismatch,vreesde,0,De man vreesde de vrouw omdat hij door vele jaren van ervaring meer kans had.,0,1,m,0.08585546911
ic_mismatch,vreesde,0,De vrouw vreesde de man omdat hij door vele jaren van ervaring haar klasse zag.,0,0,m,0.162684381
ic_mismatch,aanbad,0,De man aanbad de vrouw omdat hij als een echte Griekse god zo vaak al haar wensen had vervuld.,14,1,m,0.4798527956
ic_mismatch,aanbad,0,De vrouw aanbad de man omdat hij als een echte Griekse god zo vaak viel voor de dochters van Zeus.,14,0,m,0.8005800247
ic_mismatch,waardeerde,0,De man waardeerde de vrouw omdat hij als wetenschapper altijd goede feedback aan haar gaf.,0,1,m,0.7507739067
ic_mismatch,waardeerde,0,De vrouw waardeerde de man omdat hij als wetenschapper altijd goede feedback van haar kreeg.,0,0,m,0.8280156851
ic_mismatch,verveelde,1,De jongen verveelde het meisje omdat hij al vanaf het begin van de dag ontzettend liep te zeuren.,95,1,m,0.1704842746
ic_mismatch,verveelde,1,Het meisje verveelde de jongen omdat hij al vanaf het begin van e dag eigenlijk geen zin had.,95,0,m,0.397361964
ic_mismatch,excuses aan,1,De jongen bood zijn excuses aan het meisje aan omdat hij volgens de getuigen van het ongeluk alle schuld had.,100,1,m,0.6951534748
ic_mismatch,excuses aan,1,Het meisje bood zijn excuses aan de jongen aan omdat hij volgens de getuigen van het ongeluk geen schuld had.,100,0,m,0.6893920302
ic_mismatch,belde,1,De jongen belde het meisje omdat hij nu toch eindelijk wel eens duidelijkheid wilde hebben.,82,1,m,0.3782353997
ic_mismatch,belde,1,Het meisje belde de jongen Chantal belde Niels omdat hij nu toch eindelijk wel eens duidelijkheid mocht geven.,82,0,m,0.4330797195
ic_mismatch,ergerde,1,De jongen ergerde het meisje omdat hij bij elk plantje of beestje zo lang bleef kijken.,82,1,m,0.3612790108
ic_mismatch,ergerde,1,Het meisje ergerde de jongen omdat hij bij elk plantje of beestje op haar moest wachten.,82,0,m,0.8225955367
ic_mismatch,kwelde,1,De jongen kwelde het meisje omdat hij na de vele avontuurtjes nog steeds met andere vrouwen sliep.,86,1,m,0.3459157646
ic_mismatch,kwelde,1,Het meisje kwelde de jongen omdat hij na de vele avontuurtjes nog steeds door haar bedrogen werd.,86,0,m,0.9044355154
ic_mismatch,stoorde,1,De jongen stoorde het meisje omdat hij tijdens het leren de hele tijd zeer irritant kuchte.,86,1,m,0.05890427157
ic_mismatch,stoorde,1,Het meisje stoorde de jongen omdat hij tijdens het leren de hele tijd haar gekuch hoorde.,86,0,m,0.4404355586
ic_mismatch,verontrustte,1,De jongen verontrustte het meisje omdat hij niet eerder zulke discriminerende opmerkingen had gemaakt.,82,1,m,0.5483627915
ic_mismatch,verontrustte,1,Het meisje verontrustte de jongen omdat hij niet eerder zulke discriminerende opmerkingen had gehoord.,82,0,m,0.2047517002
ic_mismatch,won van,1,De jongen won van het meisje omdat hij na enkele tientallen potjes schaak haar spel goed kende.,82,1,m,0.261518091
ic_mismatch,won van,1,Het meisje won van de jongen omdat hij na enkele tientallen potjes schaak haar niet kon verassen.,82,0,m,0.4545570314
ic_mismatch,inspireerde,1,De jongen inspireerde het meisje omdat hij bij het zien van onrecht altijd direct actie wilde ondernemen.,77,1,m,0.4491406381
ic_mismatch,inspireerde,1,Het meisje inspireerde de jongen omdat hij bij het zien van onrecht altijd op haar kon rekenen.,77,0,m,0.9064098001
ic_mismatch,intimideerde,1,De jongen intimideerde het meisje omdat hij in de meeste gevallen dan zijn zin krijgt.,77,1,m,0.5430116057
ic_mismatch,intimideerde,1,Het meisje intimideerde de jongen omdat hij in de meeste gevallen dan toch snel toegeeft.,77,0,m,0.6369482279
ic_mismatch,irriteerde,1,De jongen irriteerde het meisje omdat hij op elke bespreking weer andere ideeën opperde.,78,1,m,0.4597783983
ic_mismatch,irriteerde,1,Het meisje irriteerde de jongen omdat hij op elke bespreking weer andere ideeën moest aanhoren.,78,0,m,0.7042979002
ic_mismatch,bekende aan,1,De jongen bekende alles aan het meisje omdat hij per se de waarheid wilde vertellen.,96,1,m,0.6592772007
ic_mismatch,bekende aan,1,Het meisje bekende alles aan de jongen omdat hij per se de waarheid wilde horen.,96,0,m,0.2341126502
