exp,item,sent,hasIC,num,isHIGH,layer,NP,sim
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,1,0.4189170676
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,2,0.4082422606
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,1,0.5794213524
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,2,0.6185049949
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,3,1,0.6328732923
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,3,2,0.695700554
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,4,1,0.6542982665
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,4,2,0.7167547691
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,5,1,0.6558988614
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,5,2,0.7039243956
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,6,1,0.6523630276
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,6,2,0.7054088128
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,7,1,0.6538026664
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,7,2,0.6964444867
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,8,1,0.6496135905
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,8,2,0.6946613438
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,9,1,0.6444078525
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,9,2,0.6819067637
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,10,1,0.641223641
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,10,2,0.682441964
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,11,1,0.6353216148
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,11,2,0.6767365064
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,12,1,0.6368799653
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,12,2,0.6834187725
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,13,1,0.6473309345
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,13,2,0.6893713113
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,14,1,0.6473290883
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,14,2,0.6841800309
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,15,1,0.6477762461
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,15,2,0.6767792735
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,16,1,0.6391386936
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,16,2,0.6643497801
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,17,1,0.6401706635
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,17,2,0.6613363117
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,18,1,0.6380739631
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,18,2,0.6625431829
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,19,1,0.6538361576
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,19,2,0.667753656
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,20,1,0.6634440875
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,20,2,0.6844971665
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,21,1,0.6707931975
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,21,2,0.6885444742
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,22,1,0.6618450388
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,22,2,0.6944362365
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,23,1,0.6607096918
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,23,2,0.6919619532
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,24,1,0.6712269603
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,24,2,0.7067211615
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,25,1,0.6639204584
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,25,2,0.7055194167
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,26,1,0.6682242012
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,26,2,0.7019095625
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,27,1,0.6856391049
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,27,2,0.7284566047
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,28,1,0.6818988497
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,28,2,0.730734628
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,29,1,0.6874925444
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,29,2,0.7297136505
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,30,1,0.6917667188
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,30,2,0.7361973054
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,31,1,0.6924846911
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,31,2,0.7387987883
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,32,1,0.6870299104
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,32,2,0.7341086293
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,33,1,0.6832023532
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,33,2,0.7334794698
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,34,1,0.6744396862
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,34,2,0.73145706
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,35,1,0.6748916477
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,35,2,0.7297652834
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,36,1,0.665490211
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,36,2,0.7252100877
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,37,1,0.6561113771
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,37,2,0.7214947788
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,38,1,0.6517141886
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,38,2,0.7216554634
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,39,1,0.6539115157
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,39,2,0.7213808166
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,40,1,0.6488766481
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,40,2,0.7111153479
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,41,1,0.6578147149
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,41,2,0.719014316
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,42,1,0.6606101567
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,42,2,0.7204845221
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,43,1,0.6684126193
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,43,2,0.7255794341
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,44,1,0.6930596101
