exp,verb,item,sent,bias,isHigh ,gender,tf_layer_0_HIGH_SIM,tf_layer_0_LOW_SIM,tf_layer_1_HIGH_SIM,tf_layer_1_LOW_SIM,tf_layer_2_HIGH_SIM,tf_layer_2_LOW_SIM,tf_layer_3_HIGH_SIM,tf_layer_3_LOW_SIM,tf_layer_4_HIGH_SIM,tf_layer_4_LOW_SIM,tf_layer_5_HIGH_SIM,tf_layer_5_LOW_SIM,tf_layer_6_HIGH_SIM,tf_layer_6_LOW_SIM,tf_layer_7_HIGH_SIM,tf_layer_7_LOW_SIM,tf_layer_8_HIGH_SIM,tf_layer_8_LOW_SIM,tf_layer_9_HIGH_SIM,tf_layer_9_LOW_SIM,tf_layer_10_HIGH_SIM,tf_layer_10_LOW_SIM,tf_layer_11_HIGH_SIM,tf_layer_11_LOW_SIM,tf_layer_12_HIGH_SIM,tf_layer_12_LOW_SIM,tf_layer_13_HIGH_SIM,tf_layer_13_LOW_SIM,tf_layer_14_HIGH_SIM,tf_layer_14_LOW_SIM,tf_layer_15_HIGH_SIM,tf_layer_15_LOW_SIM,tf_layer_16_HIGH_SIM,tf_layer_16_LOW_SIM,tf_layer_17_HIGH_SIM,tf_layer_17_LOW_SIM
ic_match,abandoned,0,The man abandoned the boy because he,33,0,m,0.2408213129,0.1902859058,0.268906448,0.2141680093,0.2716940895,0.2286400697,0.292376024,0.2397573035,0.2465214812,0.2078397309,0.2641468843,0.2069582264,0.2503390737,0.2013839511,0.2540672282,0.2047246314,0.2523129268,0.2102180573,0.2097882613,0.2028213836,0.2276688626,0.2436207724,0.2958207116,0.4258825056,0.4007437581,0.4953366141,0.3769541263,0.5423772731,0.3319064856,0.4238480884,0.3079487329,0.3936482115,0.4840949873,0.5440124699,0.3537579417,0.4611625271
ic_match,abandoned,0,The boy abandoned the man because he,33,0,m,0.1904129883,0.240751718,0.2152305214,0.269841552,0.2272289198,0.2765274425,0.2395122348,0.2991819307,0.2071244458,0.2530082481,0.2047488934,0.2725491498,0.1984448279,0.256123042,0.2038576102,0.2594126726,0.2225052492,0.263830695,0.2135864564,0.2444366493,0.2596216221,0.2678802767,0.3563968177,0.4441220859,0.4732622273,0.5190514615,0.4332837833,0.5790762944,0.388948752,0.468208168,0.370827028,0.4365127781,0.511676294,0.5832581703,0.4097196263,0.514681914
ic_match,acclaimed,0,The man acclaimed the boy because he,-58,0,m,0.2400263002,0.1900948878,0.2671473657,0.2116420181,0.2698252194,0.2262642444,0.2901529512,0.2382689279,0.245081403,0.205551622,0.2620763586,0.2064466393,0.248630271,0.2006406022,0.252066605,0.2082552179,0.2651323315,0.2307400595,0.2313125238,0.2451320925,0.2604699762,0.2982496749,0.3925754494,0.4672814337,0.5113240319,0.5797136838,0.5047819963,0.6109118764,0.4661472229,0.5130733397,0.4248853495,0.451673623,0.5487929643,0.5510655046,0.441365128,0.4508714678
ic_match,acclaimed,0,The boy acclaimed the man because he,-58,0,m,0.1901731452,0.2399987616,0.2144652726,0.2674702203,0.226448086,0.2731178309,0.2382975121,0.2932151161,0.2057430463,0.2474655056,0.2028873647,0.268945556,0.1966828178,0.2531448501,0.2039591141,0.2588493293,0.233410169,0.281345682,0.2360604403,0.2797072895,0.2816833357,0.3324374269,0.4475906477,0.5184916532,0.5500941086,0.6249367109,0.520777397,0.6480288393,0.463749424,0.566341266,0.4410877027,0.5014469664,0.5707594182,0.5850718211,0.4807719391,0.4984167448
ic_match,accompanied,0,The man accompanied the boy because he,-48,0,m,0.2395533845,0.189668238,0.2680662712,0.2148836779,0.270633393,0.228702018,0.2910910418,0.240057439,0.2455292102,0.2071311019,0.2634147612,0.2058086482,0.2500119288,0.1997930267,0.2575480984,0.2121387906,0.2651744159,0.2315219019,0.2271595194,0.2390717953,0.2741466445,0.3169572703,0.3417205091,0.419851782,0.4289278406,0.5447529976,0.4426793059,0.5762525218,0.3955915723,0.4958940162,0.3773331933,0.479335296,0.5247026329,0.5672187077,0.3969233761,0.4325747842
ic_match,accompanied,0,The boy accompanied the man because he,-48,0,m,0.1898863767,0.2395264944,0.2161793411,0.2698314866,0.2280837436,0.2746259758,0.2404109614,0.296073266,0.2080298368,0.2519107037,0.2051377179,0.2715350946,0.19948988,0.2535163655,0.2128731721,0.2609801512,0.2411874707,0.2713825059,0.2384170443,0.2623893166,0.2931791371,0.3165767994,0.4276651722,0.4070651504,0.5306666728,0.5497072521,0.5390782382,0.5737942495,0.4709548684,0.4805762675,0.457381348,0.45691032,0.5712839318,0.5477163083,0.4871234351,0.4435429795
ic_match,accused,0,The man accused the boy because he,2,0,m,0.2400186081,0.1898857029,0.2663224164,0.2150615779,0.2701576043,0.2293766048,0.2907028506,0.2407602132,0.2453613038,0.2086806428,0.262445837,0.2082034692,0.2469281732,0.2011370405,0.2521696562,0.2091157991,0.2602191659,0.2288055173,0.2252129555,0.2436583699,0.2504340525,0.3045383367,0.3415376082,0.4555437886,0.4497956538,0.5352501404,0.4335915479,0.5804022818,0.4014507742,0.5107965845,0.3721650833,0.4739773783,0.5158358287,0.5762731587,0.3910793634,0.4798184214
ic_match,accused,0,The boy accused the man because he,2,0,m,0.1900444038,0.2399503798,0.2161715423,0.269783657,0.2280920656,0.2749972331,0.2404924922,0.2960821321,0.2071611466,0.2492230575,0.2040718226,0.2702511754,0.1973574483,0.2497333093,0.2036852463,0.2577940334,0.2299471795,0.2774821157,0.2308798866,0.2680880557,0.2863263287,0.3418200334,0.4203131212,0.5146881382,0.5335809739,0.6148383678,0.4883970255,0.6676939046,0.4333273803,0.6107461617,0.40790547,0.5718438819,0.5299058539,0.6251860724,0.4257465124,0.5454939021
ic_match,admired,0,The man admired the boy because he,-92,0,m,0.2402334319,0.1896467492,0.2663535462,0.2105044488,0.2690146256,0.2227742261,0.2903701597,0.2353705003,0.2455957734,0.2035261958,0.2632920541,0.2020049526,0.2493887978,0.1963649762,0.2566439789,0.2057898161,0.2654950058,0.2241150237,0.2330007549,0.2378106134,0.2573277811,0.2890285013,0.3637400438,0.502511855,0.4712046243,0.5911768958,0.4464110997,0.6599673087,0.3989857019,0.5783781132,0.3597410337,0.5125700591,0.4979897286,0.5963596197,0.3708366488,0.5045884536
ic_match,admired,0,The boy admired the man because he,-92,0,m,0.1901307286,0.2400637552,0.2134231635,0.2697957017,0.2255210289,0.2747132687,0.2385593265,0.2957355042,0.2067317069,0.2505597062,0.2038338793,0.2716884285,0.1977901486,0.2540785711,0.2085462379,0.2615607536,0.2380383928,0.2732137826,0.2364899377,0.2804403563,0.284932656,0.327525629,0.42181138,0.5277761402,0.5349312468,0.6334086875,0.4962126454,0.6964154076,0.4357005462,0.6226735431,0.4126008046,0.5528726831,0.5311349115,0.6232333471,0.4324204837,0.5461233028
