consistent sent,right context consistent,right context inconsistent
SUBJ verveelde OBJ,omdat hij al vanaf het begin van de dag ontzettend liep te zeuren.,omdat hij al vanaf het begin van e dag eigenlijk geen zin had.
SUBJ bood zijn excuses aan OBJ aan,omdat hij volgens de getuigen van het ongeluk alle schuld had.,omdat hij volgens de getuigen van het ongeluk geen schuld had.
SUBJ belde OBJ,omdat hij nu toch eindelijk wel eens duidelijkheid wilde hebben.,Chantal belde Niels omdat hij nu toch eindelijk wel eens duidelijkheid mocht geven.
SUBJ ergerde OBJ,omdat hij bij elk plantje of beestje zo lang bleef kijken.,omdat hij bij elk plantje of beestje op haar moest wachten.
SUBJ kwelde OBJ,omdat hij na de vele avontuurtjes nog steeds met andere vrouwen sliep.,omdat hij na de vele avontuurtjes nog steeds door haar bedrogen werd.
SUBJ stoorde OBJ,omdat hij tijdens het leren de hele tijd zeer irritant kuchte.,omdat hij tijdens het leren de hele tijd haar gekuch hoorde.
SUBJ verontrustte OBJ,omdat hij niet eerder zulke discriminerende opmerkingen had gemaakt.,omdat hij niet eerder zulke discriminerende opmerkingen had gehoord.
SUBJ won van OBJ,omdat hij na enkele tientallen potjes schaak haar spel goed kende.,omdat hij na enkele tientallen potjes schaak haar niet kon verassen.
SUBJ inspireerde OBJ,omdat hij bij het zien van onrecht altijd direct actie wilde ondernemen.,omdat hij bij het zien van onrecht altijd op haar kon rekenen.
SUBJ intimideerde OBJ,omdat hij in de meeste gevallen dan zijn zin krijgt.,omdat hij in de meeste gevallen dan toch snel toegeeft.
SUBJ irriteerde OBJ,omdat hij op elke bespreking weer andere ideeën opperde.,omdat hij op elke bespreking weer andere ideeën moest aanhoren.
SUBJ bekende alles aan OBJ,omdat hij per se de waarheid wilde vertellen.,omdat hij per se de waarheid wilde horen.
SUBJ lichtte OBJ op,omdat hij de vorige keer een flinke som geld door haar was misgelopen.,omdat hij de vorige keer een flinke som geld van haar had gestolen.
SUBJ loog tegen OBJ,omdat hij de werkelijke reden achter hun problemen te pijnlijk voor haar vond.,omdat hij de werkelijke reden achter hun problemen te pijnlijk zou vinden.
SUBJ verbaasde OBJ,omdat hij zo een negatieve reactie had gegeven.,omdat hij zo een negatieve reactie had gehoord.
SUBJ smeekte OBJ,omdat hij ondanks de vele problemen toch veel van haar hield.,omdat hij ondanks de vele problemen toch haar grote liefde was.
SUBJ stelde OBJ teleur,omdat hij toch wel wat meer inzet had kunnen tonen.,omdat hij toch wel wat meer inzet had willen zien.
SUBJ misleidde OBJ,omdat hij anders de potentiële nieuwe opdrachtgever zou kwijtraken.,omdat hij anders de potentiële nieuwe opdrachtgever zou wegkapen.
