exp,item,sent,hasIC,num,isHIGH,model,lstm_score
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_1,0.04056779657
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_10,0.1099295244
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_11,0.04621383038
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_12,0.02593302094
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_13,0.02581839264
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_14,0.03565364899
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_15,0.4308760855
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_16,0.08314675879
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_17,0.09098476599
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_18,0.1150266947
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_19,0.07046378033
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_2,0.0713189859
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_20,0.02471633643
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_21,0.1099915708
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_22,0.04735005917
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_23,0.06213702653
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_24,0.06927830344
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_25,0.016731836
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_3,0.197337915
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_4,0.1505333648
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_5,0.0582293469
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_6,0.123909976
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_7,0.2271746362
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_8,0.1367239714
story,1,The man admires the agent of the rockers who was,1,sg,1,LSTM_9,0.2126162236
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_1,0.8998896962
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_10,0.6651021062
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_11,0.77701431
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_12,0.5962641533
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_13,0.8263585984
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_14,0.7757428302
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_15,0.222236887
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_16,0.686344577
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_17,0.7621297134
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_18,0.771379125
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_19,0.2763559559
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_2,0.5275825081
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_20,0.759830802
story,1,The man admires the agents of the rocker who was,1,sg,0,LSTM_21,0.674284049
