exp,item,sent,hasIC,num,isHIGH,model,lstm_surp
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_1,5.118201733
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_10,6.121090889
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_11,6.111232758
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_12,6.839605331
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_13,7.41347599
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_14,6.64836216
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_15,5.232179165
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_16,4.493425846
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_17,5.813976765
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_18,5.507406712
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_19,6.06597662
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_2,4.561118126
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_20,5.505407333
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_21,5.480968475
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_22,5.775802135
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_23,6.087562561
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_24,6.802914143
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_25,5.824756622
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_3,3.387113094
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_4,5.120001793
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_5,5.887971878
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_6,5.117304802
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_7,6.365060806
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_8,6.850381374
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,LSTM_9,4.23071003
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_1,2.979745388
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_10,3.724931955
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_11,2.71112895
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_12,3.529879332
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_13,3.264303923
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_14,3.192197561
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_15,3.075707912
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_16,2.658032894
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_17,2.951908112
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_18,3.248991013
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_19,5.573431492
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_2,2.736811399
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_20,3.173840046
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_21,3.776026726
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_22,3.282287121
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_23,3.343611002
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_24,3.787151814
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_25,3.517539263
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_3,3.372996569
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_4,3.295020342
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_5,2.896164179
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_6,4.035754681
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_7,3.143377066
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_8,3.183518648
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,LSTM_9,3.783579826
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_1,3.283844709
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_10,3.451880217
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_11,3.078493834
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_12,2.624277592
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_13,3.317725658
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_14,3.148559332
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_15,3.38887167
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_16,2.851238966
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_17,3.358679533
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_18,3.187648296
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_19,3.381652594
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_2,4.259245872
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_20,3.166271448
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_21,3.389254808
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_22,4.770919323
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_23,3.218486071
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_24,3.78950882
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_25,3.168348312
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_3,4.181349754
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_4,3.479758024
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_5,3.319591284
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_6,3.831100225
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_7,3.317457914
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_8,2.909438848
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,LSTM_9,4.046367645
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_1,7.208877087
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,LSTM_10,4.812378407
