exp,item,sent,hasIC,num,isHIGH,gpt_layer_0_HIGH_SIM,gpt_layer_0_LOW_SIM,gpt_layer_1_HIGH_SIM,gpt_layer_1_LOW_SIM,gpt_layer_2_HIGH_SIM,gpt_layer_2_LOW_SIM,gpt_layer_3_HIGH_SIM,gpt_layer_3_LOW_SIM,gpt_layer_4_HIGH_SIM,gpt_layer_4_LOW_SIM,gpt_layer_5_HIGH_SIM,gpt_layer_5_LOW_SIM,gpt_layer_6_HIGH_SIM,gpt_layer_6_LOW_SIM,gpt_layer_7_HIGH_SIM,gpt_layer_7_LOW_SIM,gpt_layer_8_HIGH_SIM,gpt_layer_8_LOW_SIM,gpt_layer_9_HIGH_SIM,gpt_layer_9_LOW_SIM,gpt_layer_10_HIGH_SIM,gpt_layer_10_LOW_SIM,gpt_layer_11_HIGH_SIM,gpt_layer_11_LOW_SIM,gpt_layer_12_HIGH_SIM,gpt_layer_12_LOW_SIM,gpt_layer_13_HIGH_SIM,gpt_layer_13_LOW_SIM,gpt_layer_14_HIGH_SIM,gpt_layer_14_LOW_SIM,gpt_layer_15_HIGH_SIM,gpt_layer_15_LOW_SIM,gpt_layer_16_HIGH_SIM,gpt_layer_16_LOW_SIM,gpt_layer_17_HIGH_SIM,gpt_layer_17_LOW_SIM,gpt_layer_18_HIGH_SIM,gpt_layer_18_LOW_SIM,gpt_layer_19_HIGH_SIM,gpt_layer_19_LOW_SIM,gpt_layer_20_HIGH_SIM,gpt_layer_20_LOW_SIM,gpt_layer_21_HIGH_SIM,gpt_layer_21_LOW_SIM,gpt_layer_22_HIGH_SIM,gpt_layer_22_LOW_SIM,gpt_layer_23_HIGH_SIM,gpt_layer_23_LOW_SIM,gpt_layer_24_HIGH_SIM,gpt_layer_24_LOW_SIM,gpt_layer_25_HIGH_SIM,gpt_layer_25_LOW_SIM,gpt_layer_26_HIGH_SIM,gpt_layer_26_LOW_SIM,gpt_layer_27_HIGH_SIM,gpt_layer_27_LOW_SIM,gpt_layer_28_HIGH_SIM,gpt_layer_28_LOW_SIM,gpt_layer_29_HIGH_SIM,gpt_layer_29_LOW_SIM,gpt_layer_30_HIGH_SIM,gpt_layer_30_LOW_SIM,gpt_layer_31_HIGH_SIM,gpt_layer_31_LOW_SIM,gpt_layer_32_HIGH_SIM,gpt_layer_32_LOW_SIM,gpt_layer_33_HIGH_SIM,gpt_layer_33_LOW_SIM,gpt_layer_34_HIGH_SIM,gpt_layer_34_LOW_SIM,gpt_layer_35_HIGH_SIM,gpt_layer_35_LOW_SIM,gpt_layer_36_HIGH_SIM,gpt_layer_36_LOW_SIM,gpt_layer_37_HIGH_SIM,gpt_layer_37_LOW_SIM,gpt_layer_38_HIGH_SIM,gpt_layer_38_LOW_SIM,gpt_layer_39_HIGH_SIM,gpt_layer_39_LOW_SIM,gpt_layer_40_HIGH_SIM,gpt_layer_40_LOW_SIM,gpt_layer_41_HIGH_SIM,gpt_layer_41_LOW_SIM,gpt_layer_42_HIGH_SIM,gpt_layer_42_LOW_SIM,gpt_layer_43_HIGH_SIM,gpt_layer_43_LOW_SIM,gpt_layer_44_HIGH_SIM,gpt_layer_44_LOW_SIM,gpt_layer_45_HIGH_SIM,gpt_layer_45_LOW_SIM,gpt_layer_46_HIGH_SIM,gpt_layer_46_LOW_SIM,gpt_layer_47_HIGH_SIM,gpt_layer_47_LOW_SIM
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,0.4023803241,0.4163362096,0.56561327,0.6132965008,0.6271147551,0.6900406909,0.6477749755,0.7076253406,0.6481252663,0.6926780427,0.6498215985,0.6983566146,0.6546169017,0.6961132324,0.6527256718,0.701007516,0.6520332098,0.6930689875,0.649935619,0.694676741,0.6429869481,0.6930103531,0.6424321526,0.7048625159,0.6524169524,0.7109839903,0.6598815817,0.7151276394,0.6682307928,0.7189833305,0.6652138317,0.7245953517,0.666486042,0.7283582848,0.6569832027,0.7274891293,0.6580671089,0.7265356694,0.666454332,0.731961378,0.6644472412,0.7318961053,0.6533340048,0.7304584937,0.6461816529,0.731088341,0.6545237283,0.7367396866,0.646465587,0.7357418263,0.6501422752,0.7304184209,0.6612156883,0.7468754736,0.6576567419,0.7469223889,0.6632281391,0.7458419615,0.6652773342,0.751962107,0.6660924696,0.7517524038,0.6667960252,0.7477830505,0.6629296806,0.74838616,0.6521210699,0.7442344112,0.654767732,0.7474310558,0.6404471615,0.7369572265,0.6345558601,0.7352254714,0.6254518142,0.7314116407,0.617950377,0.7239766735,0.6227482063,0.7190103645,0.627652699,0.7228028093,0.6253450622,0.7185494414,0.6255058829,0.7183079561,0.6435539253,0.7344702661,0.6923663111,0.7731682374,0.7560402307,0.8233590297,0.7780835056,0.8388827743,0.3433437588,0.4737864098
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,0.4097823493,0.389838166,0.5647135816,0.5822117864,0.644542891,0.6692058806,0.664888453,0.6895751687,0.6687957818,0.6651710475,0.668247189,0.6678467952,0.672639417,0.6715748143,0.6674410409,0.6799966219,0.661646327,0.6759009583,0.6584549959,0.677089769,0.6474922554,0.6730097688,0.6494725203,0.6838674182,0.660303875,0.6995184338,0.664683098,0.7045197567,0.6626871622,0.7183091575,0.6584035783,0.7279991268,0.6580292647,0.725238842,0.6464511436,0.7210342769,0.6436314032,0.7193061497,0.6419700717,0.7281571789,0.6390129082,0.7263714011,0.627957754,0.7181863444,0.6219976206,0.7166838913,0.6341481877,0.7246281604,0.6287501058,0.7153088844,0.6254246369,0.7010248049,0.634443674,0.7127286803,0.6330682526,0.7135964027,0.6398490347,0.7196217116,0.6413639651,0.7267903145,0.6390403802,0.7191918784,0.639198956,0.7220592948,0.6301242864,0.7171894859,0.6143187868,0.7140943163,0.6149589602,0.7240003462,0.6013967722,0.7166156169,0.5935870716,0.7137598499,0.5873911971,0.7086173058,0.5840949815,0.7056516245,0.5886377246,0.7062995041,0.5964729641,0.7095947682,0.5947372867,0.7051443914,0.5996375175,0.7010349328,0.6302880383,0.7024807542,0.6871943686,0.7320855394,0.7590359482,0.7746298881,0.7807291982,0.7851127599,0.3486349467,0.3072085693
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,0.4023803241,0.4163362096,0.56561327,0.6132965008,0.6271147551,0.6900406909,0.6477749755,0.7076253406,0.6481252663,0.6926780427,0.6498215985,0.6983566146,0.6546169017,0.6961132324,0.6527256718,0.701007516,0.6520332098,0.6930689875,0.649935619,0.694676741,0.6429869481,0.6930103531,0.6424321526,0.7048625159,0.6524169524,0.7109839903,0.6598815817,0.7151276394,0.6682307928,0.7189833305,0.6652138317,0.7245953517,0.666486042,0.7283582848,0.6569832027,0.7274891293,0.6580671089,0.7265356694,0.666454332,0.731961378,0.6644472412,0.7318961053,0.6533340048,0.7304584937,0.6461816529,0.731088341,0.6545237283,0.7367396866,0.646465587,0.7357418263,0.6501422752,0.7304184209,0.6612156883,0.7468754736,0.6576567419,0.7469223889,0.6632281391,0.7458419615,0.6652773342,0.751962107,0.6660924696,0.7517524038,0.6667960252,0.7477830505,0.6629296806,0.74838616,0.6521210699,0.7442344112,0.654767732,0.7474310558,0.6404471615,0.7369572265,0.6345558601,0.7352254714,0.6254518142,0.7314116407,0.617950377,0.7239766735,0.6227482063,0.7190103645,0.627652699,0.7228028093,0.6253450622,0.7185494414,0.6255058829,0.7183079561,0.6435539253,0.7344702661,0.6923663111,0.7731682374,0.7560402307,0.8233590297,0.7780835056,0.8388827743,0.3433437588,0.4737864098
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,0.4097823493,0.389838166,0.5647135816,0.5822117864,0.644542891,0.6692058806,0.664888453,0.6895751687,0.6687957818,0.6651710475,0.668247189,0.6678467952,0.672639417,0.6715748143,0.6674410409,0.6799966219,0.661646327,0.6759009583,0.6584549959,0.677089769,0.6474922554,0.6730097688,0.6494725203,0.6838674182,0.660303875,0.6995184338,0.664683098,0.7045197567,0.6626871622,0.7183091575,0.6584035783,0.7279991268,0.6580292647,0.725238842,0.6464511436,0.7210342769,0.6436314032,0.7193061497,0.6419700717,0.7281571789,0.6390129082,0.7263714011,0.627957754,0.7181863444,0.6219976206,0.7166838913,0.6341481877,0.7246281604,0.6287501058,0.7153088844,0.6254246369,0.7010248049,0.634443674,0.7127286803,0.6330682526,0.7135964027,0.6398490347,0.7196217116,0.6413639651,0.7267903145,0.6390403802,0.7191918784,0.639198956,0.7220592948,0.6301242864,0.7171894859,0.6143187868,0.7140943163,0.6149589602,0.7240003462,0.6013967722,0.7166156169,0.5935870716,0.7137598499,0.5873911971,0.7086173058,0.5840949815,0.7056516245,0.5886377246,0.7062995041,0.5964729641,0.7095947682,0.5947372867,0.7051443914,0.5996375175,0.7010349328,0.6302880383,0.7024807542,0.6871943686,0.7320855394,0.7590359482,0.7746298881,0.7807291982,0.7851127599,0.3486349467,0.3072085693
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,0.4052606597,0.4003789591,0.5578522082,0.5937309829,0.6425221688,0.6846747379,0.6620981355,0.7008908445,0.6697552806,0.6858191907,0.6690516834,0.6905568226,0.6705342296,0.6868476792,0.6668438393,0.6896185044,0.6595747567,0.6830415984,0.6575433676,0.6887094529,0.6564933059,0.693342433,0.6563685241,0.7041704474,0.6656709452,0.7149691913,0.6676151569,0.718545281,0.6676235291,0.7240987327,0.6650594034,0.7333909979,0.6604431229,0.7364241236,0.6465205601,0.7397986732,0.6366468523,0.7450862535,0.6302542074,0.7562996265,0.6223780518,0.7610153252,0.6173184488,0.770007902,0.6175905917,0.7726508569,0.6266137406,0.7740480196,0.6160973347,0.767920059,0.6151257207,0.760663621,0.624390574,0.7619171367,0.6183224647,0.7580101732,0.6206615292,0.7598088458,0.6203552068,0.7629710221,0.616636058,0.7578493637,0.614564743,0.7518503171,0.6091643496,0.7527572454,0.5975836628,0.7528526549,0.5962178394,0.7538439117,0.5828363722,0.7425188611,0.5799168027,0.7360463366,0.5751877357,0.7357969974,0.5663902233,0.7273214371,0.5645696922,0.7244875426,0.5711586519,0.7308438642,0.5655938123,0.7274824841,0.5732793075,0.7272115373,0.6036646627,0.7383462409,0.6635728102,0.7700645736,0.7371979082,0.8179274108,0.7594159042,0.8286524067,0.3039362801,0.4344923515
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,0.4054741961,0.368822246,0.5586498193,0.5651760389,0.640972721,0.6656602815,0.6610898138,0.6822498325,0.6679857134,0.6596892152,0.6675847514,0.6607984481,0.668972122,0.6626591058,0.6641328488,0.6695457627,0.6566799022,0.6669770174,0.6550356258,0.6754363608,0.6506875926,0.6763662048,0.6493274277,0.6910400522,0.6598348666,0.7107084712,0.6559872715,0.7136098752,0.648894327,0.7258815923,0.6405614096,0.7326441527,0.6339320011,0.7303868872,0.6173877055,0.7296403952,0.6090034348,0.7289251004,0.6075653005,0.7362165121,0.5998038431,0.739180556,0.5941005985,0.7344389166,0.5883582169,0.7311697564,0.5997713729,0.73351322,0.59058503,0.7183599327,0.5861042483,0.6988559965,0.5903588303,0.6937761108,0.5830768547,0.6895417251,0.591949415,0.695207228,0.592772732,0.6981640379,0.5867396341,0.6915994673,0.588713908,0.6916407302,0.5828669934,0.6902924181,0.5702813423,0.6889674373,0.5718176351,0.698028123,0.561275596,0.691499153,0.5568100148,0.6872376483,0.5515344471,0.6824625305,0.5508037166,0.6814735743,0.5561596387,0.6898779832,0.5687907034,0.696928936,0.5670494317,0.6927029267,0.576789403,0.6973087864,0.6123306701,0.7038413998,0.6747621525,0.7340065954,0.7472867391,0.7759577913,0.7654422556,0.7838375758,0.3063286387,0.2786421634
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,0.4052606597,0.4003789591,0.5578522082,0.5937309829,0.6425221688,0.6846747379,0.6620981355,0.7008908445,0.6697552806,0.6858191907,0.6690516834,0.6905568226,0.6705342296,0.6868476792,0.6668438393,0.6896185044,0.6595747567,0.6830415984,0.6575433676,0.6887094529,0.6564933059,0.693342433,0.6563685241,0.7041704474,0.6656709452,0.7149691913,0.6676151569,0.718545281,0.6676235291,0.7240987327,0.6650594034,0.7333909979,0.6604431229,0.7364241236,0.6465205601,0.7397986732,0.6366468523,0.7450862535,0.6302542074,0.7562996265,0.6223780518,0.7610153252,0.6173184488,0.770007902,0.6175905917,0.7726508569,0.6266137406,0.7740480196,0.6160973347,0.767920059,0.6151257207,0.760663621,0.624390574,0.7619171367,0.6183224647,0.7580101732,0.6206615292,0.7598088458,0.6203552068,0.7629710221,0.616636058,0.7578493637,0.614564743,0.7518503171,0.6091643496,0.7527572454,0.5975836628,0.7528526549,0.5962178394,0.7538439117,0.5828363722,0.7425188611,0.5799168027,0.7360463366,0.5751877357,0.7357969974,0.5663902233,0.7273214371,0.5645696922,0.7244875426,0.5711586519,0.7308438642,0.5655938123,0.7274824841,0.5732793075,0.7272115373,0.6036646627,0.7383462409,0.6635728102,0.7700645736,0.7371979082,0.8179274108,0.7594159042,0.8286524067,0.3039362801,0.4344923515
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,0.4054741961,0.368822246,0.5586498193,0.5651760389,0.640972721,0.6656602815,0.6610898138,0.6822498325,0.6679857134,0.6596892152,0.6675847514,0.6607984481,0.668972122,0.6626591058,0.6641328488,0.6695457627,0.6566799022,0.6669770174,0.6550356258,0.6754363608,0.6506875926,0.6763662048,0.6493274277,0.6910400522,0.6598348666,0.7107084712,0.6559872715,0.7136098752,0.648894327,0.7258815923,0.6405614096,0.7326441527,0.6339320011,0.7303868872,0.6173877055,0.7296403952,0.6090034348,0.7289251004,0.6075653005,0.7362165121,0.5998038431,0.739180556,0.5941005985,0.7344389166,0.5883582169,0.7311697564,0.5997713729,0.73351322,0.59058503,0.7183599327,0.5861042483,0.6988559965,0.5903588303,0.6937761108,0.5830768547,0.6895417251,0.591949415,0.695207228,0.592772732,0.6981640379,0.5867396341,0.6915994673,0.588713908,0.6916407302,0.5828669934,0.6902924181,0.5702813423,0.6889674373,0.5718176351,0.698028123,0.561275596,0.691499153,0.5568100148,0.6872376483,0.5515344471,0.6824625305,0.5508037166,0.6814735743,0.5561596387,0.6898779832,0.5687907034,0.696928936,0.5670494317,0.6927029267,0.576789403,0.6973087864,0.6123306701,0.7038413998,0.6747621525,0.7340065954,0.7472867391,0.7759577913,0.7654422556,0.7838375758,0.3063286387,0.2786421634
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,0.4013750315,0.3996486845,0.5938817937,0.5611070766,0.6762658582,0.6436902005,0.6872212454,0.6602317221,0.6677283017,0.662788615,0.67211475,0.6650550741,0.6782514684,0.6657966394,0.6815281522,0.6672699636,0.6715134564,0.663336526,0.6711706774,0.6599809301,0.6687060207,0.6586477844,0.6693118113,0.6602456541,0.6785062419,0.6733850376,0.6821102407,0.6796452279,0.7003362451,0.6793514678,0.6985792456,0.6781583854,0.6962417271,0.6759930135,0.6938861626,0.6690273723,0.7084325039,0.666123506,0.7163651343,0.6677533604,0.7183348016,0.6634470679,0.7152356069,0.6480592314,0.7146861003,0.6428330876,0.7183019262,0.655450541,0.7175579662,0.6538241026,0.7075206815,0.649296968,0.714236243,0.6649921147,0.7120372232,0.6612214684,0.7124033976,0.669918855,0.7100349615,0.6767285724,0.6972009072,0.6834214702,0.6861499733,0.6885949103,0.6788292021,0.6927018762,0.6680066584,0.6930207545,0.6672109642,0.6956528482,0.655776625,0.6935139812,0.6491601577,0.686437892,0.6359410254,0.683311582,0.624008447,0.67912867,0.6220506934,0.6853056496,0.6259502829,0.6892355006,0.6280234961,0.6917841428,0.6345030475,0.6928465263,0.6586213095,0.7106541283,0.7153292858,0.7416457187,0.7856697458,0.7891484664,0.8123011758,0.7950803253,0.4454152532,0.3541816389
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,0.4251664706,0.3906310331,0.6226578911,0.5598847963,0.6935181148,0.6297649355,0.6996281484,0.643668002,0.6882540842,0.6431213038,0.694503218,0.648640364,0.6953245789,0.6522024488,0.6963766255,0.6539017576,0.6844829682,0.6556838928,0.6892413158,0.6528663965,0.685364866,0.6509512154,0.6864074935,0.6537184654,0.6881072146,0.6595153463,0.6879877979,0.6717154579,0.6914928993,0.6842049582,0.6896045789,0.6919983335,0.685647107,0.6874356503,0.6845667283,0.6838360053,0.6978106739,0.6862319584,0.6999827506,0.6943701778,0.7011163147,0.6894514078,0.6998309734,0.6735601001,0.6963253059,0.6602609371,0.7008416084,0.6661191702,0.704897294,0.6624891198,0.6993726794,0.6562215617,0.7125889887,0.6693039489,0.7178736208,0.6630530999,0.7162376259,0.6697939121,0.7181318603,0.6790050169,0.7149620714,0.6815024679,0.709623443,0.6870717012,0.7027265178,0.687503096,0.6959430476,0.6847934001,0.6925977943,0.6924269135,0.6843177583,0.6880121672,0.6797692316,0.6891588555,0.6701699868,0.6834258931,0.6611415207,0.6795908941,0.6596914581,0.6886115263,0.6631613028,0.6859724359,0.6665784303,0.6863015233,0.6716079129,0.6779216636,0.6966914708,0.6812778849,0.7522836145,0.6991815706,0.8142264771,0.7317724965,0.8388963035,0.7260420247,0.4880331056,0.1930973092
