exp,verb,item,sent,bias,isHigh ,gender
ic_mismatch,alcanzó,0,el hombre alcanzó a la mujer porque [MASK] estaba allí.,66.7,1,m
ic_mismatch,alcanzó,0,la mujer alcanzó al hombre porque [MASK] estaba allí.,66.7,0,m
ic_mismatch,contempló,0,el hombre contempló a la mujer porque [MASK] estaba allí.,25.9,1,m
ic_mismatch,contempló,0,la mujer contempló al hombre porque [MASK] estaba allí.,25.9,0,m
ic_mismatch,demostró,0,el hombre demostró a la mujer porque [MASK] estaba allí.,75.5,1,m
ic_mismatch,demostró,0,la mujer demostró al hombre porque [MASK] estaba allí.,75.5,0,m
ic_mismatch,descubrió,0,el hombre descubrió a la mujer porque [MASK] estaba allí.,35.8,1,m
ic_mismatch,descubrió,0,la mujer descubrió al hombre porque [MASK] estaba allí.,35.8,0,m
ic_mismatch,eligió,0,el hombre eligió a la mujer porque [MASK] estaba allí.,9.4,1,m
ic_mismatch,eligió,0,la mujer eligió al hombre porque [MASK] estaba allí.,9.4,0,m
ic_mismatch,encontró,0,el hombre encontró a la mujer porque [MASK] estaba allí.,76.6,1,m
ic_mismatch,encontró,0,la mujer encontró al hombre porque [MASK] estaba allí.,76.6,0,m
ic_mismatch,escuchó,0,el hombre escuchó a la mujer porque [MASK] estaba allí.,33.3,1,m
ic_mismatch,escuchó,0,la mujer escuchó al hombre porque [MASK] estaba allí.,33.3,0,m
ic_mismatch,levantó,0,el hombre levantó a la mujer porque [MASK] estaba allí.,15.1,1,m
ic_mismatch,levantó,0,la mujer levantó al hombre porque [MASK] estaba allí.,15.1,0,m
ic_mismatch,llamó,0,el hombre llamó a la mujer porque [MASK] estaba allí.,76.5,1,m
ic_mismatch,llamó,0,la mujer llamó al hombre porque [MASK] estaba allí.,76.5,0,m
ic_mismatch,miró,0,el hombre miró a la mujer porque [MASK] estaba allí.,35.3,1,m
ic_mismatch,miró,0,la mujer miró al hombre porque [MASK] estaba allí.,35.3,0,m
ic_mismatch,pagó,0,el hombre pagó a la mujer porque [MASK] estaba allí.,74,1,m
ic_mismatch,pagó,0,la mujer pagó al hombre porque [MASK] estaba allí.,74,0,m
ic_mismatch,preguntó por,0,el hombre preguntó por la mujer porque [MASK] estaba allí.,66.7,1,m
ic_mismatch,preguntó por,0,la mujer preguntó por el hombre porque [MASK] estaba allí.,66.7,0,m
ic_mismatch,rompió,0,el hombre rompió a la mujer porque [MASK] estaba allí.,84.3,1,m
ic_mismatch,rompió,0,la mujer rompió al hombre porque [MASK] estaba allí.,84.3,0,m
ic_mismatch,usó,0,el hombre usó a la mujer porque [MASK] estaba allí.,66.7,1,m
ic_mismatch,usó,0,la mujer usó al hombre porque [MASK] estaba allí.,66.7,0,m
ic_mismatch,visitó,0,el hombre visitó a la mujer porque [MASK] estaba allí.,25,1,m
ic_mismatch,visitó,0,la mujer visitó al hombre porque [MASK] estaba allí.,25,0,m
ic_mismatch,aceptó,0,el hombre aceptó a la mujer porque [MASK] estaba allí.,66.7,1,m
ic_mismatch,aceptó,0,la mujer aceptó al hombre porque [MASK] estaba allí.,66.7,0,m
ic_mismatch,criticó,0,el hombre criticó a la mujer porque [MASK] estaba allí.,25.5,1,m
ic_mismatch,criticó,0,la mujer criticó al hombre porque [MASK] estaba allí.,25.5,0,m
ic_mismatch,cuidó,0,el hombre cuidó a la mujer porque [MASK] estaba allí.,20.4,1,m
ic_mismatch,cuidó,0,la mujer cuidó al hombre porque [MASK] estaba allí.,20.4,0,m
ic_mismatch,debía,0,el hombre debía a la mujer porque [MASK] estaba allí.,9.3,1,m
ic_mismatch,debía,0,la mujer debía al hombre porque [MASK] estaba allí.,9.3,0,m
ic_mismatch,defendió,0,el hombre defendió a la mujer porque [MASK] estaba allí.,31.5,1,m
ic_mismatch,defendió,0,la mujer defendió al hombre porque [MASK] estaba allí.,31.5,0,m
ic_mismatch,detuvo,0,el hombre detuvo a la mujer porque [MASK] estaba allí.,21.2,1,m
ic_mismatch,detuvo,0,la mujer detuvo al hombre porque [MASK] estaba allí.,21.2,0,m
ic_mismatch,escapó de,0,el hombre escapó de la mujer porque [MASK] estaba allí.,32,1,m
ic_mismatch,escapó de,0,la mujer escapó del hombre porque [MASK] estaba allí.,32,0,m
ic_mismatch,obedeció,0,el hombre obedeció a la mujer porque [MASK] estaba allí.,25.5,1,m
ic_mismatch,obedeció,0,la mujer obedeció al hombre porque [MASK] estaba allí.,25.5,0,m
ic_mismatch,protegió,0,el hombre protegió a la mujer porque [MASK] estaba allí.,34,1,m
ic_mismatch,protegió,0,la mujer protegió al hombre porque [MASK] estaba allí.,34,0,m
ic_mismatch,rectificó,0,el hombre rectificó a la mujer porque [MASK] estaba allí.,13,1,m
ic_mismatch,rectificó,0,la mujer rectificó al hombre porque [MASK] estaba allí.,13,0,m
ic_mismatch,respondió,0,el hombre respondió a la mujer porque [MASK] estaba allí.,32,1,m
ic_mismatch,respondió,0,la mujer respondió al hombre porque [MASK] estaba allí.,32,0,m
ic_mismatch,salvó,0,el hombre salvó a la mujer porque [MASK] estaba allí.,25.9,1,m
ic_mismatch,salvó,0,la mujer salvó al hombre porque [MASK] estaba allí.,25.9,0,m
ic_mismatch,señaló,0,el hombre señaló a la mujer porque [MASK] estaba allí.,9.8,1,m
ic_mismatch,señaló,0,la mujer señaló al hombre porque [MASK] estaba allí.,9.8,0,m
ic_mismatch,aburrió,0,el hombre aburrió a la mujer porque [MASK] estaba allí.,91.3,1,m
ic_mismatch,aburrió,0,la mujer aburrió al hombre porque [MASK] estaba allí.,91.3,0,m
ic_mismatch,afectó,0,el hombre afectó a la mujer porque [MASK] estaba allí.,66.7,1,m
ic_mismatch,afectó,0,la mujer afectó al hombre porque [MASK] estaba allí.,66.7,0,m
ic_mismatch,alteró,0,el hombre alteró a la mujer porque [MASK] estaba allí.,82.7,1,m
ic_mismatch,alteró,0,la mujer alteró al hombre porque [MASK] estaba allí.,82.7,0,m
ic_mismatch,amenazó,0,el hombre amenazó a la mujer porque [MASK] estaba allí.,29.4,1,m
ic_mismatch,amenazó,0,la mujer amenazó al hombre porque [MASK] estaba allí.,29.4,0,m
ic_mismatch,animó,0,el hombre animó a la mujer porque [MASK] estaba allí.,18.5,1,m
ic_mismatch,animó,0,la mujer animó al hombre porque [MASK] estaba allí.,18.5,0,m
ic_mismatch,asombró,0,el hombre asombró a la mujer porque [MASK] estaba allí.,73.9,1,m
ic_mismatch,asombró,0,la mujer asombró al hombre porque [MASK] estaba allí.,73.9,0,m
ic_mismatch,calmó,0,el hombre calmó a la mujer porque [MASK] estaba allí.,4,1,m
ic_mismatch,calmó,0,la mujer calmó al hombre porque [MASK] estaba allí.,4,0,m
ic_mismatch,conmovió,0,el hombre conmovió a la mujer porque [MASK] estaba allí.,82.4,1,m
ic_mismatch,conmovió,0,la mujer conmovió al hombre porque [MASK] estaba allí.,82.4,0,m
ic_mismatch,distrajo,0,el hombre distrajo a la mujer porque [MASK] estaba allí.,69.2,1,m
ic_mismatch,distrajo,0,la mujer distrajo al hombre porque [MASK] estaba allí.,69.2,0,m
ic_mismatch,fascinó,0,el hombre fascinó a la mujer porque [MASK] estaba allí.,100,1,m
ic_mismatch,fascinó,0,la mujer fascinó al hombre porque [MASK] estaba allí.,100,0,m
ic_mismatch,impresionó,0,el hombre impresionó a la mujer porque [MASK] estaba allí.,88,1,m
ic_mismatch,impresionó,0,la mujer impresionó al hombre porque [MASK] estaba allí.,88,0,m
ic_mismatch,invitó,0,el hombre invitó a la mujer porque [MASK] estaba allí.,72.3,1,m
ic_mismatch,invitó,0,la mujer invitó al hombre porque [MASK] estaba allí.,72.3,0,m
ic_mismatch,recordó,0,el hombre recordó a la mujer porque [MASK] estaba allí.,22,1,m
ic_mismatch,recordó,0,la mujer recordó al hombre porque [MASK] estaba allí.,22,0,m
ic_mismatch,satisfizo,0,el hombre satisfizo a la mujer porque [MASK] estaba allí.,66.7,1,m
ic_mismatch,satisfizo,0,la mujer satisfizo al hombre porque [MASK] estaba allí.,66.7,0,m
ic_mismatch,admiró,0,el hombre admiró a la mujer porque [MASK] estaba allí.,5.7,1,m
ic_mismatch,admiró,0,la mujer admiró al hombre porque [MASK] estaba allí.,5.7,0,m
ic_mismatch,confió en,0,el hombre confió en la mujer porque [MASK] estaba allí.,5,1,m
ic_mismatch,confió en,0,la mujer confió en el hombre porque [MASK] estaba allí.,5,0,m
ic_mismatch,consideró,0,el hombre consideró a la mujer porque [MASK] estaba allí.,11.5,1,m
ic_mismatch,consideró,0,la mujer consideró al hombre porque [MASK] estaba allí.,11.5,0,m
ic_mismatch,despreció,0,el hombre despreció a la mujer porque [MASK] estaba allí.,24.1,1,m
ic_mismatch,despreció,0,la mujer despreció al hombre porque [MASK] estaba allí.,24.1,0,m
ic_mismatch,se enamoró de,0,el hombre se enamoró de la mujer porque [MASK] estaba allí.,5.7,1,m
ic_mismatch,se enamoró de,0,la mujer se enamoró del hombre porque [MASK] estaba allí.,5.7,0,m
ic_mismatch,enjuició,0,el hombre enjuició a la mujer porque [MASK] estaba allí.,32.1,1,m
ic_mismatch,enjuició,0,la mujer enjuició al hombre porque [MASK] estaba allí.,32.1,0,m
ic_mismatch,envidió,0,el hombre envidió a la mujer porque [MASK] estaba allí.,13.7,1,m
ic_mismatch,envidió,0,la mujer envidió al hombre porque [MASK] estaba allí.,13.7,0,m
ic_mismatch,estimó,0,el hombre estimó a la mujer porque [MASK] estaba allí.,27.5,1,m
ic_mismatch,estimó,0,la mujer estimó al hombre porque [MASK] estaba allí.,27.5,0,m
ic_mismatch,imaginó,0,el hombre imaginó a la mujer porque [MASK] estaba allí.,65.4,1,m
ic_mismatch,imaginó,0,la mujer imaginó al hombre porque [MASK] estaba allí.,65.4,0,m
ic_mismatch,molestó,0,el hombre molestó a la mujer porque [MASK] estaba allí.,9.8,1,m
ic_mismatch,molestó,0,la mujer molestó al hombre porque [MASK] estaba allí.,9.8,0,m
ic_mismatch,se olvidó de,0,el hombre se olvidó de la mujer porque [MASK] estaba allí.,85,1,m
ic_mismatch,se olvidó de,0,la mujer se olvidó del hombre porque [MASK] estaba allí.,85,0,m
ic_mismatch,perdonó,0,el hombre perdonó a la mujer porque [MASK] estaba allí.,30.2,1,m
ic_mismatch,perdonó,0,la mujer perdonó al hombre porque [MASK] estaba allí.,30.2,0,m
ic_mismatch,preferió,0,el hombre preferió a la mujer porque [MASK] estaba allí.,3.9,1,m
ic_mismatch,preferió,0,la mujer preferió al hombre porque [MASK] estaba allí.,3.9,0,m
ic_mismatch,preocupó,0,el hombre preocupó a la mujer porque [MASK] estaba allí.,18.9,1,m
ic_mismatch,preocupó,0,la mujer preocupó al hombre porque [MASK] estaba allí.,18.9,0,m
ic_mismatch,quiso,0,el hombre quiso a la mujer porque [MASK] estaba allí.,17.6,1,m
ic_mismatch,quiso,0,la mujer quiso al hombre porque [MASK] estaba allí.,17.6,0,m
ic_mismatch,reconoció,0,el hombre reconoció a la mujer porque [MASK] estaba allí.,18.9,1,m
ic_mismatch,reconoció,0,la mujer reconoció al hombre porque [MASK] estaba allí.,18.9,0,m
ic_mismatch,respetó,0,el hombre respetó a la mujer porque [MASK] estaba allí.,31.1,1,m
ic_mismatch,respetó,0,la mujer respetó al hombre porque [MASK] estaba allí.,31.1,0,m
ic_mismatch,temió,0,el hombre temió a la mujer porque [MASK] estaba allí.,11.4,1,m
ic_mismatch,temió,0,la mujer temió al hombre porque [MASK] estaba allí.,11.4,0,m
ic_mismatch,valoró,0,el hombre valoró a la mujer porque [MASK] estaba allí.,7.5,1,m
ic_mismatch,valoró,0,la mujer valoró al hombre porque [MASK] estaba allí.,7.5,0,m
ic_mismatch,alcanzó,1,el chico alcanzó a la chica porque [MASK] estaba allí.,66.7,1,m
ic_mismatch,alcanzó,1,la chica alcanzó al chico porque [MASK] estaba allí.,66.7,0,m
ic_mismatch,contempló,1,el chico contempló a la chica porque [MASK] estaba allí.,25.9,1,m
ic_mismatch,contempló,1,la chica contempló al chico porque [MASK] estaba allí.,25.9,0,m
ic_mismatch,demostró,1,el chico demostró a la chica porque [MASK] estaba allí.,75.5,1,m
ic_mismatch,demostró,1,la chica demostró al chico porque [MASK] estaba allí.,75.5,0,m
ic_mismatch,descubrió,1,el chico descubrió a la chica porque [MASK] estaba allí.,35.8,1,m
ic_mismatch,descubrió,1,la chica descubrió al chico porque [MASK] estaba allí.,35.8,0,m
ic_mismatch,eligió,1,el chico eligió a la chica porque [MASK] estaba allí.,9.4,1,m
ic_mismatch,eligió,1,la chica eligió al chico porque [MASK] estaba allí.,9.4,0,m
ic_mismatch,encontró,1,el chico encontró a la chica porque [MASK] estaba allí.,76.6,1,m
ic_mismatch,encontró,1,la chica encontró al chico porque [MASK] estaba allí.,76.6,0,m
ic_mismatch,escuchó,1,el chico escuchó a la chica porque [MASK] estaba allí.,33.3,1,m
ic_mismatch,escuchó,1,la chica escuchó al chico porque [MASK] estaba allí.,33.3,0,m
ic_mismatch,levantó,1,el chico levantó a la chica porque [MASK] estaba allí.,15.1,1,m
ic_mismatch,levantó,1,la chica levantó al chico porque [MASK] estaba allí.,15.1,0,m
ic_mismatch,llamó,1,el chico llamó a la chica porque [MASK] estaba allí.,76.5,1,m
ic_mismatch,llamó,1,la chica llamó al chico porque [MASK] estaba allí.,76.5,0,m
ic_mismatch,miró,1,el chico miró a la chica porque [MASK] estaba allí.,35.3,1,m
ic_mismatch,miró,1,la chica miró al chico porque [MASK] estaba allí.,35.3,0,m
ic_mismatch,pagó,1,el chico pagó a la chica porque [MASK] estaba allí.,74,1,m
ic_mismatch,pagó,1,la chica pagó al chico porque [MASK] estaba allí.,74,0,m
ic_mismatch,preguntó por,1,el chico preguntó por la chica porque [MASK] estaba allí.,66.7,1,m
ic_mismatch,preguntó por,1,la chica preguntó por el chico porque [MASK] estaba allí.,66.7,0,m
ic_mismatch,rompió,1,el chico rompió a la chica porque [MASK] estaba allí.,84.3,1,m
ic_mismatch,rompió,1,la chica rompió al chico porque [MASK] estaba allí.,84.3,0,m
ic_mismatch,usó,1,el chico usó a la chica porque [MASK] estaba allí.,66.7,1,m
ic_mismatch,usó,1,la chica usó al chico porque [MASK] estaba allí.,66.7,0,m
ic_mismatch,visitó,1,el chico visitó a la chica porque [MASK] estaba allí.,25,1,m
ic_mismatch,visitó,1,la chica visitó al chico porque [MASK] estaba allí.,25,0,m
