exp,verb,item,sent,bias,isHigh ,gender
ic_mismatch,verveelde,0,De man verveelde de vrouw omdat [MASK] al vanaf het begin van de dag ontzettend liep te zeuren.,95,1,m
ic_mismatch,verveelde,0,De vrouw verveelde de man omdat [MASK] al vanaf het begin van e dag eigenlijk geen zin had.,95,0,m
ic_mismatch,excuses aan,0,De man bood zijn excuses aan de vrouw aan omdat [MASK] volgens de getuigen van het ongeluk alle schuld had.,100,1,m
ic_mismatch,excuses aan,0,De vrouw bood zijn excuses aan de man aan omdat [MASK] volgens de getuigen van het ongeluk geen schuld had.,100,0,m
ic_mismatch,belde,0,De man belde de vrouw omdat [MASK] nu toch eindelijk wel eens duidelijkheid wilde hebben.,82,1,m
ic_mismatch,belde,0,De vrouw belde de man Chantal belde Niels omdat [MASK] nu toch eindelijk wel eens duidelijkheid mocht geven.,82,0,m
ic_mismatch,ergerde,0,De man ergerde de vrouw omdat [MASK] bij elk plantje of beestje zo lang bleef kijken.,82,1,m
ic_mismatch,ergerde,0,De vrouw ergerde de man omdat [MASK] bij elk plantje of beestje op haar moest wachten.,82,0,m
ic_mismatch,kwelde,0,De man kwelde de vrouw omdat [MASK] na de vele avontuurtjes nog steeds met andere vrouwen sliep.,86,1,m
ic_mismatch,kwelde,0,De vrouw kwelde de man omdat [MASK] na de vele avontuurtjes nog steeds door haar bedrogen werd.,86,0,m
ic_mismatch,stoorde,0,De man stoorde de vrouw omdat [MASK] tijdens het leren de hele tijd zeer irritant kuchte.,86,1,m
ic_mismatch,stoorde,0,De vrouw stoorde de man omdat [MASK] tijdens het leren de hele tijd haar gekuch hoorde.,86,0,m
ic_mismatch,verontrustte,0,De man verontrustte de vrouw omdat [MASK] niet eerder zulke discriminerende opmerkingen had gemaakt.,82,1,m
ic_mismatch,verontrustte,0,De vrouw verontrustte de man omdat [MASK] niet eerder zulke discriminerende opmerkingen had gehoord.,82,0,m
ic_mismatch,won van,0,De man won van de vrouw omdat [MASK] na enkele tientallen potjes schaak haar spel goed kende.,82,1,m
ic_mismatch,won van,0,De vrouw won van de man omdat [MASK] na enkele tientallen potjes schaak haar niet kon verassen.,82,0,m
ic_mismatch,inspireerde,0,De man inspireerde de vrouw omdat [MASK] bij het zien van onrecht altijd direct actie wilde ondernemen.,77,1,m
ic_mismatch,inspireerde,0,De vrouw inspireerde de man omdat [MASK] bij het zien van onrecht altijd op haar kon rekenen.,77,0,m
ic_mismatch,intimideerde,0,De man intimideerde de vrouw omdat [MASK] in de meeste gevallen dan zijn zin krijgt.,77,1,m
ic_mismatch,intimideerde,0,De vrouw intimideerde de man omdat [MASK] in de meeste gevallen dan toch snel toegeeft.,77,0,m
ic_mismatch,irriteerde,0,De man irriteerde de vrouw omdat [MASK] op elke bespreking weer andere ideeën opperde.,78,1,m
ic_mismatch,irriteerde,0,De vrouw irriteerde de man omdat [MASK] op elke bespreking weer andere ideeën moest aanhoren.,78,0,m
ic_mismatch,bekende aan,0,De man bekende alles aan de vrouw omdat [MASK] per se de waarheid wilde vertellen.,96,1,m
ic_mismatch,bekende aan,0,De vrouw bekende alles aan de man omdat [MASK] per se de waarheid wilde horen.,96,0,m
ic_mismatch,lichtte,0,De man lichtte de vrouw op omdat [MASK] de vorige keer een flinke som geld door haar was misgelopen.,87,1,m
ic_mismatch,lichtte,0,De vrouw lichtte de man op omdat [MASK] de vorige keer een flinke som geld van haar had gestolen.,87,0,m
ic_mismatch,loog tegen,0,De man loog tegen de vrouw omdat [MASK] de werkelijke reden achter hun problemen te pijnlijk voor haar vond.,78,1,m
ic_mismatch,loog tegen,0,De vrouw loog tegen de man omdat [MASK] de werkelijke reden achter hun problemen te pijnlijk zou vinden.,78,0,m
ic_mismatch,verbaasde,0,De man verbaasde de vrouw omdat [MASK] zo een negatieve reactie had gegeven.,82,1,m
ic_mismatch,verbaasde,0,De vrouw verbaasde de man omdat [MASK] zo een negatieve reactie had gehoord.,82,0,m
ic_mismatch,smeekte,0,De man smeekte de vrouw omdat [MASK] ondanks de vele problemen toch veel van haar hield.,83,1,m
ic_mismatch,smeekte,0,De vrouw smeekte de man omdat [MASK] ondanks de vele problemen toch haar grote liefde was.,83,0,m
ic_mismatch,teleurstellen,0,De man stelde de vrouw teleur omdat [MASK] toch wel wat meer inzet had kunnen tonen.,96,1,m
ic_mismatch,teleurstellen,0,De vrouw stelde de man teleur omdat [MASK] toch wel wat meer inzet had willen zien.,96,0,m
ic_mismatch,misleidde,0,De man misleidde de vrouw omdat [MASK] anders de potentiële nieuwe opdrachtgever zou kwijtraken.,78,1,m
ic_mismatch,misleidde,0,De vrouw misleidde de man omdat [MASK] anders de potentiële nieuwe opdrachtgever zou wegkapen.,78,0,m
ic_mismatch,hinderde,0,De man hinderde de vrouw omdat [MASK] voor zijn ochtendritueel alle ruimte gebruikte.,91,1,m
ic_mismatch,hinderde,0,De vrouw hinderde de man omdat [MASK] voor zijn ochtendritueel alle ruimte nodig had.,91,0,m
