exp,verb,item,sent,bias,isHigh,gender
ic_mismatch,abandoned,0,The man abandoned the woman because he,33,1,m
ic_mismatch,abandoned,0,The man abandoned the woman because she,33,0,f
ic_mismatch,abandoned,0,The woman abandoned the man because he,33,0,m
ic_mismatch,abandoned,0,The woman abandoned the man because she,33,1,f
ic_mismatch,acclaimed,0,The man acclaimed the woman because he,-58,1,m
ic_mismatch,acclaimed,0,The man acclaimed the woman because she,-58,0,f
ic_mismatch,acclaimed,0,The woman acclaimed the man because he,-58,0,m
ic_mismatch,acclaimed,0,The woman acclaimed the man because she,-58,1,f
ic_mismatch,accompanied,0,The man accompanied the woman because he,-48,1,m
ic_mismatch,accompanied,0,The man accompanied the woman because she,-48,0,f
ic_mismatch,accompanied,0,The woman accompanied the man because he,-48,0,m
ic_mismatch,accompanied,0,The woman accompanied the man because she,-48,1,f
ic_mismatch,accused,0,The man accused the woman because he,2,1,m
ic_mismatch,accused,0,The man accused the woman because she,2,0,f
ic_mismatch,accused,0,The woman accused the man because he,2,0,m
ic_mismatch,accused,0,The woman accused the man because she,2,1,f
ic_mismatch,admired,0,The man admired the woman because he,-92,1,m
ic_mismatch,admired,0,The man admired the woman because she,-92,0,f
ic_mismatch,admired,0,The woman admired the man because he,-92,0,m
ic_mismatch,admired,0,The woman admired the man because she,-92,1,f
ic_mismatch,admonished,0,The man admonished the woman because he,-32,1,m
ic_mismatch,admonished,0,The man admonished the woman because she,-32,0,f
ic_mismatch,admonished,0,The woman admonished the man because he,-32,0,m
ic_mismatch,admonished,0,The woman admonished the man because she,-32,1,f
ic_mismatch,adored,0,The man adored the woman because he,-74,1,m
ic_mismatch,adored,0,The man adored the woman because she,-74,0,f
ic_mismatch,adored,0,The woman adored the man because he,-74,0,m
ic_mismatch,adored,0,The woman adored the man because she,-74,1,f
ic_mismatch,advised,0,The man advised the woman because he,-28,1,m
ic_mismatch,advised,0,The man advised the woman because she,-28,0,f
ic_mismatch,advised,0,The woman advised the man because he,-28,0,m
ic_mismatch,advised,0,The woman advised the man because she,-28,1,f
ic_mismatch,affected,0,The man affected the woman because he,29,1,m
ic_mismatch,affected,0,The man affected the woman because she,29,0,f
ic_mismatch,affected,0,The woman affected the man because he,29,0,m
ic_mismatch,affected,0,The woman affected the man because she,29,1,f
ic_mismatch,aggravated,0,The man aggravated the woman because he,59,1,m
ic_mismatch,aggravated,0,The man aggravated the woman because she,59,0,f
ic_mismatch,aggravated,0,The woman aggravated the man because he,59,0,m
ic_mismatch,aggravated,0,The woman aggravated the man because she,59,1,f
ic_mismatch,agitated,0,The man agitated the woman because he,85,1,m
ic_mismatch,agitated,0,The man agitated the woman because she,85,0,f
ic_mismatch,agitated,0,The woman agitated the man because he,85,0,m
ic_mismatch,agitated,0,The woman agitated the man because she,85,1,f
ic_mismatch,alarmed,0,The man alarmed the woman because he,58,1,m
ic_mismatch,alarmed,0,The man alarmed the woman because she,58,0,f
ic_mismatch,alarmed,0,The woman alarmed the man because he,58,0,m
ic_mismatch,alarmed,0,The woman alarmed the man because she,58,1,f
ic_mismatch,alienated,0,The man alienated the woman because he,41,1,m
ic_mismatch,alienated,0,The man alienated the woman because she,41,0,f
ic_mismatch,alienated,0,The woman alienated the man because he,41,0,m
ic_mismatch,alienated,0,The woman alienated the man because she,41,1,f
ic_mismatch,amazed,0,The man amazed the woman because he,68,1,m
