exp,item,sent,hasIC,num,isHIGH,layer,NP,sim
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,1,0.02675415234
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,2,0.0748018282
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,1,0.0786510195
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,2,0.139962266
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,3,1,0.05907997552
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,3,2,0.1317051675
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,4,1,0.07768396022
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,4,2,0.1512780136
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,5,1,0.04208289699
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,5,2,0.1180486682
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,6,1,0.03149224581
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,6,2,0.1056939656
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,7,1,0.01097387573
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,7,2,0.08093846004
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,8,1,0.03079180976
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,8,2,0.1036390705
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,9,1,0.08003456246
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,9,2,0.1291466711
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,10,1,0.1573127425
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,10,2,0.2328549048
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,11,1,0.2859655359
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,11,2,0.3407128341
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,12,1,0.5349067515
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,12,2,0.587665127
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,13,1,0.6304916325
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,13,2,0.6726758353
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,14,1,0.6285569463
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,14,2,0.7222836756
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,15,1,0.5661315967
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,15,2,0.6699942098
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,16,1,0.5013341386
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,16,2,0.58419731
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,17,1,0.5668787644
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,17,2,0.6460644081
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,18,1,0.5319829037
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,18,2,0.5926339905
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,1,1,0.004086136904
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,1,2,0.08567408175
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,2,1,0.0756102251
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,2,2,0.1557140722
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,3,1,0.04879320165
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,3,2,0.1529327132
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,4,1,0.07577843071
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,4,2,0.1712584103
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,5,1,0.03076001075
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,5,2,0.140600949
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,6,1,0.02358685692
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,6,2,0.1302790534
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,7,1,-0.00794706462
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,7,2,0.1097566075
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,8,1,0.02726379268
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,8,2,0.1319106655
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,9,1,0.06004521886
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,9,2,0.1844948626
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,10,1,0.1342063434
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,10,2,0.2329718557
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,11,1,0.2719201012
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,11,2,0.3377913528
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,12,1,0.512750289
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,12,2,0.5581357504
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,13,1,0.6408380528
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,13,2,0.6590662991
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,14,1,0.6486830357
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,14,2,0.6856759435
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,15,1,0.5827572549
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,15,2,0.620501623
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,16,1,0.5206683374
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,16,2,0.5561484247
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,17,1,0.5866831713
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,17,2,0.5920366335
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,18,1,0.5432984542
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,18,2,0.5703766475
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,1,1,0.02763856177
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,1,2,0.1030705206
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,2,1,0.06576224261
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,2,2,0.1763258777
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,3,1,0.05059601878
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,3,2,0.1717855411
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,4,1,0.07170650436
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,4,2,0.1954556193
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,5,1,0.03697211668
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,5,2,0.1726981781
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,6,1,0.01529609668
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,6,2,0.1534881039
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,7,1,-0.002985629824
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,7,2,0.1416892725
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,8,1,0.007815230046
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,8,2,0.1503292496
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,9,1,0.02774354481
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,9,2,0.1981778134
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,10,1,0.1060111047
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,10,2,0.3302700393
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,11,1,0.2336309136
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,11,2,0.391926649
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,12,1,0.4972704849
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,12,2,0.6042992759
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,13,1,0.613042577
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,13,2,0.7033165395
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,14,1,0.6274474604
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,14,2,0.7484777709
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,15,1,0.5440319605
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,15,2,0.6781006743
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,16,1,0.4747179501
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,16,2,0.5881361828
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,17,1,0.5636399326
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,17,2,0.6586248897
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,18,1,0.5506798994
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,18,2,0.6303320252
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,1,1,0.07839021599
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,1,2,0.06943304498
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,2,1,0.1209431047
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,2,2,0.1317984734
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,3,1,0.1077874719
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,3,2,0.1216739672
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,4,1,0.1307611855
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,4,2,0.1418280066
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,5,1,0.1017113856
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,5,2,0.1077119004
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,6,1,0.08508545003
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,6,2,0.08013231002
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,7,1,0.08210253313
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,7,2,0.05593011281
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,8,1,0.08602786607
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,8,2,0.07564967808
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,9,1,0.1492954837
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,9,2,0.07586171597
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,10,1,0.2613858105
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,10,2,0.1447977694
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,11,1,0.4137739995
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,11,2,0.2692274519
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,12,1,0.6234699899
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,12,2,0.5149285864
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,13,1,0.7424826145
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,13,2,0.6541945997
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,14,1,0.7403649341
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,14,2,0.7040909473
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,15,1,0.6852542377
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,15,2,0.6311701212
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,16,1,0.6048748995
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,16,2,0.5501790333
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,17,1,0.6767953154
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,17,2,0.6266823946
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,18,1,0.6598822581
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,18,2,0.6309932226
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,1,1,0.004014549961
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,1,2,0.0751803837
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,2,1,0.07528838107
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,2,2,0.1412023933
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,3,1,0.04800077781
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,3,2,0.1324362102
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,4,1,0.07546639269
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,4,2,0.1528481926
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,5,1,0.02997425144
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,5,2,0.1195115706
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,6,1,0.02292940802
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,6,2,0.1077709704
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,7,1,-0.009040932501
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,7,2,0.08299815152
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,8,1,0.02276787093
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,8,2,0.1042386297
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,9,1,0.05729745998
