exp,item,sent,hasIC,num,isHIGH,layer,NP,sim
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,1,0.4023803241
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,2,0.4163362096
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,1,0.56561327
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,2,0.6132965008
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,3,1,0.6271147551
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,3,2,0.6900406909
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,4,1,0.6477749755
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,4,2,0.7076253406
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,5,1,0.6481252663
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,5,2,0.6926780427
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,6,1,0.6498215985
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,6,2,0.6983566146
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,7,1,0.6546169017
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,7,2,0.6961132324
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,8,1,0.6527256718
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,8,2,0.701007516
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,9,1,0.6520332098
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,9,2,0.6930689875
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,10,1,0.649935619
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,10,2,0.694676741
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,11,1,0.6429869481
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,11,2,0.6930103531
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,12,1,0.6424321526
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,12,2,0.7048625159
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,13,1,0.6524169524
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,13,2,0.7109839903
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,14,1,0.6598815817
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,14,2,0.7151276394
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,15,1,0.6682307928
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,15,2,0.7189833305
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,16,1,0.6652138317
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,16,2,0.7245953517
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,17,1,0.666486042
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,17,2,0.7283582848
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,18,1,0.6569832027
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,18,2,0.7274891293
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,19,1,0.6580671089
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,19,2,0.7265356694
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,20,1,0.666454332
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,20,2,0.731961378
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,21,1,0.6644472412
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,21,2,0.7318961053
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,22,1,0.6533340048
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,22,2,0.7304584937
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,23,1,0.6461816529
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,23,2,0.731088341
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,24,1,0.6545237283
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,24,2,0.7367396866
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,25,1,0.646465587
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,25,2,0.7357418263
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,26,1,0.6501422752
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,26,2,0.7304184209
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,27,1,0.6612156883
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,27,2,0.7468754736
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,28,1,0.6576567419
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,28,2,0.7469223889
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,29,1,0.6632281391
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,29,2,0.7458419615
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,30,1,0.6652773342
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,30,2,0.751962107
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,31,1,0.6660924696
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,31,2,0.7517524038
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,32,1,0.6667960252
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,32,2,0.7477830505
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,33,1,0.6629296806
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,33,2,0.74838616
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,34,1,0.6521210699
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,34,2,0.7442344112
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,35,1,0.654767732
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,35,2,0.7474310558
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,36,1,0.6404471615
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,36,2,0.7369572265
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,37,1,0.6345558601
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,37,2,0.7352254714
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,38,1,0.6254518142
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,38,2,0.7314116407
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,39,1,0.617950377
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,39,2,0.7239766735
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,40,1,0.6227482063
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,40,2,0.7190103645
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,41,1,0.627652699
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,41,2,0.7228028093
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,42,1,0.6253450622
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,42,2,0.7185494414
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,43,1,0.6255058829
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,43,2,0.7183079561
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,44,1,0.6435539253
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,44,2,0.7344702661
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,45,1,0.6923663111
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,45,2,0.7731682374
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,46,1,0.7560402307
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,46,2,0.8233590297
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,47,1,0.7780835056
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,47,2,0.8388827743
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,48,1,0.3433437588
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,48,2,0.4737864098
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,1,1,0.4097823493
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,1,2,0.389838166
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,2,1,0.5647135816
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,2,2,0.5822117864
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,3,1,0.644542891
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,3,2,0.6692058806
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,4,1,0.664888453
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,4,2,0.6895751687
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,5,1,0.6687957818
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,5,2,0.6651710475
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,6,1,0.668247189
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,6,2,0.6678467952
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,7,1,0.672639417
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,7,2,0.6715748143
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,8,1,0.6674410409
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,8,2,0.6799966219
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,9,1,0.661646327
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,9,2,0.6759009583
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,10,1,0.6584549959
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,10,2,0.677089769
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,11,1,0.6474922554
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,11,2,0.6730097688
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,12,1,0.6494725203
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,12,2,0.6838674182
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,13,1,0.660303875
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,13,2,0.6995184338
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,14,1,0.664683098
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,14,2,0.7045197567
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,15,1,0.6626871622
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,15,2,0.7183091575
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,16,1,0.6584035783
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,16,2,0.7279991268
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,17,1,0.6580292647
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,17,2,0.725238842
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,18,1,0.6464511436
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,18,2,0.7210342769
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,19,1,0.6436314032
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,19,2,0.7193061497
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,20,1,0.6419700717
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,20,2,0.7281571789
