exp,item,sent,hasIC,num,isHIGH
story,1,The man admires the agent of the rockers who was,1,sg,1
story,1,The man admires the agents of the rocker who was,1,sg,0
story,1,The man works with the agent of the rockers who was,0,sg,1
story,1,The man works with the agents of the rocker who was,0,sg,0
story,1,The man admires the rocker of the agents who was,1,sg,1
story,1,The man admires the rockers of the agent who was,1,sg,0
story,1,The man works with the rocker of the agents who was,0,sg,1
story,1,The man works with the rockers of the agent who was,0,sg,0
story,3,The man blamed the friend of the athletes who was,1,sg,1
story,3,The man blamed the friends of the athlete who was,1,sg,0
story,3,The man noticed the friend of the athletes who was,0,sg,1
story,3,The man noticed the friends of the athlete who was,0,sg,0
story,3,The man blamed the athlete of the friends who was,1,sg,1
story,3,The man blamed the athletes of the friend who was,1,sg,0
story,3,The man noticed the athlete of the friends who was,0,sg,1
story,3,The man noticed the athletes of the friend who was,0,sg,0
story,4,The man complimented the guest of the brides who was,1,sg,1
story,4,The man complimented the guests of the bride who was,1,sg,0
story,4,The man met the guest of the brides who was,0,sg,1
story,4,The man met the guests of the bride who was,0,sg,0
story,4,The man complimented the bride of the guests who was,1,sg,1
story,4,The man complimented the brides of the guest who was,1,sg,0
story,4,The man met the bride of the guests who was,0,sg,1
story,4,The man met the brides of the guest who was,0,sg,0
story,5,The man congratulated the teacher of the second graders who was,1,sg,1
story,5,The man congratulated the teachers of the second grader who was,1,sg,0
story,5,The man visited the teacher of the second graders who was,0,sg,1
story,5,The man visited the teachers of the second grader who was,0,sg,0
story,5,The man congratulated the second grader of the teachers who was,1,sg,1
story,5,The man congratulated the second graders of the teacher who was,1,sg,0
story,5,The man visited the second grader of the teachers who was,0,sg,1
story,5,The man visited the second graders of the teacher who was,0,sg,0
story,6,The woman criticized the leader of the activists who was,1,sg,1
story,6,The woman criticized the leaders of the activist who was,1,sg,0
story,6,The woman talked to the leader of the activists who was,0,sg,1
story,6,The woman talked to the leaders of the activist who was,0,sg,0
story,6,The woman criticized the activist of the leaders who was,1,sg,1
story,6,The woman criticized the activists of the leader who was,1,sg,0
story,6,The woman talked to the activist of the leaders who was,0,sg,1
story,6,The woman talked to the activists of the leader who was,0,sg,0
story,9,The woman dislikes the little girl of the neighbors who was,1,sg,1
story,9,The woman dislikes the little girls of the neighbor who was,1,sg,0
story,9,The woman watches the little girl of the neighbors who was,0,sg,1
story,9,The woman watches the little girls of the neighbor who was,0,sg,0
story,9,The woman dislikes the neighbor of the little girls who was,1,sg,1
story,9,The woman dislikes the neighbors of the little girl who was,1,sg,0
story,9,The woman watches the neighbor of the little girls who was,0,sg,1
story,9,The woman watches the neighbors of the little girl who was,0,sg,0
story,11,The man likes the captain of the old sailors who was,1,sg,1
story,11,The man likes the captains of the old sailor who was,1,sg,0
story,11,The man resembles the captain of the old sailors who was,0,sg,1
story,11,The man resembles the captains of the old sailor who was,0,sg,0
story,11,The man likes the old sailor of the captains who was,1,sg,1
story,11,The man likes the old sailors of the captain who was,1,sg,0
story,11,The man resembles the old sailor of the captains who was,0,sg,1
story,11,The man resembles the old sailors of the captain who was,0,sg,0
story,13,The man praised the assistant of the bosses who was,1,sg,1
story,13,The man praised the assistant of the boss who was,1,sg,0
story,13,The man videotaped the assistant of the bosses who was,0,sg,1
story,13,The man videotaped the assistant of the boss who was,0,sg,0
story,13,The man praised the boss of the assistant who was,1,sg,1
story,13,The man praised the bosses of the assistant who was,1,sg,0
story,13,The man videotaped the boss of the assistant who was,0,sg,1
story,13,The man videotaped the bosses of the assistant who was,0,sg,0
story,14,The man punished the accountant of the businessman who was,1,sg,1
story,14,The man punished the accountants of the businessman who was,1,sg,0
story,14,The man saw the accountant of the businessman who was,0,sg,1
story,14,The man saw the accountants of the businessman who was,0,sg,0
story,14,The man punished the businessman of the accountants who was,1,sg,1
story,14,The man punished the businessman of the accountant who was,1,sg,0
story,14,The man saw the businessman of the accountants who was,0,sg,1
story,14,The man saw the businessman of the accountant who was,0,sg,0
story,16,The man scolded the landlady of the actors who was,1,sg,1
story,16,The man scolded the landladies of the actor who was,1,sg,0
story,16,The man recognized the landlady of the actors who was,0,sg,1
story,16,The man recognized the landladies of the actor who was,0,sg,0
story,16,The man scolded the actor of the landladies who was,1,sg,1
story,16,The man scolded the actors of the landlady who was,1,sg,0
story,16,The man recognized the actor of the landladies who was,0,sg,1
story,16,The man recognized the actors of the landlady who was,0,sg,0
story,17,The man rewarded the servant of the dictator who was,1,sg,1
story,17,The man rewarded the servants of the dictator who was,1,sg,0
story,17,The man inspected the servant of the dictator who was,0,sg,1
story,17,The man inspected the servants of the dictator who was,0,sg,0
story,17,The man rewarded the dictator of the servants who was,1,sg,1
story,17,The man rewarded the dictator of the servant who was,1,sg,0
story,17,The man inspected the dictator of the servants who was,0,sg,1
story,17,The man inspected the dictator of the servant who was,0,sg,0
story,18,The man ridiculed the fan of the singers who was,1,sg,1
story,18,The man ridiculed the fans of the singer who was,1,sg,0
story,18,The man counted the fan of the singers who was,0,sg,1
story,18,The man counted the fans of the singer who was,0,sg,0
story,18,The man ridiculed the singer of the fans who was,1,sg,1
story,18,The man ridiculed the singers of the fan who was,1,sg,0
story,18,The man counted the singer of the fans who was,0,sg,1
story,18,The man counted the singers of the fan who was,0,sg,0
story,19,The man thanked the representative of the employees who was,1,sg,1
story,19,The man thanked the representatives of the employee who was,1,sg,0
story,19,The man interviewed the representative of the employees who was,0,sg,1
story,19,The man interviewed the representatives of the employee who was,0,sg,0
story,19,The man thanked the employee of the representatives who was,1,sg,1
story,19,The man thanked the employees of the representative who was,1,sg,0
story,19,The man interviewed the employee of the representatives who was,0,sg,1
story,19,The man interviewed the employees of the representative who was,0,sg,0
story,20,The woman values the surgeon of the soldiers who was,1,sg,1
story,20,The woman values the surgeons of the soldier who was,1,sg,0
story,20,The woman lives next to the surgeon of the soldiers who was,0,sg,1
story,20,The woman lives next to the surgeons of the soldier who was,0,sg,0
story,20,The woman values the soldier of the surgeons who was,1,sg,1
story,20,The woman values the soldiers of the surgeon who was,1,sg,0
story,20,The woman lives next to the soldier of the surgeons who was,0,sg,1
story,20,The woman lives next to the soldiers of the surgeon who was,0,sg,0
