exp,verb,item,sent,bias,isHigh ,gender,score_bert,score_bert_base,score_bert_pro,score_roberta,score_roberta_base,score_roberta_pro
ic_mismatch,abandoned,0,The man abandoned the woman because he was there.,33,1,m,0.19023700058460236,0.17449796199798584,0.10714422166347504,0.17134612798690796,0.16007651388645172,0.04519791528582573
ic_mismatch,abandoned,0,The man abandoned the woman because she was there.,33,0,f,0.4680537283420563,0.6189753413200378,0.40621834993362427,0.12293366342782974,0.1323978751897812,0.041463322937488556
ic_mismatch,abandoned,0,The woman abandoned the man because he was there.,33,0,m,0.6322733163833618,0.7728968262672424,0.47483012080192566,0.14944876730442047,0.13491205871105194,0.034395404160022736
ic_mismatch,abandoned,0,The woman abandoned the man because she was there.,33,1,f,0.09370660781860352,0.06308647990226746,0.059785377234220505,0.10913486778736115,0.07985670119524002,0.030084723606705666
ic_mismatch,acclaimed,0,The man acclaimed the woman because he was there.,-58,1,m,0.2368564009666443,0.2136748880147934,0.10885025560855865,0.16053912043571472,0.2575940489768982,0.15608835220336914
ic_mismatch,acclaimed,0,The man acclaimed the woman because she was there.,-58,0,f,0.6123453974723816,0.6925774216651917,0.7422882318496704,0.7836302518844604,0.6975299119949341,0.6362258195877075
ic_mismatch,acclaimed,0,The woman acclaimed the man because he was there.,-58,0,m,0.8596009016036987,0.9246405363082886,0.8843827843666077,0.7254194617271423,0.7542201280593872,0.5657809376716614
ic_mismatch,acclaimed,0,The woman acclaimed the man because she was there.,-58,1,f,0.05371629446744919,0.02612670138478279,0.015106633305549622,0.2126658409833908,0.2081204652786255,0.20840413868427277
ic_mismatch,accompanied,0,The man accompanied the woman because he was there.,-48,1,m,0.2489132285118103,0.14392712712287903,0.07647962868213654,0.7401278018951416,0.8013437986373901,0.5972762703895569
ic_mismatch,accompanied,0,The man accompanied the woman because she was there.,-48,0,f,0.5336496829986572,0.7693009972572327,0.7351359128952026,0.20564645528793335,0.15821315348148346,0.1628699153661728
ic_mismatch,accompanied,0,The woman accompanied the man because he was there.,-48,0,m,0.6509456634521484,0.8483737707138062,0.6981618404388428,0.16958779096603394,0.18578797578811646,0.12391753494739532
ic_mismatch,accompanied,0,The woman accompanied the man because she was there.,-48,1,f,0.14720964431762695,0.06700614094734192,0.06226623058319092,0.7727024555206299,0.7585012316703796,0.5815388560295105
ic_mismatch,accused,0,The man accused the woman because he was there.,2,1,m,0.1704460233449936,0.08687031269073486,0.0523051954805851,0.4057619869709015,0.4114519953727722,0.37086281180381775
ic_mismatch,accused,0,The man accused the woman because she was there.,2,0,f,0.7419182658195496,0.87950199842453,0.8701609969139099,0.5589085221290588,0.5658571124076843,0.5311128497123718
