exp,item,sent,hasIC,num,isHIGH,gpt_layer_0_HIGH_SIM,gpt_layer_0_LOW_SIM,gpt_layer_1_HIGH_SIM,gpt_layer_1_LOW_SIM,gpt_layer_2_HIGH_SIM,gpt_layer_2_LOW_SIM,gpt_layer_3_HIGH_SIM,gpt_layer_3_LOW_SIM,gpt_layer_4_HIGH_SIM,gpt_layer_4_LOW_SIM,gpt_layer_5_HIGH_SIM,gpt_layer_5_LOW_SIM,gpt_layer_6_HIGH_SIM,gpt_layer_6_LOW_SIM,gpt_layer_7_HIGH_SIM,gpt_layer_7_LOW_SIM,gpt_layer_8_HIGH_SIM,gpt_layer_8_LOW_SIM,gpt_layer_9_HIGH_SIM,gpt_layer_9_LOW_SIM,gpt_layer_10_HIGH_SIM,gpt_layer_10_LOW_SIM,gpt_layer_11_HIGH_SIM,gpt_layer_11_LOW_SIM,gpt_layer_12_HIGH_SIM,gpt_layer_12_LOW_SIM,gpt_layer_13_HIGH_SIM,gpt_layer_13_LOW_SIM,gpt_layer_14_HIGH_SIM,gpt_layer_14_LOW_SIM,gpt_layer_15_HIGH_SIM,gpt_layer_15_LOW_SIM,gpt_layer_16_HIGH_SIM,gpt_layer_16_LOW_SIM,gpt_layer_17_HIGH_SIM,gpt_layer_17_LOW_SIM,gpt_layer_18_HIGH_SIM,gpt_layer_18_LOW_SIM,gpt_layer_19_HIGH_SIM,gpt_layer_19_LOW_SIM,gpt_layer_20_HIGH_SIM,gpt_layer_20_LOW_SIM,gpt_layer_21_HIGH_SIM,gpt_layer_21_LOW_SIM,gpt_layer_22_HIGH_SIM,gpt_layer_22_LOW_SIM,gpt_layer_23_HIGH_SIM,gpt_layer_23_LOW_SIM,gpt_layer_24_HIGH_SIM,gpt_layer_24_LOW_SIM,gpt_layer_25_HIGH_SIM,gpt_layer_25_LOW_SIM,gpt_layer_26_HIGH_SIM,gpt_layer_26_LOW_SIM,gpt_layer_27_HIGH_SIM,gpt_layer_27_LOW_SIM,gpt_layer_28_HIGH_SIM,gpt_layer_28_LOW_SIM,gpt_layer_29_HIGH_SIM,gpt_layer_29_LOW_SIM,gpt_layer_30_HIGH_SIM,gpt_layer_30_LOW_SIM,gpt_layer_31_HIGH_SIM,gpt_layer_31_LOW_SIM,gpt_layer_32_HIGH_SIM,gpt_layer_32_LOW_SIM,gpt_layer_33_HIGH_SIM,gpt_layer_33_LOW_SIM,gpt_layer_34_HIGH_SIM,gpt_layer_34_LOW_SIM,gpt_layer_35_HIGH_SIM,gpt_layer_35_LOW_SIM,gpt_layer_36_HIGH_SIM,gpt_layer_36_LOW_SIM,gpt_layer_37_HIGH_SIM,gpt_layer_37_LOW_SIM,gpt_layer_38_HIGH_SIM,gpt_layer_38_LOW_SIM,gpt_layer_39_HIGH_SIM,gpt_layer_39_LOW_SIM,gpt_layer_40_HIGH_SIM,gpt_layer_40_LOW_SIM,gpt_layer_41_HIGH_SIM,gpt_layer_41_LOW_SIM,gpt_layer_42_HIGH_SIM,gpt_layer_42_LOW_SIM,gpt_layer_43_HIGH_SIM,gpt_layer_43_LOW_SIM,gpt_layer_44_HIGH_SIM,gpt_layer_44_LOW_SIM,gpt_layer_45_HIGH_SIM,gpt_layer_45_LOW_SIM,gpt_layer_46_HIGH_SIM,gpt_layer_46_LOW_SIM,gpt_layer_47_HIGH_SIM,gpt_layer_47_LOW_SIM
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,0.4189170676,0.4082422606,0.5794213524,0.6185049949,0.6328732923,0.695700554,0.6542982665,0.7167547691,0.6558988614,0.7039243956,0.6523630276,0.7054088128,0.6538026664,0.6964444867,0.6496135905,0.6946613438,0.6444078525,0.6819067637,0.641223641,0.682441964,0.6353216148,0.6767365064,0.6368799653,0.6834187725,0.6473309345,0.6893713113,0.6473290883,0.6841800309,0.6477762461,0.6767792735,0.6391386936,0.6643497801,0.6401706635,0.6613363117,0.6380739631,0.6625431829,0.6538361576,0.667753656,0.6634440875,0.6844971665,0.6707931975,0.6885444742,0.6618450388,0.6944362365,0.6607096918,0.6919619532,0.6712269603,0.7067211615,0.6639204584,0.7055194167,0.6682242012,0.7019095625,0.6856391049,0.7284566047,0.6818988497,0.730734628,0.6874925444,0.7297136505,0.6917667188,0.7361973054,0.6924846911,0.7387987883,0.6870299104,0.7341086293,0.6832023532,0.7334794698,0.6744396862,0.73145706,0.6748916477,0.7297652834,0.665490211,0.7252100877,0.6561113771,0.7214947788,0.6517141886,0.7216554634,0.6539115157,0.7213808166,0.6488766481,0.7111153479,0.6578147149,0.719014316,0.6606101567,0.7204845221,0.6684126193,0.7255794341,0.6930596101,0.7506168338,0.7350079447,0.7884368933,0.7837061939,0.830848427,0.800780555,0.8442323294,0.4144411887,0.5069514483
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,0.4195475341,0.3905986121,0.5693500282,0.5906893653,0.6444076858,0.681329376,0.6667094792,0.7062544501,0.6742911607,0.6837717046,0.6699325025,0.6810100712,0.669154023,0.6775564149,0.6630668496,0.6769034794,0.6545148864,0.6691984735,0.6516368564,0.6691593541,0.6477806068,0.6655653791,0.6498443967,0.6724951711,0.6575455137,0.6798208545,0.6531936117,0.6829394684,0.6447370393,0.6878405251,0.633581332,0.6883600407,0.631966361,0.6872862716,0.6207982141,0.6874278858,0.6283751391,0.6899034554,0.6352776993,0.7074175516,0.6348836653,0.7113706062,0.6264799268,0.7073636811,0.6243209548,0.7072103166,0.6372245461,0.7157103483,0.6280697301,0.708279579,0.6259845616,0.7002383809,0.6408636532,0.7198478866,0.641248488,0.7194591378,0.651897188,0.7208064282,0.6538562228,0.7260823666,0.6531616653,0.7251456675,0.6480562651,0.7253559124,0.6419293544,0.7219063055,0.6355362468,0.7258784258,0.6362586166,0.7267844544,0.6304337347,0.7203063837,0.6261355717,0.7171288048,0.6260031034,0.7129625054,0.6289762057,0.7154744378,0.6244637812,0.7113285439,0.6389161859,0.7185920639,0.6432526815,0.7202610035,0.654307866,0.7225367298,0.6923954576,0.7289711969,0.7436609931,0.7596615601,0.7915626232,0.789920069,0.8047547623,0.7984189025,0.4317038592,0.3496374776
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,0.3931543939,0.4060269966,0.5593264512,0.6103306468,0.621720309,0.6900732306,0.6416048047,0.7103154471,0.6450752547,0.697065391,0.6435842443,0.6999416267,0.6444809456,0.6895024828,0.6441202195,0.6900117702,0.6341320467,0.6741020567,0.6269267212,0.6765432233,0.6257116192,0.6789137915,0.6285938176,0.688459189,0.6374028815,0.6918258579,0.640960555,0.697289321,0.6368926329,0.7002066823,0.6352999859,0.7046543007,0.6359488689,0.7093348196,0.6336614831,0.7117646736,0.646930836,0.7197918304,0.6505151755,0.7347528438,0.6528605119,0.7383378573,0.6450459919,0.7427952364,0.645752276,0.7446526441,0.6579911988,0.7561248997,0.651489802,0.7562241681,0.6500610681,0.7505212953,0.6657272522,0.7701700496,0.6617518006,0.7697158009,0.6646434214,0.7611736394,0.6653622627,0.7652921137,0.6622565652,0.7655089871,0.6572437161,0.7597157113,0.6546091529,0.7596096996,0.6472307381,0.7551547136,0.6497246238,0.7523234947,0.6386033163,0.7442145043,0.6321167656,0.7412786559,0.6269561728,0.738511414,0.6276698123,0.7365395011,0.624390842,0.725987352,0.634077749,0.7334667891,0.6378817326,0.7344819613,0.649985789,0.740542691,0.6762319238,0.7643805926,0.7203241258,0.8008356339,0.7728794932,0.8409726598,0.7896240187,0.852618517,0.3663385908,0.5255170405
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,0.4067796291,0.3785939069,0.5569357934,0.5773168783,0.6378468393,0.6699711294,0.6581306683,0.6938430923,0.6661696859,0.6688946579,0.6615485328,0.6677487829,0.6601987438,0.661323529,0.6590660348,0.6635288215,0.643296589,0.6538822499,0.6365162948,0.6531630132,0.6340490775,0.6527339917,0.6378571955,0.6562228295,0.642270431,0.6591530745,0.6464862712,0.6571706023,0.643293207,0.661157268,0.6471328512,0.6646472739,0.6564094685,0.6593432294,0.6596612592,0.6493765034,0.673437194,0.6480159649,0.6808225837,0.6554709139,0.6867925577,0.6579408699,0.679712588,0.6576234601,0.68429248,0.6560247607,0.6928396736,0.6703495809,0.6893935218,0.6663355777,0.6877491289,0.6603531529,0.7043976524,0.6873374657,0.7033645768,0.6876507493,0.7072383052,0.6891770458,0.710412682,0.6996017357,0.7077265301,0.697983799,0.700989139,0.7012313956,0.6962972833,0.6997501031,0.6864979259,0.7032734303,0.6853914721,0.7056866221,0.6779674865,0.6988901225,0.6694409839,0.6975762433,0.6665138789,0.6980896506,0.6684128282,0.7008267284,0.6632363249,0.7006362617,0.6731013739,0.7076886061,0.6743041007,0.7107134721,0.6849309298,0.7136547585,0.7166752749,0.7205867643,0.7599386315,0.7487505247,0.806491226,0.7853175293,0.8194581176,0.7976797264,0.4739717985,0.3430757091
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,0.4135041164,0.398503808,0.5663603773,0.6034122791,0.6423938806,0.6951600175,0.6659412529,0.7136105293,0.6732686328,0.6960934718,0.6730776472,0.7001284983,0.6717739776,0.6929316232,0.6672772332,0.6877226993,0.6636900416,0.677855139,0.659786756,0.6843969853,0.6565790769,0.6805056596,0.6547275837,0.6873448642,0.6580294422,0.6885020554,0.6500354975,0.6815764055,0.6410592603,0.6669344649,0.6218173747,0.6510663214,0.6159900344,0.643891887,0.6009746277,0.6436357697,0.6035245943,0.6493596597,0.6126777575,0.6733090306,0.6153884985,0.6795893717,0.6142209345,0.689768924,0.6082499289,0.6914515521,0.6190551264,0.7070635522,0.6125802759,0.7032943113,0.6109726848,0.6939994702,0.6264077312,0.7093539471,0.6240835862,0.7131827299,0.6356095734,0.719800725,0.6387099671,0.7261963161,0.6391429978,0.727687794,0.6355358703,0.7260992603,0.6347571282,0.731664941,0.6318223827,0.7372853743,0.6335967518,0.7362177495,0.6298475267,0.7296421167,0.6245538608,0.7201713704,0.6242856659,0.717704738,0.6252549306,0.7175890851,0.6192593004,0.7141664885,0.6336897044,0.7229843136,0.6354526757,0.7277273123,0.6489376163,0.737418394,0.686018945,0.755978415,0.7393867942,0.7884910285,0.7903760153,0.8287910551,0.804410458,0.8425018775,0.4099942426,0.4366769367
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,0.4145256772,0.3761154293,0.5667724601,0.5811402856,0.6425507155,0.6852328691,0.6653455549,0.7036156583,0.6717662654,0.6780967018,0.6720508431,0.6773269836,0.6713765655,0.6755189119,0.666011046,0.6726182667,0.6621360509,0.6672696339,0.6590274793,0.6729029156,0.6566722715,0.6709405459,0.6564853913,0.6812227076,0.6606384987,0.6855007922,0.652439262,0.6859465065,0.6417583374,0.686388099,0.6280502297,0.6868266927,0.618527801,0.6821785697,0.6014320909,0.6853250402,0.6015396632,0.6867704266,0.606155399,0.701351797,0.6001597383,0.7047692877,0.5908135027,0.6995686696,0.5853541385,0.6982508758,0.5999849278,0.7057451123,0.5905400061,0.6937889314,0.5845963684,0.6746503151,0.5957611376,0.6811838587,0.5919135006,0.6771399095,0.6017970089,0.675309205,0.6049290307,0.6811632158,0.601761863,0.6822851958,0.5995454934,0.6867051915,0.5944204569,0.6829484272,0.5928495756,0.6889696322,0.5968634959,0.6944961599,0.5905836348,0.687415037,0.5880943812,0.6826716688,0.5884613187,0.6777044256,0.5922020477,0.6829815414,0.5904900427,0.6916394957,0.6080583945,0.7044792262,0.6126162432,0.7091007972,0.6269020052,0.7213113459,0.6676205412,0.7309316632,0.7263998598,0.7620659761,0.7786436819,0.7949563218,0.7909278831,0.8054519657,0.3825137873,0.342600885
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,0.396338936,0.397094767,0.5537666676,0.596381329,0.6363877846,0.6914003793,0.6592093939,0.7101883042,0.6681871223,0.6926567235,0.6682426379,0.6970414339,0.6670260965,0.6894602638,0.6658679473,0.6862616789,0.6570827749,0.673531182,0.648862677,0.6811795383,0.6534549843,0.6886960847,0.6583414869,0.6968875027,0.6616547085,0.6970727506,0.6604788155,0.7013333829,0.650492535,0.7002797338,0.6495868098,0.7056794663,0.6468856415,0.7105556183,0.6392195436,0.7156734898,0.6475786343,0.7331723165,0.6440225375,0.750320626,0.6382992504,0.7533466638,0.6292812896,0.7583406404,0.629994505,0.7627384693,0.6446099176,0.7756864506,0.6382899415,0.7744024861,0.633941322,0.763581778,0.6463604317,0.7714956554,0.639790853,0.7698429002,0.6463863678,0.7676614628,0.6484237306,0.7748595408,0.6450592562,0.7739723774,0.6387424078,0.7696583389,0.6332722299,0.7700034698,0.62847266,0.7713255371,0.6288069068,0.7665032801,0.6214848145,0.7570148084,0.6195027853,0.7485113891,0.6195459479,0.7436611511,0.6181073862,0.7421574909,0.6130411386,0.7387678231,0.6283462966,0.7497860011,0.6310102567,0.7533990773,0.6459722904,0.7628748262,0.6814660869,0.7787112633,0.7325123225,0.8070130726,0.7802012741,0.8405680682,0.7899437698,0.8514936796,0.3542473067,0.4643762207
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,0.3989412429,0.3643253481,0.5550608747,0.5677047612,0.6377006184,0.6754634452,0.6598827788,0.6940153913,0.6674964281,0.6674378565,0.6671429931,0.6666128287,0.6661670603,0.6623612949,0.6648829754,0.6619834991,0.6550360313,0.6551158534,0.6473624199,0.6597012495,0.6495985912,0.6645056455,0.6537118328,0.6719600747,0.6568764856,0.6746458392,0.6555936165,0.6682763582,0.650765568,0.6655618648,0.6512486508,0.6677983083,0.6501404641,0.6652766141,0.6445078124,0.6558692291,0.6526654783,0.6653785062,0.6503759925,0.6756293377,0.650772833,0.6815858748,0.6433049659,0.6804554105,0.6408067213,0.684858537,0.6547587704,0.6946028303,0.6491450721,0.6873179592,0.6452316687,0.6689888646,0.6583885293,0.6790397642,0.6531425744,0.6774230099,0.6586403293,0.6780849738,0.6626430667,0.6885048805,0.6576412255,0.6892252774,0.6518337041,0.695137144,0.648303415,0.69326603,0.6455903044,0.6991080974,0.6473150864,0.7056990126,0.6408913119,0.6997453586,0.6369164781,0.6952494643,0.6346124304,0.6916959793,0.6375846692,0.6960401815,0.6326694475,0.705387924,0.6474432444,0.7173999893,0.6503165802,0.7222599408,0.6639501028,0.7334411593,0.6995964566,0.7425381973,0.7493610958,0.7707535354,0.7955731816,0.8024262583,0.804300511,0.8150131164,0.3992358615,0.3411047375
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,0.3987949605,0.4123621335,0.6017987909,0.5676709254,0.6890594319,0.6440448632,0.7083059204,0.6628567465,0.6900827392,0.6699596094,0.6889694211,0.671120221,0.6870934634,0.6650245616,0.6845594785,0.6623046291,0.6676520569,0.6562154484,0.6674551748,0.6526571217,0.6583836995,0.6472985709,0.6604443453,0.6458147911,0.6657384701,0.6567312088,0.6687469304,0.649991174,0.6737337655,0.6386593011,0.6658767528,0.6292202098,0.6630973686,0.6264095971,0.6638514197,0.6168836833,0.6840462295,0.6243013651,0.7001823013,0.6342245685,0.7077988141,0.6390621017,0.7157300601,0.632237499,0.7203991128,0.6302224256,0.7265991452,0.6476892434,0.7214293542,0.6427309836,0.7168048839,0.6412157385,0.730043849,0.6638377546,0.7292406769,0.6606723812,0.7274280673,0.6693711123,0.7227877268,0.6778739614,0.7168577861,0.6859913231,0.703611071,0.6856847925,0.6975595941,0.6895638551,0.6879768819,0.689346736,0.682766389,0.6886262958,0.6765741589,0.6890217337,0.6676342893,0.6803953792,0.6549497354,0.6844057681,0.6445866184,0.6905779574,0.6404462669,0.6896401856,0.648249545,0.6966064874,0.6507057923,0.7022611881,0.6622710059,0.7131194599,0.6930468369,0.7348560866,0.7436851762,0.7599097821,0.8011307757,0.8014555058,0.8232256079,0.8078247018,0.4779261893,0.3843648812
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,0.4185743805,0.4117429866,0.6304760652,0.5752919879,0.7024143095,0.6367111249,0.7160349864,0.6521448097,0.7062691528,0.6526019808,0.7089560763,0.6559057291,0.7026717994,0.6532766613,0.6996424372,0.6511135887,0.6804124183,0.6487139576,0.6845273852,0.6456882851,0.6800978836,0.6390262711,0.6854064799,0.6417204667,0.6915521859,0.6528738281,0.6874037597,0.6526551818,0.6799482497,0.6558175175,0.6658994942,0.6541068436,0.6610752447,0.6475881017,0.6610691503,0.6481238521,0.6702652044,0.6598905629,0.6823594437,0.6673557629,0.6834722737,0.6697503909,0.690446833,0.6541955773,0.6961124403,0.6466849995,0.7034949462,0.6552643178,0.700773973,0.6496736538,0.6994422616,0.6499808937,0.7195355691,0.668586393,0.7257432561,0.6614211278,0.7275475557,0.6668462656,0.7281589285,0.6780598925,0.7323123275,0.6815512863,0.7251551675,0.687918639,0.72258015,0.6883754385,0.719193531,0.6895894577,0.7125275093,0.6981935091,0.709459187,0.6930932424,0.7060608182,0.6908480799,0.6994852264,0.6905457537,0.6928554255,0.6950718312,0.6882527905,0.6989378222,0.6996960031,0.7007496537,0.7043687619,0.7061972415,0.7132927159,0.7068628958,0.7446627942,0.7133310781,0.7942178285,0.726590561,0.8359275904,0.7525240886,0.8514087118,0.7472671555,0.5386548836,0.207794716
