exp,item,sent,hasIC,num,isHIGH,tf_layer_0_HIGH_SIM,tf_layer_0_LOW_SIM,tf_layer_1_HIGH_SIM,tf_layer_1_LOW_SIM,tf_layer_2_HIGH_SIM,tf_layer_2_LOW_SIM,tf_layer_3_HIGH_SIM,tf_layer_3_LOW_SIM,tf_layer_4_HIGH_SIM,tf_layer_4_LOW_SIM,tf_layer_5_HIGH_SIM,tf_layer_5_LOW_SIM,tf_layer_6_HIGH_SIM,tf_layer_6_LOW_SIM,tf_layer_7_HIGH_SIM,tf_layer_7_LOW_SIM,tf_layer_8_HIGH_SIM,tf_layer_8_LOW_SIM,tf_layer_9_HIGH_SIM,tf_layer_9_LOW_SIM,tf_layer_10_HIGH_SIM,tf_layer_10_LOW_SIM,tf_layer_11_HIGH_SIM,tf_layer_11_LOW_SIM,tf_layer_12_HIGH_SIM,tf_layer_12_LOW_SIM,tf_layer_13_HIGH_SIM,tf_layer_13_LOW_SIM,tf_layer_14_HIGH_SIM,tf_layer_14_LOW_SIM,tf_layer_15_HIGH_SIM,tf_layer_15_LOW_SIM,tf_layer_16_HIGH_SIM,tf_layer_16_LOW_SIM,tf_layer_17_HIGH_SIM,tf_layer_17_LOW_SIM
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,0.02675415234,0.0748018282,0.0786510195,0.139962266,0.05907997552,0.1317051675,0.07768396022,0.1512780136,0.04208289699,0.1180486682,0.03149224581,0.1056939656,0.01097387573,0.08093846004,0.03079180976,0.1036390705,0.08003456246,0.1291466711,0.1573127425,0.2328549048,0.2859655359,0.3407128341,0.5349067515,0.587665127,0.6304916325,0.6726758353,0.6285569463,0.7222836756,0.5661315967,0.6699942098,0.5013341386,0.58419731,0.5668787644,0.6460644081,0.5319829037,0.5926339905
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,0.004086136904,0.08567408175,0.0756102251,0.1557140722,0.04879320165,0.1529327132,0.07577843071,0.1712584103,0.03076001075,0.140600949,0.02358685692,0.1302790534,-0.00794706462,0.1097566075,0.02726379268,0.1319106655,0.06004521886,0.1844948626,0.1342063434,0.2329718557,0.2719201012,0.3377913528,0.512750289,0.5581357504,0.6408380528,0.6590662991,0.6486830357,0.6856759435,0.5827572549,0.620501623,0.5206683374,0.5561484247,0.5866831713,0.5920366335,0.5432984542,0.5703766475
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,0.02763856177,0.1030705206,0.06576224261,0.1763258777,0.05059601878,0.1717855411,0.07170650436,0.1954556193,0.03697211668,0.1726981781,0.01529609668,0.1534881039,-0.002985629824,0.1416892725,0.007815230046,0.1503292496,0.02774354481,0.1981778134,0.1060111047,0.3302700393,0.2336309136,0.391926649,0.4972704849,0.6042992759,0.613042577,0.7033165395,0.6274474604,0.7484777709,0.5440319605,0.6781006743,0.4747179501,0.5881361828,0.5636399326,0.6586248897,0.5506798994,0.6303320252
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,0.07839021599,0.06943304498,0.1209431047,0.1317984734,0.1077874719,0.1216739672,0.1307611855,0.1418280066,0.1017113856,0.1077119004,0.08508545003,0.08013231002,0.08210253313,0.05593011281,0.08602786607,0.07564967808,0.1492954837,0.07586171597,0.2613858105,0.1447977694,0.4137739995,0.2692274519,0.6234699899,0.5149285864,0.7424826145,0.6541945997,0.7403649341,0.7040909473,0.6852542377,0.6311701212,0.6048748995,0.5501790333,0.6767953154,0.6266823946,0.6598822581,0.6309932226
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,0.004014549961,0.0751803837,0.07528838107,0.1412023933,0.04800077781,0.1324362102,0.07546639269,0.1528481926,0.02997425144,0.1195115706,0.02292940802,0.1077709704,-0.009040932501,0.08299815152,0.02276787093,0.1042386297,0.05729745998,0.1262656769,0.1317156238,0.2197884707,0.2031837191,0.357857211,0.4180299685,0.6336231658,0.5435561212,0.7178033517,0.5510541896,0.7641706315,0.486928942,0.7098861223,0.4176390218,0.6147940812,0.496816928,0.6593077331,0.4260169379,0.6309050043
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,0.004062994695,0.08563573677,0.07790111255,0.1555760162,0.04924622506,0.1530648918,0.07580871353,0.1720203654,0.03008620736,0.1419950862,0.02227336316,0.1322224266,-0.009776672324,0.1113465902,0.0238146485,0.1320702176,0.05149995897,0.1835975267,0.106380943,0.2300025644,0.1720233428,0.3456953881,0.3906540685,0.6088660159,0.5355327835,0.7004966228,0.5452755097,0.7125535187,0.4688607592,0.6474991419,0.4037682959,0.567806013,0.481019229,0.5796761036,0.4204883915,0.5689954442
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,0.07845089606,0.1032495512,0.1113289944,0.1763175258,0.1012072548,0.1721485373,0.1248468381,0.1967844914,0.09747874961,0.1743204108,0.08156272295,0.1554964189,0.0779933788,0.1430838137,0.07424921923,0.1504378554,0.1124822428,0.192426139,0.1853819592,0.3213682885,0.2230949664,0.4032038078,0.445443879,0.637866434,0.5733311222,0.7328392562,0.5665812032,0.7792039985,0.5067657271,0.7065800899,0.4359414069,0.6137036158,0.5137012339,0.6589320854,0.4581626495,0.6492490925
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,0.07841186423,0.06931518179,0.1230602168,0.1297144302,0.1088204204,0.1206654924,0.1312823771,0.1414503046,0.1018200095,0.1075222038,0.08463006709,0.08080652558,0.08104894359,0.05633703814,0.0832316652,0.07620030786,0.1447764672,0.07671131169,0.2400660567,0.1412290005,0.2945238666,0.2608351361,0.4847237742,0.538385403,0.625749902,0.6650968671,0.6225412207,0.7066672157,0.567701747,0.6379479749,0.4916013674,0.5529375442,0.5461964041,0.5790517148,0.4940181645,0.586989237
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,0.08579327282,0.004942112642,0.1488886129,0.08190808159,0.1498425192,0.05421746506,0.167732932,0.08201889822,0.1369595614,0.03575303147,0.1256969485,0.02973068266,0.1052299017,-0.0009902676133,0.1196059709,0.04444493282,0.1590059014,0.08443291421,0.1995012924,0.1734608141,0.3359270696,0.3000632791,0.5528763175,0.5587813125,0.6276121035,0.6701219781,0.6173668288,0.7013959423,0.5571057514,0.6415901028,0.5060220275,0.5719512263,0.5641187603,0.6311077497,0.5358160109,0.5793049739
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,0.07456477478,0.02739890456,0.1342935245,0.08511866688,0.1286904997,0.0641477133,0.1477560263,0.08523801385,0.1154995759,0.05029736714,0.1004717871,0.04041226559,0.07548373165,0.02000258012,0.09339638047,0.05037071927,0.1155714605,0.1166133284,0.1729180046,0.1938412862,0.2972977956,0.287235697,0.530669778,0.5268859483,0.6335774433,0.6456257542,0.6502038826,0.7103872239,0.5840875377,0.6615952756,0.523516091,0.5880413116,0.6103356786,0.6299700056,0.5537539119,0.600063712
