exp,item,sent,hasIC,num,isHIGH,layer,NP,sim
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,1,0.007086356274
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,1,2,0.01983720905
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,1,0.2098759395
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,2,2,0.2724737976
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,1,1,0.0151761423
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,1,2,0.01847285061
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,2,1,0.2546544893
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,2,2,0.2150571473
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,1,1,0.004724723707
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,1,2,0.04453355142
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,2,1,0.1873402234
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,2,2,0.2586350532
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,1,1,0.04058372375
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,1,2,0.0125292358
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,2,1,0.2505862774
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,2,2,0.2073255928
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,1,1,0.01522747509
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,1,2,0.02274527832
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,2,1,0.1991536539
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,2,2,0.256440116
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,1,1,0.01518474459
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,1,2,0.02235966083
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,2,1,0.1980997046
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,2,2,0.1861632723
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,1,1,0.04015322064
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,1,2,0.04656857818
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,2,1,0.1963044981
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,2,2,0.2386180342
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,1,1,0.04049499688
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,1,2,0.01676051023
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,2,1,0.1973230615
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,2,2,0.1776582456
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,1,1,0.01593335497
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,1,2,0.014583049
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,2,1,0.2202598028
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,2,2,0.2536884918
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,1,1,0.02005116405
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,1,2,0.004785147611
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,2,1,0.2644737048
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,2,2,0.1783911327
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,1,1,0.01096429156
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,1,2,0.03985282243
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,2,1,0.2013304174
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,2,2,0.2415230029
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,1,1,0.04504423774
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,1,2,0.002860394512
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,2,1,0.2612458865
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,2,2,0.1682520514
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,1,1,0.01540214618
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,1,2,0.0208061763
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,2,1,0.2045055474
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,2,2,0.2441672255
reading,1,The woman studied with the aristocrats of the chef who was,0,sg,0,1,1,0.0192740579
reading,1,The woman studied with the aristocrats of the chef who was,0,sg,0,1,2,0.009495903882
