exp,verb,item,sent,bias,isHigh ,gender,score,score_pro,score_base,score_roberta,score_roberta_pro,score_roberta_base,score_mbert
ic_mismatch,abandoned,0,The man abandoned the woman because he was there.,33,1,m,0.1902370006,0.0874697715,0.1485106349,0.171346128,0.0632519275,0.1700783521,0.347632736
ic_mismatch,abandoned,0,The man abandoned the woman because she was there.,33,0,f,0.4680537283,0.2457850128,0.7225399613,0.1229336634,0.07371958345,0.1369788647,0.5444198251
ic_mismatch,abandoned,0,The woman abandoned the man because he was there.,33,0,m,0.6322733164,0.3007511199,0.8662686944,0.1494487673,0.03909154236,0.08446706086,0.6184465885
ic_mismatch,abandoned,0,The woman abandoned the man because she was there.,33,1,f,0.09370660782,0.06279307604,0.04085391387,0.1091348678,0.06826495379,0.1152686104,0.2494588196
ic_mismatch,acclaimed,0,The man acclaimed the woman because he was there.,-58,1,m,0.236856401,0.09288387746,0.1044486538,0.1605391204,0.1780373603,0.2549224198,0.4233534932
ic_mismatch,acclaimed,0,The man acclaimed the woman because she was there.,-58,0,f,0.6123453975,0.7191641331,0.8423826098,0.7836302519,0.4240447283,0.7070239782,0.4772340953
ic_mismatch,acclaimed,0,The woman acclaimed the man because he was there.,-58,0,m,0.8596009016,0.8265089393,0.9625533223,0.7254194617,0.2399018109,0.5368309021,0.5187325478
ic_mismatch,acclaimed,0,The woman acclaimed the man because she was there.,-58,1,f,0.05371629447,0.01751579344,0.01082280371,0.212665841,0.3997286558,0.4260652959,0.3704249263
ic_mismatch,accompanied,0,The man accompanied the woman because he was there.,-48,1,m,0.2489132285,0.07752514631,0.08474981785,0.7401278019,0.2746016979,0.7969849706,0.2572205365
ic_mismatch,accompanied,0,The man accompanied the woman because she was there.,-48,0,f,0.533649683,0.594483614,0.8610319495,0.2056464553,0.1474204212,0.1598174125,0.621260643
ic_mismatch,accompanied,0,The woman accompanied the man because he was there.,-48,0,m,0.6509456635,0.5208540559,0.9156283736,0.169587791,0.06968965381,0.100094676,0.6706526875
ic_mismatch,accompanied,0,The woman accompanied the man because she was there.,-48,1,f,0.1472096443,0.06694806367,0.03520861268,0.7727024555,0.355263859,0.8523558974,0.1837735623
ic_mismatch,accused,0,The man accused the woman because he was there.,2,1,m,0.1704460233,0.04601492733,0.04912417755,0.405761987,0.2721073329,0.4619635344,0.3239162564
ic_mismatch,accused,0,The man accused the woman because she was there.,2,0,f,0.7419182658,0.8286194801,0.9339292049,0.5589085221,0.5726535916,0.5208807588,0.6018108726
ic_mismatch,accused,0,The woman accused the man because he was there.,2,0,m,0.7978700399,0.7909034491,0.9494351745,0.6545833349,0.4150996506,0.5227655172,0.6676238179
ic_mismatch,accused,0,The woman accused the man because she was there.,2,1,f,0.1307397783,0.06506724656,0.03731822968,0.3154244721,0.4128536284,0.45813483,0.2483923733
ic_mismatch,admired,0,The man admired the woman because he was there.,-92,1,m,0.01028096676,0.004538815003,0.005675397348,0.1576478332,0.1197530702,0.2180934846,0.3651599288
ic_mismatch,admired,0,The man admired the woman because she was there.,-92,0,f,0.9629867077,0.9330863953,0.9801419973,0.7983617187,0.6187385917,0.7571968436,0.5577776432
ic_mismatch,admired,0,The woman admired the man because he was there.,-92,0,m,0.9598743916,0.9138137102,0.9807437062,0.7177946568,0.3641658425,0.597559154,0.6362162232
ic_mismatch,admired,0,The woman admired the man because she was there.,-92,1,f,0.01120896544,0.007269805763,0.006273377687,0.2361389995,0.3603346348,0.3779030144,0.2837224901
ic_mismatch,admonished,0,The man admonished the woman because he was there.,-32,1,m,0.1009396166,0.02704525366,0.03065561131,0.523389101,0.1664990485,0.5443723202,0.2653222978
ic_mismatch,admonished,0,The man admonished the woman because she was there.,-32,0,f,0.8222929835,0.8508069515,0.9473347068,0.2943774462,0.1762332767,0.3401731551,0.6592416167
