exp,item,sent,hasIC,num,isHIGH,tf_layer_0_HIGH_SIM,tf_layer_0_LOW_SIM,tf_layer_1_HIGH_SIM,tf_layer_1_LOW_SIM,tf_layer_2_HIGH_SIM,tf_layer_2_LOW_SIM,tf_layer_3_HIGH_SIM,tf_layer_3_LOW_SIM,tf_layer_4_HIGH_SIM,tf_layer_4_LOW_SIM,tf_layer_5_HIGH_SIM,tf_layer_5_LOW_SIM,tf_layer_6_HIGH_SIM,tf_layer_6_LOW_SIM,tf_layer_7_HIGH_SIM,tf_layer_7_LOW_SIM,tf_layer_8_HIGH_SIM,tf_layer_8_LOW_SIM,tf_layer_9_HIGH_SIM,tf_layer_9_LOW_SIM,tf_layer_10_HIGH_SIM,tf_layer_10_LOW_SIM,tf_layer_11_HIGH_SIM,tf_layer_11_LOW_SIM,tf_layer_12_HIGH_SIM,tf_layer_12_LOW_SIM,tf_layer_13_HIGH_SIM,tf_layer_13_LOW_SIM,tf_layer_14_HIGH_SIM,tf_layer_14_LOW_SIM,tf_layer_15_HIGH_SIM,tf_layer_15_LOW_SIM,tf_layer_16_HIGH_SIM,tf_layer_16_LOW_SIM,tf_layer_17_HIGH_SIM,tf_layer_17_LOW_SIM
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,0.1352567112,0.09132700654,0.1488312883,0.1405406393,0.1505784402,0.1558442561,0.1708554025,0.2018187041,0.1341027412,0.1827480448,0.1176707541,0.1563616754,0.09917684099,0.1345117428,0.1089062062,0.1434694959,0.1261594901,0.1559269122,0.1948659624,0.2663834833,0.2794555904,0.3248060334,0.5140748589,0.5753973814,0.6063360864,0.6729007613,0.6041372209,0.7055320996,0.5450972119,0.6650065852,0.5086677279,0.606167605,0.5820889138,0.6728561462,0.4963097833,0.5623487858
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,0.103284913,0.1021486754,0.1207976843,0.1291678883,0.120293036,0.1600614112,0.1513094806,0.2013436005,0.1218673639,0.1696242438,0.1108235705,0.1441787313,0.09872812,0.1229015835,0.124051435,0.1455253275,0.1369516749,0.1495005481,0.2254050454,0.2183047073,0.3316752952,0.3068109887,0.5602125362,0.5796717981,0.6758269752,0.6817142439,0.6734334268,0.7164013995,0.6155211251,0.6631742185,0.5646828856,0.618698695,0.6618643816,0.69433533,0.5846025887,0.6156028385
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,0.1352567112,0.09132700654,0.1488312883,0.1405406393,0.1505784402,0.1558442561,0.1708554025,0.2018187041,0.1341027412,0.1827480448,0.1176707541,0.1563616754,0.09917684099,0.1345117428,0.1089062062,0.1434694959,0.1261594901,0.1559269122,0.1948659624,0.2663834833,0.2794555904,0.3248060334,0.5140748589,0.5753973814,0.6063360864,0.6729007613,0.6041372209,0.7055320996,0.5450972119,0.6650065852,0.5086677279,0.606167605,0.5820889138,0.6728561462,0.4963097833,0.5623487858
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,0.103284913,0.1021486754,0.1207976843,0.1291678883,0.120293036,0.1600614112,0.1513094806,0.2013436005,0.1218673639,0.1696242438,0.1108235705,0.1441787313,0.09872812,0.1229015835,0.124051435,0.1455253275,0.1369516749,0.1495005481,0.2254050454,0.2183047073,0.3316752952,0.3068109887,0.5602125362,0.5796717981,0.6758269752,0.6817142439,0.6734334268,0.7164013995,0.6155211251,0.6631742185,0.5646828856,0.618698695,0.6618643816,0.69433533,0.5846025887,0.6156028385
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,0.10327197,0.09210139054,0.1219837819,0.1423099832,0.1230737287,0.1580502108,0.1543303833,0.203971917,0.1241963207,0.1850589653,0.1140147768,0.1590490629,0.1002449088,0.1373121827,0.1177789173,0.1452738525,0.1362740306,0.1611347249,0.2202584221,0.2646194903,0.2305042252,0.340899872,0.4077120704,0.5991722291,0.5464047548,0.7034604728,0.5098923019,0.7396084747,0.4289454585,0.6801857438,0.386106657,0.6378745994,0.4841437713,0.6905087071,0.3647169094,0.5716236176
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,0.103284913,0.1016613884,0.1209496955,0.1287803899,0.1199795131,0.1601468443,0.1498230832,0.2004174631,0.1199008933,0.1692870177,0.1083082917,0.1463082666,0.09437180382,0.124284708,0.1187167195,0.1454776017,0.132810533,0.1630952072,0.2039398549,0.2310520698,0.2273077976,0.3180152598,0.4000122158,0.6081296249,0.5563597618,0.7165698715,0.5309068469,0.7451239461,0.4462856532,0.6944595451,0.4050379804,0.6535285937,0.5019815673,0.6959161445,0.4057120022,0.6170007374
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,0.10327197,0.09210139054,0.1219837819,0.1423099832,0.1230737287,0.1580502108,0.1543303833,0.203971917,0.1241963207,0.1850589653,0.1140147768,0.1590490629,0.1002449088,0.1373121827,0.1177789173,0.1452738525,0.1362740306,0.1611347249,0.2202584221,0.2646194903,0.2305042252,0.340899872,0.4077120704,0.5991722291,0.5464047548,0.7034604728,0.5098923019,0.7396084747,0.4289454585,0.6801857438,0.386106657,0.6378745994,0.4841437713,0.6905087071,0.3647169094,0.5716236176
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,0.103284913,0.1016613884,0.1209496955,0.1287803899,0.1199795131,0.1601468443,0.1498230832,0.2004174631,0.1199008933,0.1692870177,0.1083082917,0.1463082666,0.09437180382,0.124284708,0.1187167195,0.1454776017,0.132810533,0.1630952072,0.2039398549,0.2310520698,0.2273077976,0.3180152598,0.4000122158,0.6081296249,0.5563597618,0.7165698715,0.5309068469,0.7451239461,0.4462856532,0.6944595451,0.4050379804,0.6535285937,0.5019815673,0.6959161445,0.4057120022,0.6170007374
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,0.1027223652,0.1034069271,0.1242246901,0.1289317028,0.1571131948,0.1282244514,0.1903671018,0.1620091624,0.1583115471,0.1347046236,0.1322511268,0.1227481518,0.1125559105,0.1088592603,0.1303804997,0.148103637,0.1260673816,0.1565108953,0.1784364273,0.286912134,0.3046826822,0.3915373345,0.5303445674,0.6152814312,0.6112822912,0.72037952,0.6055437988,0.7548658963,0.5439289823,0.7132431481,0.5061681068,0.6543181069,0.6082272832,0.7249558601,0.5479379335,0.6266532487
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,0.09231441882,0.1355432623,0.1317650755,0.155814731,0.145718298,0.154807911,0.1804342859,0.1819307588,0.1563596487,0.1474742636,0.1333278215,0.1285656979,0.1165908176,0.1096923604,0.1212125141,0.1335828704,0.1441676428,0.144373509,0.1899307185,0.2360678021,0.2919449939,0.3103881231,0.5367204257,0.5566262844,0.6517340416,0.681355135,0.6494043332,0.7334355474,0.5895824358,0.7034881843,0.5559222968,0.6713944541,0.6630176059,0.7362176398,0.6006466759,0.6891158466
reading,1,The woman scolded the aristocrat of the chefs who were,1,pl,0,0.1027223652,0.1034069271,0.1242246901,0.1289317028,0.1571131948,0.1282244514,0.1903671018,0.1620091624,0.1583115471,0.1347046236,0.1322511268,0.1227481518,0.1125559105,0.1088592603,0.1303804997,0.148103637,0.1260673816,0.1565108953,0.1784364273,0.286912134,0.3046826822,0.3915373345,0.5303445674,0.6152814312,0.6112822912,0.72037952,0.6055437988,0.7548658963,0.5439289823,0.7132431481,0.5061681068,0.6543181069,0.6082272832,0.7249558601,0.5479379335,0.6266532487
reading,1,The woman scolded the aristocrats of the chef who were,1,pl,1,0.09231441882,0.1355432623,0.1317650755,0.155814731,0.145718298,0.154807911,0.1804342859,0.1819307588,0.1563596487,0.1474742636,0.1333278215,0.1285656979,0.1165908176,0.1096923604,0.1212125141,0.1335828704,0.1441676428,0.144373509,0.1899307185,0.2360678021,0.2919449939,0.3103881231,0.5367204257,0.5566262844,0.6517340416,0.681355135,0.6494043332,0.7334355474,0.5895824358,0.7034881843,0.5559222968,0.6713944541,0.6630176059,0.7362176398,0.6006466759,0.6891158466
reading,1,The woman studied with the aristocrat of the chefs who was,0,sg,1,0.09232269606,0.1037279848,0.1343073967,0.1301479672,0.1507172759,0.1285179104,0.1895688945,0.1612536015,0.172597137,0.1344330735,0.1504168657,0.1213426869,0.133545906,0.1057304265,0.13840559,0.1459117207,0.1444393307,0.1621826143,0.1692221762,0.2887629203,0.2067732737,0.3459397882,0.3614256994,0.6010437332,0.5033429306,0.7078922382,0.4648506665,0.7447215618,0.3842925923,0.6910132738,0.3473836044,0.651279004,0.4778159488,0.7219056026,0.3707301606,0.6253069784
reading,1,The woman studied with the aristocrats of the chef who was,0,sg,0,0.09231441882,0.135696654,0.131642482,0.1554837656,0.1460229585,0.1540564467,0.1807877414,0.1805294289,0.1555944993,0.1460255074,0.1352523544,0.1270892664,0.11782074,0.106679593,0.1192307497,0.1326628017,0.1375803659,0.151783103,0.1635154855,0.2334762207,0.1999248907,0.2875959074,0.3698506201,0.5960616147,0.5117780705,0.6998589452,0.4539050363,0.741123906,0.3808471903,0.6917773302,0.3434605952,0.6563400436,0.4587045549,0.6955386259,0.3405928958,0.5993740892
reading,1,The woman studied with the aristocrat of the chefs who were,0,pl,0,0.09232269606,0.1037279848,0.1343073967,0.1301479672,0.1507172759,0.1285179104,0.1895688945,0.1612536015,0.172597137,0.1344330735,0.1504168657,0.1213426869,0.133545906,0.1057304265,0.13840559,0.1459117207,0.1444393307,0.1621826143,0.1692221762,0.2887629203,0.2067732737,0.3459397882,0.3614256994,0.6010437332,0.5033429306,0.7078922382,0.4648506665,0.7447215618,0.3842925923,0.6910132738,0.3473836044,0.651279004,0.4778159488,0.7219056026,0.3707301606,0.6253069784
reading,1,The woman studied with the aristocrats of the chef who were,0,pl,1,0.09231441882,0.135696654,0.131642482,0.1554837656,0.1460229585,0.1540564467,0.1807877414,0.1805294289,0.1555944993,0.1460255074,0.1352523544,0.1270892664,0.11782074,0.106679593,0.1192307497,0.1326628017,0.1375803659,0.151783103,0.1635154855,0.2334762207,0.1999248907,0.2875959074,0.3698506201,0.5960616147,0.5117780705,0.6998589452,0.4539050363,0.741123906,0.3808471903,0.6917773302,0.3434605952,0.6563400436,0.4587045549,0.6955386259,0.3405928958,0.5993740892
reading,3,The woman assisted the maid of the executives who was,1,sg,1,0.02441228986,0.107137479,0.03910046937,0.1365672268,0.05958491965,0.1461428554,0.08155072981,0.1751860682,0.05371524515,0.1556052146,0.03595187887,0.1088048677,0.02026972734,0.09767321669,0.02907026446,0.109720465,0.07560801391,0.1235765847,0.1263781598,0.2204240366,0.1866778152,0.2683812815,0.4441248864,0.5410349443,0.6020382721,0.6471214694,0.6390874723,0.7190036967,0.6010704205,0.6700464718,0.5350910479,0.5918593126,0.6054710375,0.6524025411,0.5411803127,0.561786496
reading,3,The woman assisted the maids of the executive who was,1,sg,0,0.1163292258,0.09833507636,0.1471992029,0.1240097048,0.1523726783,0.1343464621,0.1725118186,0.1528233366,0.1427709081,0.1363250882,0.1258723069,0.1036411229,0.1118667562,0.08168581967,0.1287353911,0.08952364482,0.1971241947,0.1002652366,0.2985381187,0.1312506771,0.3924155882,0.2505422333,0.6070868187,0.5235768363,0.7181483576,0.6124032038,0.7117401667,0.6788321932,0.6637371433,0.6302064816,0.615165193,0.5842333348,0.6525742721,0.622831327,0.5477365434,0.5436004364
reading,3,The woman assisted the maid of the executives who were,1,pl,0,0.02441228986,0.107137479,0.03910046937,0.1365672268,0.05958491965,0.1461428554,0.08155072981,0.1751860682,0.05371524515,0.1556052146,0.03595187887,0.1088048677,0.02026972734,0.09767321669,0.02907026446,0.109720465,0.07560801391,0.1235765847,0.1263781598,0.2204240366,0.1866778152,0.2683812815,0.4441248864,0.5410349443,0.6020382721,0.6471214694,0.6390874723,0.7190036967,0.6010704205,0.6700464718,0.5350910479,0.5918593126,0.6054710375,0.6524025411,0.5411803127,0.561786496
reading,3,The woman assisted the maids of the executive who were,1,pl,1,0.1163292258,0.09833507636,0.1471992029,0.1240097048,0.1523726783,0.1343464621,0.1725118186,0.1528233366,0.1427709081,0.1363250882,0.1258723069,0.1036411229,0.1118667562,0.08168581967,0.1287353911,0.08952364482,0.1971241947,0.1002652366,0.2985381187,0.1312506771,0.3924155882,0.2505422333,0.6070868187,0.5235768363,0.7181483576,0.6124032038,0.7117401667,0.6788321932,0.6637371433,0.6302064816,0.615165193,0.5842333348,0.6525742721,0.622831327,0.5477365434,0.5436004364
reading,3,The woman joked with the maid of the executives who was,0,sg,1,0.1163905547,0.1068594075,0.1492709756,0.137867393,0.1568728783,0.1460704678,0.1793337719,0.1757773548,0.1443622206,0.1568525509,0.1274247731,0.1109409926,0.1080188404,0.09913892531,0.1205325243,0.1090920069,0.1640597915,0.1257275475,0.2385991892,0.2387785638,0.2630105099,0.3033953915,0.4512113014,0.5271334499,0.6013132199,0.6428924395,0.5844825488,0.6472768503,0.5287465427,0.5630045818,0.4591828737,0.4882511339,0.5653807275,0.620275746,0.4690669122,0.5322359761
reading,3,The woman joked with the maids of the executive who was,0,sg,0,0.1163709114,0.09805149718,0.1463461575,0.1228952975,0.1515534911,0.1327865898,0.172108366,0.1521398395,0.1433644655,0.1346997838,0.1249274092,0.1032080341,0.1125632617,0.08110162995,0.1273195914,0.08679734545,0.2003279609,0.09632724808,0.2900928405,0.1286456484,0.3503484208,0.2419878079,0.5157579194,0.5019172714,0.655863863,0.6090400796,0.6306335108,0.6391727765,0.5790477828,0.592754249,0.5289977929,0.550099272,0.6072770868,0.6020569384,0.4955605982,0.4981806664
reading,3,The woman joked with the maid of the executives who were,0,pl,0,0.1163905547,0.1068594075,0.1492709756,0.137867393,0.1568728783,0.1460704678,0.1793337719,0.1757773548,0.1443622206,0.1568525509,0.1274247731,0.1109409926,0.1080188404,0.09913892531,0.1205325243,0.1090920069,0.1640597915,0.1257275475,0.2385991892,0.2387785638,0.2630105099,0.3033953915,0.4512113014,0.5271334499,0.6013132199,0.6428924395,0.5844825488,0.6472768503,0.5287465427,0.5630045818,0.4591828737,0.4882511339,0.5653807275,0.620275746,0.4690669122,0.5322359761
reading,3,The woman joked with the maids of the executive who were,0,pl,1,0.1163709114,0.09805149718,0.1463461575,0.1228952975,0.1515534911,0.1327865898,0.172108366,0.1521398395,0.1433644655,0.1346997838,0.1249274092,0.1032080341,0.1125632617,0.08110162995,0.1273195914,0.08679734545,0.2003279609,0.09632724808,0.2900928405,0.1286456484,0.3503484208,0.2419878079,0.5157579194,0.5019172714,0.655863863,0.6090400796,0.6306335108,0.6391727765,0.5790477828,0.592754249,0.5289977929,0.550099272,0.6072770868,0.6020569384,0.4955605982,0.4981806664
reading,3,The woman assisted the executive of the maids who was,1,sg,1,0.09850759033,0.1160058415,0.1183630735,0.152556409,0.1304822475,0.156461869,0.14543668,0.1846207583,0.1288602457,0.1547690182,0.09647644703,0.1384534748,0.07496403916,0.1195917858,0.07687474577,0.1390447575,0.08276556775,0.2066383825,0.09396729287,0.341648774,0.1822527033,0.4415993992,0.4953902168,0.6588573808,0.597881108,0.76314883,0.5847017316,0.7950879772,0.5446865646,0.7354411692,0.4934321094,0.6739340447,0.5561667025,0.7077404973,0.4835878969,0.6183580344
reading,3,The woman assisted the executives of the maid who was,1,sg,0,0.1071179214,0.02412341963,0.1237945425,0.05200998798,0.1299104866,0.06674009981,0.1528215252,0.0962476895,0.1218934666,0.06896354462,0.07884395851,0.05009339796,0.07093336125,0.03119225305,0.07879476532,0.05688604418,0.09511898107,0.1061394796,0.1554444829,0.1569634779,0.1927008375,0.295665456,0.4294107764,0.6228835865,0.6003771224,0.7284394501,0.5894726703,0.7558166629,0.5181153753,0.7029858726,0.4638447785,0.6483190361,0.5426693934,0.6801648214,0.4541112384,0.6404457275
