exp,item,sent,hasIC,num,isHIGH,LSTM_avg_layer_0_HIGH_SIM,LSTM_avg_layer_0_LOW_SIM,LSTM_avg_layer_1_HIGH_SIM,LSTM_avg_layer_1_LOW_SIM,LSTM_1_layer_0_HIGH_SIM,LSTM_1_layer_0_LOW_SIM,LSTM_10_layer_0_HIGH_SIM,LSTM_10_layer_0_LOW_SIM,LSTM_11_layer_0_HIGH_SIM,LSTM_11_layer_0_LOW_SIM,LSTM_12_layer_0_HIGH_SIM,LSTM_12_layer_0_LOW_SIM,LSTM_13_layer_0_HIGH_SIM,LSTM_13_layer_0_LOW_SIM,LSTM_14_layer_0_HIGH_SIM,LSTM_14_layer_0_LOW_SIM,LSTM_15_layer_0_HIGH_SIM,LSTM_15_layer_0_LOW_SIM,LSTM_16_layer_0_HIGH_SIM,LSTM_16_layer_0_LOW_SIM,LSTM_17_layer_0_HIGH_SIM,LSTM_17_layer_0_LOW_SIM,LSTM_18_layer_0_HIGH_SIM,LSTM_18_layer_0_LOW_SIM,LSTM_19_layer_0_HIGH_SIM,LSTM_19_layer_0_LOW_SIM,LSTM_2_layer_0_HIGH_SIM,LSTM_2_layer_0_LOW_SIM,LSTM_20_layer_0_HIGH_SIM,LSTM_20_layer_0_LOW_SIM,LSTM_21_layer_0_HIGH_SIM,LSTM_21_layer_0_LOW_SIM,LSTM_22_layer_0_HIGH_SIM,LSTM_22_layer_0_LOW_SIM,LSTM_23_layer_0_HIGH_SIM,LSTM_23_layer_0_LOW_SIM,LSTM_24_layer_0_HIGH_SIM,LSTM_24_layer_0_LOW_SIM,LSTM_25_layer_0_HIGH_SIM,LSTM_25_layer_0_LOW_SIM,LSTM_3_layer_0_HIGH_SIM,LSTM_3_layer_0_LOW_SIM,LSTM_4_layer_0_HIGH_SIM,LSTM_4_layer_0_LOW_SIM,LSTM_5_layer_0_HIGH_SIM,LSTM_5_layer_0_LOW_SIM,LSTM_6_layer_0_HIGH_SIM,LSTM_6_layer_0_LOW_SIM,LSTM_7_layer_0_HIGH_SIM,LSTM_7_layer_0_LOW_SIM,LSTM_8_layer_0_HIGH_SIM,LSTM_8_layer_0_LOW_SIM,LSTM_9_layer_0_HIGH_SIM,LSTM_9_layer_0_LOW_SIM,LSTM_1_layer_1_HIGH_SIM,LSTM_1_layer_1_LOW_SIM,LSTM_10_layer_1_HIGH_SIM,LSTM_10_layer_1_LOW_SIM,LSTM_11_layer_1_HIGH_SIM,LSTM_11_layer_1_LOW_SIM,LSTM_12_layer_1_HIGH_SIM,LSTM_12_layer_1_LOW_SIM,LSTM_13_layer_1_HIGH_SIM,LSTM_13_layer_1_LOW_SIM,LSTM_14_layer_1_HIGH_SIM,LSTM_14_layer_1_LOW_SIM,LSTM_15_layer_1_HIGH_SIM,LSTM_15_layer_1_LOW_SIM,LSTM_16_layer_1_HIGH_SIM,LSTM_16_layer_1_LOW_SIM,LSTM_17_layer_1_HIGH_SIM,LSTM_17_layer_1_LOW_SIM,LSTM_18_layer_1_HIGH_SIM,LSTM_18_layer_1_LOW_SIM,LSTM_19_layer_1_HIGH_SIM,LSTM_19_layer_1_LOW_SIM,LSTM_2_layer_1_HIGH_SIM,LSTM_2_layer_1_LOW_SIM,LSTM_20_layer_1_HIGH_SIM,LSTM_20_layer_1_LOW_SIM,LSTM_21_layer_1_HIGH_SIM,LSTM_21_layer_1_LOW_SIM,LSTM_22_layer_1_HIGH_SIM,LSTM_22_layer_1_LOW_SIM,LSTM_23_layer_1_HIGH_SIM,LSTM_23_layer_1_LOW_SIM,LSTM_24_layer_1_HIGH_SIM,LSTM_24_layer_1_LOW_SIM,LSTM_25_layer_1_HIGH_SIM,LSTM_25_layer_1_LOW_SIM,LSTM_3_layer_1_HIGH_SIM,LSTM_3_layer_1_LOW_SIM,LSTM_4_layer_1_HIGH_SIM,LSTM_4_layer_1_LOW_SIM,LSTM_5_layer_1_HIGH_SIM,LSTM_5_layer_1_LOW_SIM,LSTM_6_layer_1_HIGH_SIM,LSTM_6_layer_1_LOW_SIM,LSTM_7_layer_1_HIGH_SIM,LSTM_7_layer_1_LOW_SIM,LSTM_8_layer_1_HIGH_SIM,LSTM_8_layer_1_LOW_SIM,LSTM_9_layer_1_HIGH_SIM,LSTM_9_layer_1_LOW_SIM
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,0.007086356274,0.01983720905,0.2098759395,0.2724737976,-0.06292229998,-0.003270971882,-0.0005963302409,-5.73E-06,0.04821892215,-0.006668489377,0.09809222109,0.002125721696,0.07192554245,0.1078994475,-0.003371461152,0.003570699757,-0.00105360188,-0.001566686828,0.06230541622,0.05344004759,8.92E-05,-4.39E-05,-0.0001551039115,-0.0004926106272,0.001745676488,0.003707484662,0.002451790043,0.004786646534,0.05294786903,2.44E-07,-0.05183847885,0.1186376932,-0.001628325366,0.000157289297,0.0002465776635,-0.0002686799927,0.04918695363,0.05931786553,0.0001116464879,-0.0005067199754,0.001159008743,0.001695055992,-0.05459403376,0.006058163338,-0.04943961689,0.0006234498861,0.001784682411,0.06400567563,0.01138770701,0.02677993454,-0.0004457807961,0.05604192537,0.001550686773,-9.33E-05,0.2317606629,0.2831279246,0.1476045233,0.1878652148,0.2116952037,0.2778419997,0.1605839129,0.2599519677,0.2083169224,0.1451675876,0.2129017991,0.3336850854,0.2169243171,0.1232868247,0.1421247883,0.2732464746,0.2289129621,0.3036873447,0.1813457015,0.2720336856,0.1682750704,0.2095111054,0.2167436904,0.2747795352,0.2651540842,0.2921957755,0.2226266961,0.2782017161,0.2309275577,0.2993015692,0.1571039883,0.3308108977,0.2889272251,0.3978111514,0.1757346236,0.2701361503,0.2352093683,0.2865398209,0.1851494602,0.254747946,0.1684804866,0.3018021228,0.2931852716,0.2911289882,0.2407387989,0.3146082685,0.1889793971,0.271571457,0.267491976,0.2788043262
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,0.0151761423,0.01847285061,0.2546544893,0.2150571473,-0.05155578621,0.0007011392122,0.002192367777,0.001230925029,0.002425234314,0.05676544071,0.02618768909,0.0818202288,0.05446626121,0.08361884472,0.04454633592,-0.001231618339,-0.0007712823999,0.002232791805,0.04943526899,0.06737512422,1.06E-05,-5.37E-05,0.0409775395,-0.001715198789,0.003208287112,0.004082080742,0.001161819254,-0.0002720075581,2.47E-05,0.06284795326,-0.0002587166765,0.008271379619,-0.0007819868332,0.001750337227,-0.0005071622493,0.001257209599,0.09463144266,0.0610636292,3.95E-05,-0.03693164903,-0.001037857515,0.006560364326,-0.0492599815,0.002232932304,-0.0001171469161,-0.002164160602,0.04582292657,0.001844355384,0.007335983354,0.06259198565,0.05030547277,-0.0006487210193,0.06092204298,-0.001408358878,0.190850481,0.2010885563,0.2269806363,0.1750093663,0.2243789917,0.2780338329,0.2201389945,0.1833802834,0.21764072,0.167680132,0.2535089549,0.2509942943,0.2489546099,0.2398533949,0.2118739987,0.1476149776,0.2847214831,0.2105517971,0.3134287363,0.1929667466,0.240268522,0.1212610668,0.2070587854,0.2245192963,0.3298535884,0.2437461137,0.2454562593,0.1974107887,0.2356389997,0.2126457427,0.307735519,0.2578445806,0.3141938202,0.3349420174,0.2134585222,0.262963458,0.3109489379,0.2287409612,0.1857845209,0.2386059931,0.2587430327,0.1502033176,0.2860804124,0.120696784,0.2957214405,0.2926386507,0.2387793888,0.1553645314,0.3041628776,0.2876719983
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,0.004724723707,0.04453355142,0.1873402234,0.2586350532,-0.05660261344,0.06316660982,-0.0009155079635,-8.80E-06,-0.001507460748,0.04388167097,0.08526624806,0.003319085851,0.07030595361,0.1056654003,-0.003261569743,0.07169109936,-0.001204905554,0.06366569934,0.06390531108,0.0530163995,-0.001245114117,0.0006128428609,-6.08E-05,0.00214757021,0.0008070315295,0.001713917634,0.002247280559,0.07948922034,0.05144577303,-0.03628375254,-0.04935587117,0.1697493447,-0.001502522607,0.06164654901,-5.93E-05,0.05841767566,0.04666875429,0.05897687846,0.0001027051214,-0.0004661385922,0.001159008906,0.003901894639,-0.04958201833,0.004673392732,-0.04849500223,-0.001010571567,0.003082100467,0.06126783053,0.007029785609,0.07657012724,-0.001338151865,0.1120419674,0.001228942267,0.05549286818,0.1938699998,0.2521089221,0.1265270585,0.1796667216,0.2276830909,0.2800122375,0.12952166,0.2411401105,0.1606780089,0.1462399291,0.1711535881,0.3345522513,0.2098932886,0.1447028404,0.0980816663,0.2400894858,0.2124405263,0.2866302232,0.1780786502,0.2232615109,0.1509296795,0.1946920302,0.1985910844,0.2681038365,0.2429661875,0.268032377,0.2173504232,0.2846400576,0.2352250117,0.3054133345,0.1184642013,0.2850232437,0.2222053415,0.3513738538,0.1285994886,0.2499258367,0.2197289588,0.2874348996,0.1838723189,0.2449870576,0.1458348291,0.2933392525,0.2508097801,0.2554601296,0.2155876366,0.3019047926,0.1728460325,0.2665606099,0.2725670735,0.2805807853
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,0.04058372375,0.0125292358,0.2505862774,0.2073255928,0.0003728539662,-0.0006872094663,0.003365803038,0.001889761047,0.04833407139,-0.007969271159,0.02145804225,0.07491275161,0.05343186216,0.08126818488,0.145161239,-0.0009662804729,0.0907686912,0.001424365478,0.05060386923,0.06903449828,-0.0001497642569,0.0007589402635,0.04109524352,-0.0006565086969,0.001483201357,0.001887158921,0.05277843906,-0.0002546150396,-0.04000925772,0.04374323917,0.04382306923,0.007504410776,0.05566352539,0.001609341132,0.02286244718,-0.0003068791374,0.0928114035,0.05954861664,3.63E-05,-0.03397431821,-0.001264371225,0.006559216898,-0.0446143189,0.001721916168,-0.001342525377,-0.05500350611,0.1322691964,0.004073652021,0.04483401576,0.06025186403,0.1004785182,-0.001947187941,0.1003415331,-0.001191246031,0.1783047542,0.1789035795,0.2242353066,0.1433006952,0.2427998323,0.2856060598,0.2066422278,0.1724011791,0.2088734523,0.1542136126,0.2763131813,0.22250653,0.2785708465,0.2457600826,0.167587852,0.116640003,0.2770837621,0.1929036844,0.2687969351,0.1759049892,0.2335499224,0.1240379449,0.2036804564,0.2298527113,0.3091344386,0.2243704692,0.2746472527,0.1841002205,0.2571413094,0.22923479,0.2722895038,0.236365716,0.271665829,0.3165216092,0.1999762808,0.2591582559,0.3319988571,0.2227897616,0.1985382631,0.2501914794,0.2709763504,0.1601062286,0.2934669735,0.1298469437,0.286751809,0.2694152353,0.2337900542,0.1722778664,0.2978414853,0.2867301721
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,0.01522747509,0.02274527832,0.1991536539,0.256440116,-0.04927420052,-0.00105072224,0.002192367777,-5.59E-06,0.002102587192,-0.005805243948,0.02855572618,0.002103084103,0.05379522451,0.09272886122,0.04454442408,0.00357910196,-0.0008926103678,0.05868969785,0.04943539572,0.05200824145,0.0001550898271,-0.0005903800398,0.04071586335,-0.0002048673414,0.003205662084,0.003429958827,0.0009997781874,0.008653116891,6.63E-06,8.02E-06,-0.0002604886724,0.09049155008,-0.0007782757061,-0.001178631179,-0.0008582338288,-0.0004564043333,0.09462573475,0.05939044359,-7.52E-05,0.05709278161,-0.001037692367,0.0003490808392,-0.04721415369,0.007336833899,0.0005812962426,0.0006607079489,0.0466500004,0.06669273676,0.004053248609,0.01875799788,0.05030469292,0.05605495137,0.05915401088,-0.0001033661357,0.1807424298,0.3952053497,0.1757595698,0.1974943776,0.1944108473,0.281416308,0.2326144541,0.2880906469,0.157898216,0.1763737105,0.2218451482,0.3530020108,0.1785501658,0.1013359964,0.1515989913,0.2260849213,0.1860038513,0.1797357716,0.2494193589,0.2394945114,0.2201848967,0.1980467232,0.1885425505,0.2185860376,0.1870564106,0.2234735565,0.1880449961,0.2665830415,0.1475121321,0.2219635895,0.2450786571,0.3352032943,0.2742969065,0.3976168733,0.1596988276,0.2976220566,0.2262453823,0.2395623478,0.1602194112,0.2979620056,0.237779477,0.2539441024,0.2077419593,0.2257181949,0.2115172664,0.3016722972,0.2297938964,0.2696794771,0.1662855444,0.2251356984
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,0.01518474459,0.02235966083,0.1980997046,0.1861632723,-0.05112505623,0.0005615195469,0.002192367777,0.001230590882,0.00212911441,0.06066753149,0.02834217997,0.08319932438,0.05295251976,0.08334032993,0.04454633592,-0.001229954764,-0.0007472674669,0.07020935328,0.04943541296,0.0647055565,0.0001738004022,-0.0006560245908,0.04072693792,-0.001764158013,0.00320565942,0.004086923833,0.001255946792,0.0001012210621,2.03E-05,0.06209930559,-0.0008199081603,0.008133041029,-0.000778275712,0.0009175896538,-0.0006459670216,0.001613330706,0.09462568392,0.06094937145,-3.93E-05,0.04079257788,-0.000812073142,0.005424831566,-0.04721415547,0.002466711821,-5.44E-05,-0.01757923975,0.04678034191,0.003154920678,0.006072786771,0.02934089273,0.05030545689,-0.0006488668152,0.05909008221,-0.002125159404,0.1699561527,0.1840329115,0.2176931059,0.1822612957,0.1892605255,0.2630135899,0.2192299781,0.1234789257,0.1813544048,0.2224218969,0.2026538834,0.2771333021,0.1814871829,0.2309205455,0.150370243,0.08997841722,0.1716578926,0.08320095679,0.2534072304,0.1399886562,0.2231172608,0.0895634936,0.177709146,0.1538376195,0.2076107266,0.1848607393,0.1925461475,0.1854715058,0.1381223733,0.1098304156,0.239876156,0.2360162226,0.2201523645,0.3181681506,0.185061725,0.300034231,0.2285528009,0.1732421315,0.1558784852,0.2864693695,0.2136508437,0.1361573004,0.2058459939,0.1084843186,0.2247823093,0.23146758,0.2207976468,0.1215669908,0.1817180373,0.2224812419
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,0.04015322064,0.04656857818,0.1963044981,0.2386180342,0.0005524925394,0.06066071975,0.003365803038,-8.59E-06,0.04933392669,0.04642322504,0.0236799177,0.003311287998,0.05284903756,0.09149982248,0.145161239,0.07169253993,0.08403626211,0.1116969417,0.05060399592,0.0513411425,-3.01E-05,0.0001162553916,0.04078013881,0.002366885703,0.001480778412,0.001584323898,0.0487629388,0.07531088521,-0.04404802298,-0.03683095952,0.04383607588,0.1441450104,0.0556644561,0.06320462101,0.02226452004,0.05756288319,0.09280555958,0.05906100352,-6.96E-05,0.05285449325,-0.001264182311,0.002630276428,-0.04305088629,0.005817789959,-0.000909041539,-0.0009545114559,0.1360390822,0.0631026315,0.04278803117,0.07177266466,0.100478507,0.1120646497,0.09871964877,0.05378846178,0.1834524668,0.3492070185,0.1798342538,0.1813591247,0.2113961642,0.285542188,0.2291439039,0.2613292502,0.1537245863,0.1608895599,0.2480697957,0.3472670412,0.2147668525,0.1294473059,0.1069358482,0.1542021695,0.1831822801,0.1713597535,0.212212855,0.1916004666,0.2132527205,0.1844785476,0.1850301061,0.1961418827,0.1683204641,0.1914645584,0.2191157157,0.262032439,0.1525477031,0.2112349753,0.2133888096,0.3030721784,0.2143989548,0.3518524099,0.1356377514,0.270698996,0.2520636204,0.2295289685,0.1788097922,0.2957033739,0.2423562239,0.2527171455,0.2124188536,0.1975155405,0.206372838,0.2937000885,0.2253406849,0.2606818311,0.1658392088,0.2324240429
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,0.04049499688,0.01676051023,0.1973230615,0.1776582456,0.0004349103163,-0.0007911716804,0.003365803028,0.001889248047,0.04956743356,-0.006730954355,0.02347902227,0.0756539849,0.05231696644,0.08184399255,0.145161239,-0.0009647513342,0.08422864325,0.06655615578,0.05060401299,0.06600713135,-3.00E-05,0.0001144500142,0.04083555483,-0.0007117275309,0.001480778367,0.001887857553,0.05094030981,8.97E-05,-0.040547516,0.04587581773,0.04483836716,0.007252500138,0.0556644561,0.0008436814649,0.02287858044,1.06E-06,0.09280532869,0.05937880152,-3.61E-05,0.03752305761,-0.00104636175,0.005423550115,-0.04304099015,0.001954285074,-0.001341604594,-0.05516770864,0.1360603576,0.005510926441,0.04455762529,0.02904797162,0.1004785069,-0.001947519485,0.09871964234,-0.001527582051,0.1598175532,0.1673136068,0.2156723582,0.1536358493,0.2087086188,0.2763053022,0.2062689711,0.1165022467,0.1812833835,0.1978990205,0.2332208999,0.2458362622,0.2175860368,0.2370349819,0.1118873838,0.03615300108,0.1696212398,0.07180334478,0.2072393373,0.1299954741,0.2201540401,0.09272775389,0.1768985524,0.1616210351,0.1897363591,0.1478949449,0.2205899798,0.1585093297,0.1453658019,0.1138436071,0.2138659879,0.2112833297,0.1847831585,0.3021824928,0.1635256763,0.2929266345,0.2591923451,0.1675745432,0.1756087191,0.3066231325,0.2325843689,0.1465790477,0.2174871469,0.1114378116,0.225040503,0.237738272,0.2157990097,0.1323806011,0.1811391053,0.2256545137
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,0.01593335497,0.014583049,0.2202598028,0.2536884918,0.0004784236539,-0.05270708587,0.001218238764,0.00249288435,0.05773618739,0.002597361532,0.08283001904,0.04201212648,0.07529274306,0.07085921847,-0.0008569153202,0.0442615901,0.001382899776,-0.0005218892658,0.06697456384,0.04914301231,-5.60E-05,9.03E-06,-0.002340043765,0.04203117436,0.004626779702,0.002343745025,0.0002725082413,0.0011674333,0.06185489261,2.93E-05,0.01553554016,0.0001444063722,0.001803235461,8.14E-05,0.001252087952,-0.0004756624244,0.05933683119,0.1002488613,-0.01146985557,0.0001153430562,0.004634130503,-0.00161060411,0.001706796248,-0.04919934366,-0.0242250229,-0.0002388553986,0.002041181412,0.04669417849,5.20E-05,-0.02249597126,-0.0007183129551,0.05040475169,-0.001029065425,0.03718985882,0.2244053768,0.2510372891,0.1460426439,0.1914420848,0.2492707715,0.2341286813,0.1633078614,0.2480104671,0.2237028554,0.133517654,0.2311522172,0.29094264,0.216455362,0.1756947753,0.193369892,0.2186403862,0.2564874211,0.3309964636,0.2131659121,0.3047559652,0.1776964502,0.1901207114,0.2148741906,0.1993411771,0.2566779462,0.2785855268,0.2378631857,0.2642909368,0.1818912561,0.286534171,0.2040599415,0.3522362037,0.284904275,0.3903287844,0.189571423,0.2727953286,0.2868443577,0.2672386865,0.2470042298,0.2171771812,0.172614146,0.2839028269,0.2266628654,0.1302207149,0.2500928351,0.3284854238,0.1873073477,0.2571152621,0.2710703059,0.2446729526
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,0.02005116405,0.004785147611,0.2644737048,0.1783911327,-0.003639485969,-0.06027496693,8.16E-05,-9.57E-05,-0.006906331223,0.04816706424,0.001935362779,0.003623050597,0.1173028012,0.06230976521,0.003649256094,-0.003294838358,-0.001199107553,-0.001232051481,0.05016576219,0.06416535414,-1.67E-05,2.94E-05,-0.001272258727,0.0003645419663,0.003161316679,0.0002958695646,0.005574867907,0.003190647603,3.78E-05,0.0508164149,0.1066445223,-0.05174466957,-0.0004009819575,-0.001629947507,-0.0002374459262,0.0001405372669,0.05382086492,0.05307317023,-0.0006719776047,0.0001606265193,0.001622286154,0.000848235515,0.005342739413,-0.053933809,-0.0002086261172,-0.05238580686,0.06248518667,0.001147179823,0.0487192974,0.05522305288,0.05539386088,-0.0004427123532,-0.0001055295368,0.001108261985,0.2036086454,0.2002012587,0.2215096941,0.1042805623,0.2296083453,0.1636426288,0.2253065471,0.1455177346,0.2540209121,0.1211503966,0.2718471093,0.2137318899,0.245899558,0.1372723462,0.2830337018,0.1189279549,0.2834178512,0.1514432508,0.3145465565,0.1342054287,0.2347954423,0.1186317042,0.2761817678,0.1753580175,0.3192580323,0.2027909641,0.2640581701,0.1874170895,0.2467109499,0.2236545258,0.3044481462,0.1390236892,0.3293351182,0.3110186393,0.1894836887,0.2651678209,0.3234393898,0.1524481823,0.2185175791,0.2085047553,0.2605627891,0.1048274663,0.2822766848,0.1401150964,0.2824191798,0.3085425778,0.2412883343,0.1720146655,0.3062684259,0.259889672
