exp,item,sent,hasIC,num,isHIGH,tf_surp,LSTM_1_surp,LSTM_10_surp,LSTM_11_surp,LSTM_12_surp,LSTM_13_surp,LSTM_14_surp,LSTM_15_surp,LSTM_16_surp,LSTM_17_surp,LSTM_18_surp,LSTM_19_surp,LSTM_2_surp,LSTM_20_surp,LSTM_21_surp,LSTM_22_surp,LSTM_23_surp,LSTM_24_surp,LSTM_25_surp,LSTM_3_surp,LSTM_4_surp,LSTM_5_surp,LSTM_6_surp,LSTM_7_surp,LSTM_8_surp,LSTM_9_surp,LSTM_avg_surp
reading,1,The woman scolded the chef of the aristocrats who was,1,sg,1,3.593528032,5.118201733,6.121090889,6.111232758,6.839605331,7.41347599,6.64836216,5.232179165,4.493425846,5.813976765,5.507406712,6.06597662,4.561118126,5.505407333,5.480968475,5.775802135,6.087562561,6.802914143,5.824756622,3.387113094,5.120001793,5.887971878,5.117304802,6.365060806,6.850381374,4.23071003,5.694480286
reading,1,The woman scolded the chefs of the aristocrat who was,1,sg,0,4.685864449,2.979745388,3.724931955,2.71112895,3.529879332,3.264303923,3.192197561,3.075707912,2.658032894,2.951908112,3.248991013,5.573431492,2.736811399,3.173840046,3.776026726,3.282287121,3.343611002,3.787151814,3.517539263,3.372996569,3.295020342,2.896164179,4.035754681,3.143377066,3.183518648,3.783579826,3.369517488
reading,1,The woman scolded the chef of the aristocrats who were,1,pl,0,5.564909935,3.283844709,3.451880217,3.078493834,2.624277592,3.317725658,3.148559332,3.38887167,2.851238966,3.358679533,3.187648296,3.381652594,4.259245872,3.166271448,3.389254808,4.770919323,3.218486071,3.78950882,3.168348312,4.181349754,3.479758024,3.319591284,3.831100225,3.317457914,2.909438848,4.046367645,3.43679883
reading,1,The woman scolded the chefs of the aristocrat who were,1,pl,1,5.032856464,7.208877087,4.812378407,5.871643066,5.418358803,5.887785912,5.872004986,5.037868977,5.880161285,5.271972179,6.028994083,4.669992924,6.592943192,4.710758209,4.312718391,6.65787077,5.109277248,5.318517208,4.834476471,3.966920137,4.23084116,5.462164402,4.504664421,6.148914337,6.232674599,5.755218983,5.431919889
reading,1,The woman studied with the chef of the aristocrats who was,0,sg,1,2.937952042,4.729838371,5.727737427,5.635404587,7.98603487,6.113870621,4.663809776,4.377593994,3.801040888,4.138259888,4.719510555,4.870665073,4.045342922,4.222153664,3.914480686,4.640114784,4.389533997,5.997678757,4.0946455,3.361909151,3.861568451,5.783270359,4.48884058,3.82642889,6.335508347,3.261291981,4.759461365
reading,1,The woman studied with the chefs of the aristocrat who was,0,sg,0,3.465662003,3.260909796,3.883337736,2.977285862,5.910861969,3.289048433,2.739340067,4.296742439,2.560690165,2.851402044,3.045414448,5.125404835,2.642483711,2.751496553,2.5871768,2.833464146,3.041264534,3.569200277,3.356411457,3.252566814,2.91236186,3.170156956,3.195757866,2.912479877,4.173646927,2.905263662,3.329766769
reading,1,The woman studied with the chef of the aristocrats who were,0,pl,0,7.26554203,3.282100677,3.727643728,3.400565863,2.968224049,5.407057762,3.85747385,5.012731552,4.190743923,4.382603168,3.717052698,3.385517597,5.115022659,3.851608276,4.003118992,5.408351898,3.875990868,3.619940042,3.870359421,5.079709053,3.876951933,3.333171129,3.858668804,5.072484493,3.264758348,4.662460804,4.088972464
reading,1,The woman studied with the chefs of the aristocrat who were,0,pl,1,5.935725212,5.291866779,4.92075634,5.385962009,4.894194126,8.653375626,6.080435753,5.516778946,7.087958813,5.56636858,6.090996265,4.329194069,7.610359669,6.339922905,5.700340748,6.813250065,5.518218994,6.716706753,4.682434559,4.332304001,4.632437229,5.487917423,4.782952785,6.868182182,5.4771595,7.015152454,5.831809063
reading,1,The woman scolded the aristocrat of the chefs who was,1,sg,1,4.219479561,5.326223373,5.937457561,5.912639618,6.206719875,7.400187969,5.985584259,5.486736298,3.948837042,6.116085052,6.633187771,5.603584766,4.694930553,5.874312401,5.89484024,6.157857895,6.544679165,7.203408241,5.862767696,4.280342102,5.047509193,5.997091293,5.57344532,5.508470058,6.685094833,4.563486576,5.777819166
reading,1,The woman scolded the aristocrats of the chef who was,1,sg,0,3.688263893,2.670600653,3.703845501,2.769953966,3.788131237,3.22698164,3.414517403,3.556659937,2.75505209,2.991498947,2.789724827,5.733301163,2.747321844,2.808398485,3.372346163,3.204542398,2.988465786,3.023737669,3.683991194,3.292046309,3.271375179,2.902628183,4.081280231,3.268904209,3.408305407,3.949578047,3.336127539
