exp,verb,item,sent,bias,isHigh ,gender,tf_because_surp,gpt_because_surp,LSTM_avg_because_surp,bert_because_score,tf_result_surp,gpt_result_surp,LSTM_avg_result_surp,bert_result_score,tf_period_surp,gpt_period_surp,LSTM_avg_period_surp,bert_period_score
ic_mismatch,abandoned,0,The man abandoned the woman because he,33,1,m,2.914449692,1.354171157,2.640487571,0.1902370006,3.587351084,4.480559349,4.44548954,0.1679236293,9.068852425,3.695007324,4.363202591,0.2719184756
ic_mismatch,abandoned,0,The man abandoned the woman because she,33,0,f,2.641210556,2.177673578,3.460008831,0.4680537283,3.891669512,2.927706003,5.432546997,0.1963015497,11.07790375,4.70654726,5.258840866,0.1687177867
ic_mismatch,abandoned,0,The woman abandoned the man because he,33,0,m,2.666969776,2.271741629,2.656688089,0.6322733164,5.010754585,3.896689653,4.350384598,0.2895075381,9.225319862,5.465336323,4.362989006,0.2711549997
ic_mismatch,abandoned,0,The woman abandoned the man because she,33,1,f,3.210433722,1.364032149,3.023309488,0.09370660782,3.310440302,3.920152187,4.942521982,0.1233736277,10.84271049,4.157922745,4.844995737,0.1676409096
ic_mismatch,acclaimed,0,The man acclaimed the woman because he,-58,1,m,3.223377705,1.4788692,2.905474567,0.236856401,3.837557554,4.324226379,5.261317186,0.2219539732,9.208886147,4.702366829,4.382025928,0.3558301032
ic_mismatch,acclaimed,0,The man acclaimed the woman because she,-58,0,f,4.109311104,1.961620331,3.586293163,0.6123453975,5.731737614,4.318141937,6.123397865,0.5435729027,11.40511322,5.52853632,5.164980068,0.3067139983
ic_mismatch,acclaimed,0,The woman acclaimed the man because he,-58,0,m,3.31963706,1.843687057,2.898053141,0.8596009016,4.302121162,4.206063271,5.156961231,0.6002057195,9.312127113,5.315525055,4.369322824,0.5666605234
ic_mismatch,acclaimed,0,The woman acclaimed the man because she,-58,1,f,4.529903412,1.564739466,3.229654388,0.05371629447,3.887382984,4.293319225,5.718905182,0.1822713017,10.98381138,4.937483788,4.832538166,0.1580183804
ic_mismatch,accompanied,0,The man accompanied the woman because he,-48,1,m,2.202563524,1.487105727,2.829368725,0.2489132285,4.935973167,3.907817602,5.172798061,0.3463842273,9.470907211,4.027098179,4.589100943,0.2597158551
ic_mismatch,accompanied,0,The man accompanied the woman because she,-48,0,f,3.496957064,2.329716206,3.426126204,0.533649683,6.228587627,4.63215971,5.902504272,0.3212681413,11.52474499,5.205988407,5.226120262,0.1612668633
ic_mismatch,accompanied,0,The woman accompanied the man because he,-48,0,m,2.257493258,2.886811733,2.81367588,0.6509456635,5.118787289,4.637704849,5.029814339,0.4169836342,9.465780258,5.286913395,4.559973125,0.2407034338
ic_mismatch,accompanied,0,The woman accompanied the man because she,-48,1,f,3.9588871,1.319482803,3.167750463,0.1472096443,4.609293461,3.766988277,5.574063797,0.2350340486,11.30185604,4.416386604,4.970108318,0.1927790046
ic_mismatch,accused,0,The man accused the woman because he,2,1,m,2.664205313,1.149746537,2.875937243,0.1704460233,4.167235374,3.995014191,5.290470591,0.1620751768,9.396242142,3.767196417,4.339037094,0.2509455085
ic_mismatch,accused,0,The man accused the woman because she,2,0,f,3.454223156,1.776791096,3.833810778,0.7419182658,4.651257515,3.099803209,6.374927673,0.6858203411,11.44324207,4.951217175,5.374499435,0.246151641
ic_mismatch,accused,0,The woman accused the man because he,2,0,m,2.517412901,1.576981425,2.866347313,0.7978700399,3.922267914,3.134430885,5.204384737,0.7091245651,9.378480911,4.690407276,4.332351112,0.3968557417
ic_mismatch,accused,0,The woman accused the man because she,2,1,f,4.036171913,1.193022609,3.364599609,0.1307397783,3.928318977,4.049542427,5.886752262,0.1486412883,11.08197021,4.401939869,4.914990082,0.1308732629
ic_mismatch,admired,0,The man admired the woman because he,-92,1,m,2.868894577,1.926986456,2.66927269,0.01028096676,2.946824312,2.787216663,4.729129629,0.1906194836,9.39145565,3.081513882,4.115460548,0.08895932138
ic_mismatch,admired,0,The man admired the woman because she,-92,0,f,3.744650841,1.174920082,3.348696976,0.9629867077,5.512090683,3.885273933,5.620803642,0.6347865462,11.40836143,4.330827713,4.948931236,0.6134558916
ic_mismatch,admired,0,The woman admired the man because he,-92,0,m,2.918223619,0.9041270614,2.634443588,0.9598743916,3.847292423,3.432703495,4.637996206,0.5403280258,9.333143234,4.03493166,4.080579414,0.6713342667
